# 'Ca edge Energy(eV)  Fyield   EdgeJump'
# ' L3       346.2    0.00033    5.81'
# ' L2       349.7    0.00033    1.40'
# ' L1       438.4    0.00031    1.12'
#---------------------------------
#  Energy  MuCa_Elam  MuCa_Chantler
  300.000000    5793.661840    6041.114812
  302.000000    5740.964505    5971.072511
  304.000000    5689.089912    5902.398861
  306.000000    5638.019930    5834.805942
  308.000000    5587.736940    5768.076015
  310.000000    5538.223823    5702.651290
  312.000000    5489.463937    5639.135465
  314.000000    5441.441105    5578.760291
  316.000000    5394.139595    5520.058628
  318.000000    5347.544111    5462.653134
  320.000000    5301.639773    5406.480593
  322.000000    5256.412104    5351.418840
  324.000000    5211.847020    5297.411571
  326.000000    5167.930812    5244.622863
  328.000000    5124.650138    5192.629901
  330.000000    5081.992010    5141.310492
  332.000000    5039.943781    5091.072153
  334.000000    4998.493135    5041.742548
  336.000000    4957.628077    4992.997684
  338.000000    4917.336921    4945.159147
  340.000000    4877.608283    4898.325206
  342.000000    4838.431069    4851.937422
  344.000000    4799.794468    4805.586835
  346.000000    4761.687941    4761.039944
  348.000000    27651.445627    44395.751127
  350.000000    38403.423687    43659.361644
  352.000000    38357.776308    43477.296159
  354.000000    38312.441357    43022.664898
  356.000000    38267.414949    42575.795298
  358.000000    38222.693268    42138.312213
  360.000000    38178.272568    41710.947571
  362.000000    38134.149166    41289.911925
  364.000000    38090.319448    40873.737799
  366.000000    38046.779860    40463.236505
  368.000000    38003.526913    40057.837677
  370.000000    37960.379926    39657.597950
  372.000000    37601.460603    39262.642710
  374.000000    37247.832559    38876.280706
  376.000000    36899.390113    38496.779334
  378.000000    36556.030245    38121.651253
  380.000000    36217.652510    37751.898422
  382.000000    35884.158963    37391.380853
  384.000000    35555.454084    37036.563075
  386.000000    35231.444704    36690.732718
  388.000000    34912.039939    36354.430196
  390.000000    34597.151118    36048.752734
  392.000000    34286.691722    35747.237022
  394.000000    33980.577319    35449.936275
  396.000000    33678.725503    35167.027748
  398.000000    33381.055838    34918.530256
  400.000000    33087.440998    34686.001641
  402.000000    32744.887042    34490.270921
  404.000000    32407.553673    34297.389922
  406.000000    32075.336071    34108.559550
  408.000000    31748.132022    33922.437750
  410.000000    31425.841843    33740.353640
  412.000000    31108.368306    33560.779545
  414.000000    30795.616564    33385.295598
  416.000000    30487.494086    33211.258811
  418.000000    30183.910585    33037.395644
  420.000000    29884.777957    32865.519775
  422.000000    29590.010216    32698.024807
  424.000000    29299.523434    32532.169359
  426.000000    29013.235681    32366.181241
  428.000000    28731.066973    32201.788453
  430.000000    28452.939209    32037.452483
  432.000000    28178.776126    31874.477077
  434.000000    27908.503242    31715.177045
  436.000000    27642.047812    31558.189057
  438.000000    27379.338772    31505.266266
  440.000000    30931.223983    31304.015604
  442.000000    30639.947232    31103.799138
  444.000000    30352.710254    30903.876074
  446.000000    30069.439200    30706.425915
  448.000000    29790.061893    30512.533861
  450.000000    29514.507786    30320.721622
  452.000000    29239.800495    30124.165940
  454.000000    28968.844775    29929.342823
  456.000000    28701.574752    29688.191053
  458.000000    28437.924453    29428.833477
  460.000000    28177.829369    29174.415649
  462.000000    27921.226413    28925.414810
  464.000000    27668.053882    28678.442489
  466.000000    27418.251427    28426.558382
  468.000000    27171.760009    28177.951156
  470.000000    26928.521873    27921.466656
  472.000000    26688.480508    27665.743753
  474.000000    26451.580623    27414.871770
  476.000000    26217.768106    27168.966615
  478.000000    25986.990002    26926.190705
  480.000000    25759.194481    26685.734358
  482.000000    25534.330807    26448.411809
  484.000000    25312.349314    26213.553830
  486.000000    25093.201379    25981.487414
  488.000000    24876.839392    25753.425391
  490.000000    24663.216736    25530.656679
  492.000000    24452.287758    25310.710606
  494.000000    24244.007749    25089.529489
  496.000000    24038.332918    24870.513869
  498.000000    23835.220371    24655.665420
  500.000000    23634.628087    24445.596951
