# 'Ca edge Energy(eV)  Fyield   EdgeJump'
# ' L3       346.2    0.00033    5.81'
# ' L2       349.7    0.00033    1.40'
# ' L1       438.4    0.00031    1.12'
# 'Jumps: L3=   22962.0, L2=   10812.1, L3/L2=     2.124'
#---------------------------------
#  Energy  MuCa_Elam  MuCa_Chantler
  340.000000    4877.608283    4898.325206
  340.200000    4873.665928    4893.681352
  340.400000    4869.729076    4889.044625
  340.600000    4865.797716    4884.415012
  340.800000    4861.871838    4879.764481
  341.000000    4857.951430    4875.108769
  341.200000    4854.036482    4870.460225
  341.400000    4850.126982    4865.818833
  341.600000    4846.222921    4861.184579
  341.800000    4842.324287    4856.557447
  342.000000    4838.431069    4851.937422
  342.200000    4834.543257    4847.324489
  342.400000    4830.660841    4842.718634
  342.600000    4826.783809    4838.119841
  342.800000    4822.912151    4833.528095
  343.000000    4819.045857    4828.943381
  343.200000    4815.184915    4824.365684
  343.400000    4811.329316    4819.668259
  343.600000    4807.479049    4814.967139
  343.800000    4803.634103    4810.273336
  344.000000    4799.794468    4805.586835
  344.200000    4795.960134    4800.956457
  344.400000    4792.131089    4796.358236
  344.600000    4788.307325    4791.767085
  344.800000    4784.488830    4787.182988
  345.000000    4780.675594    4782.648054
  345.200000    4776.867606    4778.121791
  345.400000    4773.064858    4773.602429
  345.600000    4769.267338    4769.089954
  345.800000    4765.475035    4765.057271
  346.000000    4761.687941    4761.039944
  346.200000    4757.906045    4756.440108
  346.400000    27826.774292    14669.491932
  346.600000    27804.753207    45110.719675
  346.800000    27782.762239    45008.185027
  347.000000    27760.801330    44903.014029
  347.200000    27738.870421    44797.942207
  347.400000    27716.969454    44695.459039
  347.600000    27695.098372    44594.443178
  347.800000    27673.257115    44495.101400
  348.000000    27651.445627    44395.751127
  348.200000    27629.663849    44289.825257
  348.400000    27607.911724    44184.212727
  348.600000    27586.189196    44083.095595
  348.800000    27564.496205    43982.441302
  349.000000    27542.832697    43882.074333
  349.200000    27521.198612    43781.993702
  349.400000    27499.593896    43681.359596
  349.600000    27478.018491    43580.997159
  349.800000    38434.277013    43483.659851
  350.000000    38403.423687    43659.361644
  350.200000    38398.844778    43885.534022
  350.400000    38394.269028    43839.544756
  350.600000    38389.696434    43794.283465
  350.800000    38385.126992    43749.144200
  351.000000    38380.560698    43706.205804
  351.200000    38375.997548    43660.116301
  351.400000    38371.437538    43614.101599
  351.600000    38366.880664    43568.177113
  351.800000    38362.326922    43522.699998
  352.000000    38357.776308    43477.296159
  352.200000    38353.228818    43431.965436
  352.400000    38348.684448    43386.707670
  352.600000    38344.143195    43341.522702
  352.800000    38339.605055    43296.410375
  353.000000    38335.070023    43251.370530
  353.200000    38330.538096    43206.312509
  353.400000    38326.009269    43160.288235
  353.600000    38321.483540    43114.338985
  353.800000    38316.960904    43068.464594
  354.000000    38312.441357    43022.664898
  354.200000    38307.924895    42976.939733
  354.400000    38303.411515    42931.288936
  354.600000    38298.901212    42886.216277
  354.800000    38294.393983    42841.657085
  355.000000    38289.889825    42797.169263
  355.200000    38285.388732    42752.752655
  355.400000    38280.890702    42708.407108
  355.600000    38276.395731    42664.132469
  355.800000    38271.903814    42619.928583
  356.000000    38267.414949    42575.795298
  356.200000    38262.929130    42531.732463
  356.400000    38258.446355    42487.739924
  356.600000    38253.966620    42443.817531
  356.800000    38249.489921    42399.965132
  357.000000    38245.016253    42356.182578
  357.200000    38240.545614    42312.469716
  357.400000    38236.078000    42268.826398
  357.600000    38231.613407    42225.252474
  357.800000    38227.151831    42181.747795
  358.000000    38222.693268    42138.312213
  358.200000    38218.237715    42095.214385
  358.400000    38213.785168    42052.248264
  358.600000    38209.335624    42009.349931
  358.800000    38204.889078    41966.519242
  359.000000    38200.445527    41923.756052
  359.200000    38196.004967    41881.060218
  359.400000    38191.567395    41838.431596
  359.600000    38187.132807    41795.870042
  359.800000    38182.701199    41753.375415
  360.000000    38178.272568    41710.947571
