# XDI/1.0  GSE/1.0
# Beamline.name:  13-ID-E, GSECARS
# Monochromator.name:  Si(111), LN2 Cooled
# Monochromator.dspacing:  3.13477
# Facility.name: APS
# Facility.xray_source: 3.6 cm undulator
# Detectors.i0:  20cm ion chamber, He
# Detectors.ifluor:  Si SDD Vortex ME-4, 4 elements
# Detectors.ifluor_electronics:  Quantum Xspress3 3.1.10
# Column.1: energy eV
# Column.2: mufluor
# Column.3: i0
# Column.4: ifluor (corrected for deadtime)
# Column.5: ifluor_raw (not corrected)
# Column.7: itrans 
# Column.8: irefer 
# Scan.start_time: 2015-03-26 13:01:58
# ///
# summed fe_ka fluorescence data from FeXAFS_REL_Map1_spot4_V_Fe_Ca_Sr.002
# Dead-time correction applied
#---------------------------------
#        energy         mufluor         i0          fluor_dtc        fluor_raw        counttime        itrans         irefer 
      7012.005      0.03301687     241406.000       7970.46936        7966.00          1.000         16.000        -88.000
      7017.004      0.03570610     283788.000      10132.96231       10126.00          1.000         16.000        -86.000
      7022.000      0.03838438     286576.000      11000.04304       10992.00          1.000         16.000        -85.000
      7026.998      0.04091087     286696.000      11728.98200       11720.00          1.000         16.000        -87.000
      7032.009      0.04387182     286449.000      12567.03877       12557.00          1.000         16.000        -87.000
      7037.015      0.04780734     286500.000      13696.80419       13685.00          1.000         15.000        -87.000
      7041.996      0.05307852     284691.000      15110.97610       15097.00          1.000         16.000        -96.000
      7047.004      0.05755787     281484.000      16201.62036       16186.00          1.000         16.000        -97.000
      7052.001      0.06439323     281226.000      18109.05050       18090.00          1.000         16.000        -99.000
      7057.004      0.07179513     280326.000      20126.04062       20103.00          1.000         15.000        -99.000
      7062.005      0.07938605     279740.000      22207.45382       22180.00          1.000         16.000        -84.000
      7067.008      0.08882808     276235.000      24537.42588       24504.00          1.000         16.000        -77.000
      7072.008      0.10071138     276549.000      27851.63130       27810.00          1.000         15.000        -78.000
      7077.008      0.11372757     278420.000      31664.03096       31611.00          1.000         16.000        -77.000
      7082.000      0.13242246     277695.000      36773.05501       36703.00          1.000         16.000        -89.000
      7087.003      0.15507929     277971.000      43107.54473       43013.00          1.000         16.000        -88.000
      7092.006      0.18856168     275999.000      52042.83479       51909.00          1.000         16.000        -88.000
      7097.001      0.23305098     276284.000      64388.25731       64187.00          1.000         16.000        -89.000
      7101.996      0.30166392     277625.000      83749.44654       83413.00          1.000         16.000        -91.000
      7102.199      0.30543819     275912.000      84274.06301       83932.00          1.000         16.000        -90.000
      7102.404      0.31156174     275969.000      85981.38079       85625.00          1.000         16.000        -88.000
      7102.600      0.31393468     276049.000      86661.35496       86300.00          1.000         17.000        -87.000
      7102.795      0.31914845     276198.000      88148.16452       87775.00          1.000         16.000        -87.000
      7102.998      0.32337643     275948.000      89235.07865       88852.00          1.000         16.000        -88.000
      7103.210      0.32689563     275049.000      89912.31503       89526.00          1.000         16.000        -89.000
      7103.405      0.33017902     274908.000      90768.85493       90375.00          1.000         16.000        -87.000
      7103.604      0.33566783     274855.000      92259.98059       91852.00          1.000         15.000        -88.000
      7103.807      0.33909633     274997.000      93250.47367       92832.00          1.000         16.000        -89.000
      7104.002      0.34344578     274747.000      94360.69773       93935.00          1.000         16.000        -89.000
      7104.198      0.34981318     274667.000      96082.13652       95641.00          1.000         16.000        -89.000
      7104.401      0.35495355     274481.000      97428.00643       96973.00          1.000         16.000        -87.000
      7104.613      0.36079072     274543.000      99052.56759       98584.00          1.000         16.000        -88.000
      7104.805      0.36372600     274520.000      99850.06122       99376.00          1.000         16.000        -90.000
      7105.011      0.37073972     274406.000     101733.20253      101238.00          1.000         16.000        -89.000
      7105.200      0.37772787     274276.000     103601.68796      103092.00          1.000         16.000        -90.000
      7105.402      0.38327876     274431.000     105183.57448      104657.00          1.000         16.000        -91.000
      7105.605      0.39057212     274266.000     107120.65363      106577.00          1.000         16.000        -91.000
      7105.804      0.39507345     274225.000     108339.01567      107785.00          1.000         15.000        -92.000
      7106.000      0.39945006     274301.000     109569.54998      108999.00          1.000         15.000        -92.000
      7106.196      0.40630502     274398.000     111489.28457      110898.00          1.000         16.000        -79.000
      7106.398      0.41158051     274106.000     112816.68791      112213.00          1.000         16.000        -80.000
      7106.607      0.41568491     274116.000     113945.88450      113331.00          1.000         16.000        -79.000
      7106.803      0.42569097     273983.000     116632.08826      115986.00          1.000         16.000        -79.000
      7106.996      0.43026262     274124.000     117945.30932      117283.00          1.000         16.000        -80.000
      7107.215      0.43902897     274042.000     120312.37689      119629.00          1.000         16.000        -79.000
      7107.391      0.44358221     274058.000     121567.25401      120870.00          1.000         16.000        -79.000
      7107.613      0.45329051     273952.000     124179.84215      123451.00          1.000         16.000        -79.000
      7107.803      0.46295253     273974.000     126836.95533      126076.00          1.000         16.000        -80.000
      7108.008      0.47330158     273773.000     129577.19272      128789.00          1.000         16.000        -80.000
      7108.195      0.48130152     273879.000     131818.37827      131001.00          1.000         16.000        -80.000
      7108.404      0.49186402     273945.000     134743.68969      133887.00          1.000         16.000        -80.000
      7108.606      0.50147845     273866.000     137337.89603      136446.00          1.000         16.000        -79.000
      7108.805      0.51710519     273718.000     141540.99812      140597.00          1.000         16.000        -79.000
      7108.995      0.53015718     273709.000     145108.79145      144117.00          1.000         16.000        -80.000
      7109.201      0.54568002     273457.000     149220.02169      148170.00          1.000         16.000        -79.000
      7109.403      0.56060213     273549.000     153352.15070      152248.00          1.000         16.000        -79.000
      7109.603      0.57885602     273451.000     158288.75715      157112.00          1.000         16.000        -79.000
      7109.809      0.59378583     273399.000     162340.45139      161106.00          1.000         15.000        -80.000
