# XDI/1.0  GSE/1.0
# Beamline.name:  13-ID-E, GSECARS
# Monochromator.name:  Si(111), LN2 Cooled
# Monochromator.dspacing:  3.13477
# Facility.name: APS
# Facility.xray_source: 3.6 cm undulator
# Detectors.i0:  20cm ion chamber, He
# Detectors.ifluor:  Si SDD Vortex ME-4, 4 elements
# Detectors.ifluor_electronics:  Quantum Xspress3 3.1.10
# Column.1: energy eV
# Column.2: mufluor
# Column.3: i0
# Column.4: ifluor (corrected for deadtime)
# Column.5: ifluor_raw (not corrected)
# Column.7: itrans 
# Column.8: irefer 
# Scan.start_time: 2015-03-26 14:20:19
# ///
# summed sr_ka fluorescence data from SrXAFS_REL_Map1_spot14_Sr.004
# Dead-time correction applied
#---------------------------------
#        energy         mufluor         i0          fluor_dtc        fluor_raw        counttime        itrans         irefer 
     15905.009      0.09369660       9798.000        918.03931         917.00          1.500         21.000       -158.500
     15910.012      0.08919778      17141.000       1528.93922        1526.00          1.500         21.000       -158.500
     15915.018      0.09156327      18989.000       1738.69501        1735.00          1.500         21.000       -158.500
     15919.993      0.08847838      19777.000       1749.83688        1746.00          1.500         21.000       -160.500
     15925.005      0.08242926      20415.000       1682.79342        1679.00          1.500         22.000       -159.500
     15930.021      0.08594435      19567.000       1681.67299        1678.00          1.500         21.000       -153.500
     15935.057      0.08482075      19590.000       1661.63854        1658.00          1.500         21.000       -140.500
     15939.960      0.08425868      19698.000       1659.72737        1656.00          1.500         20.000       -142.500
     15945.002      0.08515639      19750.000       1681.83868        1678.00          1.500         20.000       -142.500
     15949.979      0.08530131      19869.000       1694.85167        1691.00          1.500         20.000       -142.500
     15954.977      0.08187105      20116.000       1646.91807        1643.00          1.500         20.000       -142.500
     15960.062      0.08429160      20014.000       1687.01206        1683.00          1.500         19.000       -141.500
     15965.015      0.08490224      19953.000       1694.05440        1690.00          1.500         19.000       -140.500
     15970.005      0.07821336      20148.000       1575.84272        1572.00          1.500         20.000       -139.500
     15975.049      0.07940952      20007.000       1588.74634        1585.00          1.500         20.000       -139.500
     15980.011      0.07874154      20176.000       1588.68933        1585.00          1.500         20.000       -141.500
     15985.011      0.08046707      20243.000       1628.89499        1625.00          1.500         21.000       -141.500
     15989.996      0.08108495      20076.000       1627.86143        1624.00          1.500         19.000       -140.500
     15994.968      0.07492586      20107.000       1506.53430        1503.00          1.500         21.000       -140.500
     16000.028      0.07577105      19842.000       1503.44925        1500.00          1.500         21.000       -139.500
     16005.006      0.07831433      19505.000       1527.52092        1524.00          1.500         20.000       -139.500
     16010.038      0.08014440      20137.000       1613.86781        1610.00          1.500         20.000       -140.500
     16015.022      0.07489009      19810.000       1483.57271        1480.00          1.500         21.000       -139.500
     16020.026      0.07538319      19201.000       1447.43266        1444.00          1.500         21.000       -142.500
     16025.034      0.07627671      18963.000       1446.43526        1443.00          1.500         21.000       -141.500
     16030.010      0.07476420      18797.000       1405.34268        1402.00          1.500         22.000       -141.500
     16035.024      0.07410364      18857.000       1397.37232        1394.00          1.500         21.000       -141.500
     16040.006      0.07373928      18747.000       1382.39022        1379.00          1.500         21.000       -141.500
     16045.044      0.07992554      18852.000       1506.75633        1503.00          1.500         21.000       -142.500
     16049.998      0.07111059      19020.000       1352.52340        1349.00          1.500         21.000       -141.500
     16055.024      0.07806205      19074.000       1488.95558        1485.00          1.500         21.000       -140.500
     16059.985      0.07626196      19552.000       1491.07386        1487.00          1.500         21.000       -141.500
     16064.983      0.07450957      19771.000       1473.12862        1469.00          1.500         21.000       -141.500
     16070.019      0.07211556      19981.000       1440.94109        1437.00          1.500         20.000       -143.500
     16074.989      0.07448755      20204.000       1504.94636        1501.00          1.500         20.000       -142.500
     16079.979      0.07500057      20399.000       1529.93667        1526.00          1.500         21.000       -141.500
     16085.042      0.08145304      20654.000       1682.33102        1678.00          1.500         21.000       -140.500
     16089.952      0.08083551      20676.000       1671.35505        1667.00          1.500         20.000       -141.500
     16095.021      0.08403000      20619.000       1732.61452        1728.00          1.500         21.000       -141.500
     16095.194      0.08658466      27388.000       2371.38070        2365.00          2.000         27.000       -189.000
     16095.402      0.08388922      27311.000       2291.09843        2285.00          2.000         27.000       -190.000
     16095.679      0.08652066      27325.000       2364.17705        2358.00          2.000         27.000       -190.000
     16095.817      0.08288823      27385.000       2269.89408        2264.00          2.000         28.000       -191.000
     16096.042      0.08806478      27311.000       2405.13729        2399.00          2.000         28.000       -192.000
     16096.250      0.08459460      27374.000       2315.69248        2310.00          2.000         28.000       -192.000
     16096.406      0.08749198      27314.000       2389.75605        2384.00          2.000         28.000       -191.000
     16096.596      0.08800488      27360.000       2407.81355        2402.00          2.000         28.000       -189.000
     16096.804      0.08535251      27364.000       2335.58611        2330.00          2.000         28.000       -205.000
     16097.011      0.08929619      27346.000       2441.89372        2436.00          2.000         29.000       -217.000
     16097.236      0.09132228      27345.000       2497.20764        2491.00          2.000         29.000       -218.000
     16097.410      0.08633066      27418.000       2367.01392        2361.00          2.000         29.000       -217.000
     16097.600      0.08932455      27364.000       2444.27695        2438.00          2.000         29.000       -216.000
     16097.842      0.09074194      27380.000       2484.51418        2478.00          2.000         29.000       -216.000
     16097.998      0.09085125      27446.000       2493.50350        2487.00          2.000         28.000       -214.000
     16098.241      0.09014358      27496.000       2478.58798        2472.00          2.000         28.000       -215.000
     16098.431      0.09138369      27419.000       2505.64927        2499.00          2.000         28.000       -217.000
     16098.604      0.09062084      27462.000       2488.62947        2482.00          2.000         28.000       -216.000
     16098.812      0.09040270      27473.000       2483.63347        2477.00          2.000         28.000       -214.000
     16099.037      0.09421102      27470.000       2587.97678        2581.00          2.000         29.000       -214.000
     16099.210      0.09601382      27497.000       2640.09198        2633.00          2.000         29.000       -215.000
     16099.366      0.09383275      27517.000       2581.99581        2575.00          2.000         28.000       -214.000
     16099.608      0.09251405      27551.000       2548.85470        2542.00          2.000         28.000       -213.000
     16099.782      0.09530169      27597.000       2630.04085        2623.00          2.000         28.000       -212.000
     16099.989      0.09691295      27521.000       2667.14133        2660.00          2.000         28.000       -211.000
     16100.197      0.09700964      27471.000       2664.95187        2658.00          2.000         28.000       -212.000
     16100.405      0.09711468      27462.000       2666.96328        2660.00          2.000         28.000       -216.000
     16100.630      0.10193720      27489.000       2802.15177        2795.00          2.000         28.000       -216.000
     16100.821      0.10175679      27469.000       2795.15718        2788.00          2.000         28.000       -218.000
     16101.011      0.10572394      27368.000       2893.45287        2886.00          2.000         28.000       -220.000
     16101.219      0.10875983      27443.000       2984.69601        2977.00          2.000         29.000       -218.000
     16101.392      0.10701140      27280.000       2919.27089        2912.00          2.000         28.000       -220.000
     16101.635      0.10438576      27226.000       2842.00656        2835.00          2.000         28.000       -220.000
     16101.808      0.10777365      27290.000       2941.14279        2934.00          2.000         29.000       -223.000
     16102.050      0.10771187      27323.000       2943.01151        2936.00          2.000         30.000       -223.000
     16102.189      0.11260783      27337.000       3078.36020        3071.00          2.000         30.000       -221.000
     16102.397      0.11098541      27312.000       3031.23355        3024.00          2.000         29.000       -219.000
     16102.605      0.11374002      27330.000       3108.51475        3101.00          2.000         30.000       -220.000
     16102.812      0.11401949      27354.000       3118.88918        3111.00          2.000         30.000       -216.000
     16102.986      0.12278160      27396.000       3363.72472        3355.00          2.000         29.000       -221.000
     16103.176      0.12863987      27367.000       3520.48720        3511.00          2.000         29.000       -220.000
     16103.384      0.12121625      27397.000       3320.96153        3312.00          2.000         29.000       -222.000
     16103.627      0.12351203      27382.000       3382.00628        3373.00          2.000         29.000       -220.000
     16103.817      0.12783560      27297.000       3489.52846        3480.00          2.000         29.000       -218.000
     16104.008      0.13234030      27347.000       3619.11025        3609.00          2.000         28.000       -217.000
     16104.198      0.13739756      27292.000       3749.85426        3739.00          2.000         29.000       -215.000
     16104.406      0.13957863      27320.000       3813.28806        3802.00          2.000         28.000       -217.000
     16104.597      0.14636335      27281.000       3992.93844        3981.00          2.000         28.000       -216.000
     16104.805      0.15029970      27574.000       4144.36379        4132.00          2.000         29.000       -214.000
     16105.013      0.16171206      27666.000       4473.92579        4461.00          2.000         29.000       -214.000
     16105.221      0.17039842      27698.000       4719.69549        4706.00          2.000         29.000       -212.000
     16105.411      0.17337559      27731.000       4807.87835        4794.00          2.000         28.000       -208.000
     16105.602      0.18149096      27587.000       5006.79112        4992.00          2.000         29.000       -191.000
     16105.775      0.19354075      27637.000       5348.88567        5332.00          2.000         29.000       -193.000
     16106.018      0.19822396      27649.000       5480.69415        5463.00          2.000         28.000       -191.000
     16106.208      0.20845721      27505.000       5733.61562        5715.00          2.000         29.000       -191.000
