*Spectrum*
- Title: Zn K edge XAS HERFD of ZnO Zn oxide wurtzite at 10K
- Version: #1 (2019-09-02 09:17:01 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: fluorescence emission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 9512.0-10402.0 eV (Resol. 0.495 eV)
- Observation geometry: directional
- Spatial observation mode: averaged
- Data analysis: raw averaged spectra
- Quality flag: 
- File name: XAS_HERFD_ZnO_10K.data.txt
- Comments: 

*Sample*
- Name: Pellet of ZnO Zn oxide wurtzite mixed with BN
- Origin(s): commercial
- Type: pellet
- Temperature: 10.0 +/- 5.0 K
- Pressure: 

*Experiment*
- Title: Zn K edge XAS HERFD of Zn compounds at 10K for coordination determination in complex biological systems
- Version: #1 (2019-09-02 09:17:01 UTC)
- Experimentalist(s): Thomas Sara; Mishra Bhoopesh
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_ST_20180418_001

*Data reference*
- Thomas, Sara; Mishra, Bhoopesh (2018): Zn K edge XAS HERFD of Zn compounds at 10K for coordination determination in complex biological systems. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_ST_20180418_001




energy(ev)	fluorescence_emission(au)
9598.219870	2.36341
9604.390140	2.21945
9609.720230	2.25160
9614.899640	2.51816
9619.839670	2.11604
9625.020030	2.31400
9629.929540	2.39461
9630.620000	2.13153
9631.039620	2.05316
9631.560330	2.17442
9632.080080	2.15482
9632.559780	2.20129
9633.060460	2.28095
9633.549690	2.31134
9634.090420	2.31666
9634.550090	2.25325
9635.060310	2.23159
9635.560040	2.13868
9636.050220	2.17910
9636.569980	2.18752
9637.069700	2.16017
9637.590410	2.30040
9638.019560	2.28961
9638.560300	2.23682
9639.089580	2.13225
9639.590260	2.32273
9640.080450	2.14238
9640.560150	2.28325
9641.099930	2.39884
9641.559600	2.29361
9642.060280	2.24232
9642.560010	2.22824
9643.059730	2.10480
9643.569950	2.25229
9644.120220	2.39648
9644.550320	2.18810
9645.050050	2.44075
9645.560260	2.24694
9646.089550	2.35811
9646.579740	2.28090
9647.060390	2.24657
9647.600170	2.33108
9648.050310	2.32437
9648.590090	2.58214
9649.109840	2.23459
9649.580000	2.36889
9650.059700	2.46814
9650.580410	2.58275
9651.140210	2.89930
9651.530270	2.72375
9652.059560	2.94381
9652.569770	3.13987
9653.070450	3.48759
9653.599740	3.85857
9654.069900	4.27270
9654.600140	4.92156
9655.039790	5.85514
9655.570030	7.57028
9656.089780	9.57430
9656.570430	11.67990
9657.059670	16.15636
9657.580380	23.78593
9658.160210	38.13786
9658.530240	64.72888
9659.090040	145.33515
9659.580230	295.03513
9660.090450	573.60776
9660.590170	1044.10358
9661.149980	1838.42894
9661.499980	2809.26709
9662.039760	4787.57119
9662.579540	6810.63892
9663.089750	8096.65454
9663.559910	8170.65447
9664.079670	7586.37924
9664.620400	7248.72559
9665.049550	7220.90064
9665.559770	7395.43222
9666.069980	7848.78076
9666.560170	8616.20850
9667.079930	9611.75049
9667.579650	10645.65450
9668.140410	11874.27440
9668.549540	12952.14890
9669.079780	13802.63430
9669.590000	13575.20310
9670.089720	12792.08930
9670.570370	11784.74460
9671.070100	10544.39310
9671.629910	9330.21155
9672.030450	8530.16712
9672.579770	7981.89427
9673.080440	7770.43457
9673.560140	7479.09933
9674.079900	6890.69969
9674.590110	6234.92749
9675.100330	5759.59741
9675.550460	5553.69921
9676.070210	5588.75942
9676.569940	5713.90308
9677.100180	5943.67822
9677.599910	6368.46704
9678.119660	6964.76420
9678.540230	7630.08031
9679.070470	8229.44377
9679.579730	8572.74467
9680.100440	8627.43109
9680.569650	8426.31202
9681.070330	8110.82614
9681.610110	7836.19489
9682.069780	7641.49320
9682.579990	7566.92496
9683.070180	7553.44434
9683.560370	7554.04432
9684.080120	7450.90723
9684.590340	7275.77686
9685.099600	7079.13399
9685.540200	6851.92531
9686.070440	6641.10347
9686.599730	6522.13599
9687.100410	6430.48424
9687.589650	6415.74562
9688.070300	6430.12451
9688.599590	6455.61003
9689.080240	6414.79650
9689.570430	6310.63135
9690.070150	6152.15625
9690.549850	5934.15137
9691.089630	5737.44629
9691.590310	5553.92700
9692.099570	5444.94010
9692.549710	5323.58274
9693.059920	5279.93707
9693.579670	5261.01880
9694.089890	5254.89453
9694.569590	5230.77222
9695.059780	5190.48047
9695.630070	5155.46134
9696.040150	5124.95170
9696.579930	5090.44507
9697.110180	5081.99520
9697.569850	5078.26133
9698.080060	5100.63521
9698.590280	5143.28334
9699.119570	5192.80913
9699.540140	5252.48815
9700.059890	5331.37766
9702.610020	5737.59574
9707.869530	6468.28610
9710.740090	7018.27095
9713.399890	7978.41981
9716.449740	7885.08526
9719.280240	6778.49708
9722.390170	6570.27594
9725.549700	6482.69350
9728.719710	6593.53516
9732.069970	6977.63523
9735.309600	7189.90543
9738.820080	7544.24029
9742.389680	7383.25979
9745.920180	7007.75216
9749.500270	6659.37389
9753.170010	6239.08810
9757.160190	5915.03049
9760.899540	5788.18337
9764.949800	5870.54015
9768.950460	6106.06272
9773.030280	6505.75495
9777.400020	6727.39394
9781.390190	6782.32397
9785.969730	6638.42832
9790.209770	6589.36034
9794.710160	6790.42527
9799.249650	6887.84894
9803.979870	6536.16730
9808.679580	6234.17673
9813.400270	6072.83253
9818.349840	6170.86694
9823.289870	6473.28415
9828.269960	6699.95291
9833.390240	6737.98250
9838.609700	6675.05706
9843.779560	6582.49713
9849.040030	6424.46454
9854.570390	6236.08957
9859.849930	6024.89813
9865.639690	5875.05374
9871.000290	5928.95555
9876.859660	6077.54464
9882.659910	6259.12481
9888.449670	6378.03416
9894.399640	6487.65210
9900.409700	6406.37656
