 ZnSe (cubic zinc sulfide structure)                    Feff 6L.02  potph 4.12
 Abs   Z=30 Rmt= 1.200 Rnm= 1.543 K shell
 Pot 1 Z=30 Rmt= 1.202 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.252 Rnm= 1.607
 Pot 3 Z=33 Rmt= 1.259 Rnm= 1.626
 Gam_ch=1.936E+00 H-L exch
 Mu=-3.979E+00 kf=1.722E+00 Vint=-1.528E+01 Rs_int= 2.106
 Path    2      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9740   -3.97860 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  3  33 As    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1740E+00  0.0000E+00 -4.7241E+00  0.9561E+00  1.3566E+01  1.7238E+00
  0.200  4.1805E+00  1.2799E-01 -5.6593E+00  0.9577E+00  1.3652E+01  1.7350E+00
  0.400  4.1985E+00  2.4544E-01 -6.5035E+00  0.9623E+00  1.3880E+01  1.7679E+00
  0.600  4.2239E+00  3.4324E-01 -7.2612E+00  0.9699E+00  1.4171E+01  1.8216E+00
  0.800  4.2504E+00  4.1465E-01 -7.9385E+00  0.9803E+00  1.4406E+01  1.8946E+00
  1.000  4.2704E+00  4.5548E-01 -8.5422E+00  0.9932E+00  1.4468E+01  1.9853E+00
  1.200  4.2762E+00  4.6409E-01 -9.0789E+00  0.1009E+01  1.4280E+01  2.0925E+00
  1.400  4.2604E+00  4.4156E-01 -9.5563E+00  0.1026E+01  1.3850E+01  2.2153E+00
  1.600  4.2172E+00  3.9282E-01 -9.9847E+00  0.1044E+01  1.3275E+01  2.3533E+00
  1.800  4.1423E+00  3.2794E-01 -1.0380E+01  0.1060E+01  1.2708E+01  2.5064E+00
  2.000  4.0329E+00  2.6198E-01 -1.0760E+01  0.1072E+01  1.2325E+01  2.6751E+00
  2.200  3.7798E+00  2.2696E-01 -1.0972E+01  0.1154E+01  9.1912E+00  2.9014E+00
  2.400  3.8013E+00  1.8361E-01 -1.1463E+01  0.1296E+01  6.4688E+00  3.0269E+00
  2.600  3.7908E+00  1.4009E-01 -1.2022E+01  0.1352E+01  5.6362E+00  3.1610E+00
  2.800  3.7535E+00  1.2002E-01 -1.2425E+01  0.1364E+01  5.3064E+00  3.3031E+00
  3.000  3.6856E+00  9.7633E-02 -1.2542E+01  0.1351E+01  5.1935E+00  3.4523E+00
  3.200  3.6145E+00  7.8051E-02 -1.2298E+01  0.1330E+01  5.1989E+00  3.6080E+00
  3.400  3.5183E+00  8.3105E-02 -1.1757E+01  0.1300E+01  5.2786E+00  3.7692E+00
  3.600  3.4198E+00  1.1896E-01 -1.1408E+01  0.1271E+01  5.4098E+00  3.9353E+00
  3.800  3.3068E+00  1.6272E-01 -1.1272E+01  0.1239E+01  5.5790E+00  4.1056E+00
  4.000  3.2003E+00  2.0830E-01 -1.1222E+01  0.1211E+01  5.7782E+00  4.2795E+00
  4.200  3.0972E+00  2.5265E-01 -1.1208E+01  0.1184E+01  6.0016E+00  4.4566E+00
  4.400  2.9926E+00  2.9555E-01 -1.1219E+01  0.1158E+01  6.2455E+00  4.6363E+00
  4.600  2.8932E+00  3.3921E-01 -1.1250E+01  0.1136E+01  6.5070E+00  4.8184E+00
  4.800  2.7861E+00  3.8764E-01 -1.1294E+01  0.1115E+01  6.7841E+00  5.0024E+00
  5.000  2.6868E+00  4.3472E-01 -1.1351E+01  0.1096E+01  7.0752E+00  5.1881E+00
  5.200  2.5901E+00  4.8372E-01 -1.1420E+01  0.1079E+01  7.3789E+00  5.3754E+00
  5.400  2.4884E+00  5.3566E-01 -1.1492E+01  0.1064E+01  7.6943E+00  5.5639E+00
  5.600  2.3919E+00  5.8082E-01 -1.1565E+01  0.1052E+01  8.0206E+00  5.7536E+00
  5.800  2.2915E+00  6.2319E-01 -1.1635E+01  0.1040E+01  8.3570E+00  5.9443E+00
  6.000  2.1935E+00  6.5951E-01 -1.1701E+01  0.1031E+01  8.7031E+00  6.1358E+00
  6.500  1.9445E+00  7.1369E-01 -1.1858E+01  0.1010E+01  9.6071E+00  6.6178E+00
  7.000  1.6988E+00  7.2505E-01 -1.1995E+01  0.9946E+00  1.0562E+01  7.1034E+00
  7.500  1.4631E+00  7.2230E-01 -1.2118E+01  0.9802E+00  1.1564E+01  7.5917E+00
  8.000  1.2442E+00  7.1484E-01 -1.2237E+01  0.9678E+00  1.2609E+01  8.0820E+00
  8.500  1.0425E+00  7.0175E-01 -1.2351E+01  0.9576E+00  1.3695E+01  8.5739E+00
