 name:     ZnSe  (cubic zinc sulfide structure)         Feff 6L.02    potph 4.12
 formula:  ZnSe
 sites:    Zn1,Se1
 refer1:   wyckoff 1,III,110
 refer2:
 schoen:
 notes1:   cubic  zinc sulfide structure
 Abs   Z=30 Rmt= 1.203 Rnm= 1.541 K shell
 Pot 1 Z=30 Rmt= 1.202 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.252 Rnm= 1.608
 Pot 3 Z=35 Rmt= 1.242 Rnm= 1.582
 Gam_ch=1.936E+00 H-L exch
 Mu=-3.929E+00 kf=1.724E+00 Vint=-1.525E+01 Rs_int= 2.104
 Path    2      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9719   -3.92855 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  3  35 Br    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1545E+00  0.0000E+00 -4.0526E+00  0.9565E+00  1.3579E+01  1.7254E+00
  0.200  4.1609E+00  1.4369E-01 -4.9887E+00  0.9580E+00  1.3664E+01  1.7365E+00
  0.400  4.1788E+00  2.7383E-01 -5.8347E+00  0.9626E+00  1.3892E+01  1.7694E+00
  0.600  4.2042E+00  3.7963E-01 -6.5926E+00  0.9700E+00  1.4182E+01  1.8231E+00
  0.800  4.2307E+00  4.5399E-01 -7.2651E+00  0.9802E+00  1.4418E+01  1.8960E+00
  1.000  4.2511E+00  4.9276E-01 -7.8546E+00  0.9929E+00  1.4480E+01  1.9866E+00
  1.200  4.2574E+00  4.9362E-01 -8.3638E+00  0.1008E+01  1.4292E+01  2.0937E+00
  1.400  4.2426E+00  4.5629E-01 -8.7970E+00  0.1025E+01  1.3862E+01  2.2165E+00
  1.600  4.2006E+00  3.8460E-01 -9.1652E+00  0.1043E+01  1.3287E+01  2.3543E+00
  1.800  4.1270E+00  2.8946E-01 -9.4956E+00  0.1059E+01  1.2718E+01  2.5073E+00
  2.000  4.0190E+00  1.9082E-01 -9.8616E+00  0.1071E+01  1.2332E+01  2.6759E+00
  2.200  3.7659E+00  1.4460E-01 -1.0252E+01  0.1152E+01  9.2382E+00  2.9026E+00
  2.400  3.7890E+00  9.5975E-02 -1.1118E+01  0.1294E+01  6.4818E+00  3.0280E+00
  2.600  3.7798E+00  1.1961E-01 -1.2067E+01  0.1351E+01  5.6422E+00  3.1621E+00
  2.800  3.7437E+00  1.6622E-01 -1.2435E+01  0.1362E+01  5.3096E+00  3.3041E+00
  3.000  3.6766E+00  1.8826E-01 -1.2564E+01  0.1350E+01  5.1952E+00  3.4533E+00
