 ZnSe (cubic zinc sulfide structure)                    Feff 6L.02  potph 4.12
 Abs   Z=30 Rmt= 1.205 Rnm= 1.553 K shell
 Pot 1 Z=30 Rmt= 1.202 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.251 Rnm= 1.607
 Pot 3 Z=31 Rmt= 1.255 Rnm= 1.617
 Gam_ch=1.936E+00 H-L exch
 Mu=-4.023E+00 kf=1.719E+00 Vint=-1.529E+01 Rs_int= 2.109
 Path    2      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9736   -4.02297 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  3  31 Ga    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1991E+00  0.0000E+00 -5.4311E+00  0.9559E+00  1.3544E+01  1.7210E+00
  0.200  4.2056E+00  7.5988E-02 -6.3711E+00  0.9576E+00  1.3630E+01  1.7321E+00
  0.400  4.2236E+00  1.5050E-01 -7.2280E+00  0.9624E+00  1.3858E+01  1.7651E+00
  0.600  4.2489E+00  2.2124E-01 -8.0023E+00  0.9702E+00  1.4149E+01  1.8189E+00
  0.800  4.2751E+00  2.8467E-01 -8.6966E+00  0.9807E+00  1.4385E+01  1.8920E+00
  1.000  4.2944E+00  3.3632E-01 -9.3153E+00  0.9939E+00  1.4446E+01  1.9829E+00
  1.200  4.2991E+00  3.7170E-01 -9.8639E+00  0.1009E+01  1.4258E+01  2.0902E+00
  1.400  4.2818E+00  3.8743E-01 -1.0348E+01  0.1027E+01  1.3828E+01  2.2132E+00
  1.600  4.2368E+00  3.8218E-01 -1.0769E+01  0.1045E+01  1.3254E+01  2.3513E+00
  1.800  4.1599E+00  3.5710E-01 -1.1130E+01  0.1061E+01  1.2690E+01  2.5047E+00
  2.000  4.0484E+00  3.1593E-01 -1.1425E+01  0.1073E+01  1.2311E+01  2.6736E+00
  2.200  3.7955E+00  2.6451E-01 -1.1535E+01  0.1158E+01  9.1055E+00  2.8992E+00
  2.400  3.8152E+00  2.3488E-01 -1.1966E+01  0.1298E+01  6.4447E+00  3.0248E+00
  2.600  3.8030E+00  1.8893E-01 -1.2330E+01  0.1353E+01  5.6250E+00  3.1591E+00
  2.800  3.7645E+00  1.3819E-01 -1.2583E+01  0.1364E+01  5.3004E+00  3.3012E+00
  3.000  3.6953E+00  8.7570E-02 -1.2589E+01  0.1351E+01  5.1904E+00  3.4506E+00
  3.200  3.6230E+00  6.7300E-02 -1.2011E+01  0.1330E+01  5.1976E+00  3.6063E+00
  3.400  3.5274E+00  9.9640E-02 -1.1538E+01  0.1300E+01  5.2787E+00  3.7677E+00
  3.600  3.4273E+00  1.6068E-01 -1.1439E+01  0.1271E+01  5.4110E+00  3.9339E+00
  3.800  3.3235E+00  2.2068E-01 -1.1471E+01  0.1239E+01  5.5812E+00  4.1043E+00
  4.000  3.2087E+00  2.7888E-01 -1.1539E+01  0.1210E+01  5.7812E+00  4.2783E+00
  4.200  3.1048E+00  3.3256E-01 -1.1613E+01  0.1183E+01  6.0054E+00  4.4554E+00
  4.400  3.0013E+00  3.8196E-01 -1.1683E+01  0.1157E+01  6.2501E+00  4.6352E+00
  4.600  2.9010E+00  4.2500E-01 -1.1754E+01  0.1135E+01  6.5123E+00  4.8173E+00
  4.800  2.7942E+00  4.6637E-01 -1.1824E+01  0.1114E+01  6.7901E+00  5.0014E+00
  5.000  2.6953E+00  5.1101E-01 -1.1892E+01  0.1095E+01  7.0819E+00  5.1872E+00
  5.200  2.5983E+00  5.5011E-01 -1.1960E+01  0.1078E+01  7.3863E+00  5.3745E+00
  5.400  2.4965E+00  5.8998E-01 -1.2030E+01  0.1064E+01  7.7024E+00  5.5631E+00
  5.600  2.3995E+00  6.3174E-01 -1.2096E+01  0.1051E+01  8.0293E+00  5.7528E+00
  5.800  2.2987E+00  6.6544E-01 -1.2161E+01  0.1039E+01  8.3665E+00  5.9435E+00
  6.000  2.2007E+00  6.9667E-01 -1.2222E+01  0.1030E+01  8.7131E+00  6.1351E+00
  6.500  1.9501E+00  7.4566E-01 -1.2364E+01  0.1009E+01  9.6188E+00  6.6171E+00
  7.000  1.7037E+00  7.5125E-01 -1.2497E+01  0.9932E+00  1.0576E+01  7.1028E+00
  7.500  1.4680E+00  7.3855E-01 -1.2615E+01  0.9786E+00  1.1579E+01  7.5911E+00
  8.000  1.2494E+00  7.1828E-01 -1.2726E+01  0.9661E+00  1.2626E+01  8.0815E+00
  8.500  1.0480E+00  6.9430E-01 -1.2830E+01  0.9558E+00  1.3714E+01  8.5734E+00
  9.000  8.5808E-01  6.6022E-01 -1.2933E+01  0.9483E+00  1.4840E+01  9.0666E+00
  9.500  6.7546E-01  6.1487E-01 -1.3035E+01  0.9430E+00  1.6003E+01  9.5608E+00
 10.000  4.9519E-01  5.6611E-01 -1.3139E+01  0.9378E+00  1.7201E+01  1.0056E+01
 11.000  1.4879E-01  4.8264E-01 -1.3343E+01  0.9245E+00  1.9698E+01  1.1048E+01
 12.000 -1.6153E-01  4.0678E-01 -1.3552E+01  0.9136E+00  2.2320E+01  1.2041E+01
 13.000 -4.5463E-01  3.3807E-01 -1.3771E+01  0.9087E+00  2.5061E+01  1.3037E+01
 14.000 -7.2897E-01  2.8861E-01 -1.3969E+01  0.9057E+00  2.7913E+01  1.4033E+01
 15.000 -9.7437E-01  2.4312E-01 -1.4186E+01  0.9035E+00  3.0871E+01  1.5029E+01
 16.000 -1.2072E+00  2.0798E-01 -1.4385E+01  0.9037E+00  3.3929E+01  1.6026E+01
 17.000 -1.4263E+00  1.8019E-01 -1.4574E+01  0.9039E+00  3.7083E+01  1.7024E+01
 18.000 -1.6239E+00  1.5569E-01 -1.4787E+01  0.9040E+00  4.0329E+01  1.8022E+01
 19.000 -1.8140E+00  1.3548E-01 -1.4951E+01  0.9053E+00  4.3662E+01  1.9021E+01
 20.000 -1.9924E+00  1.1729E-01 -1.5154E+01  0.9059E+00  4.7079E+01  2.0019E+01
