 name:     ZnSe  (cubic zinc sulfide structure)         Feff 6L.02  potph 4.12
 formula:  ZnSe
 sites:    Zn1,Se1
 refer1:   wyckoff 1,III,110
 refer2:
 schoen:
 notes1:   cubic  zinc sulfide structure
 Abs   Z=30 Rmt= 1.201 Rnm= 1.547 K shell
 Pot 1 Z=30 Rmt= 1.202 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.251 Rnm= 1.607
 Pot 3 Z=32 Rmt= 1.261 Rnm= 1.633
 Gam_ch=1.936E+00 H-L exch
 Mu=-4.007E+00 kf=1.721E+00 Vint=-1.529E+01 Rs_int= 2.107
 Path    2      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9743   -4.00750 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  3  32 Ge    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1881E+00  0.0000E+00 -5.2404E+00  0.9559E+00  1.3556E+01  1.7224E+00
  0.200  4.1946E+00  1.2262E-01 -6.1706E+00  0.9575E+00  1.3641E+01  1.7336E+00
  0.400  4.2127E+00  2.3766E-01 -7.0005E+00  0.9623E+00  1.3869E+01  1.7666E+00
  0.600  4.2381E+00  3.3755E-01 -7.7367E+00  0.9700E+00  1.4160E+01  1.8203E+00
  0.800  4.2644E+00  4.1534E-01 -8.3885E+00  0.9805E+00  1.4396E+01  1.8933E+00
  1.000  4.2841E+00  4.6580E-01 -8.9656E+00  0.9935E+00  1.4457E+01  1.9841E+00
  1.200  4.2893E+00  4.8636E-01 -9.4766E+00  0.1009E+01  1.4269E+01  2.0914E+00
  1.400  4.2728E+00  4.7768E-01 -9.9288E+00  0.1026E+01  1.3840E+01  2.2143E+00
  1.600  4.2286E+00  4.4392E-01 -1.0328E+01  0.1044E+01  1.3265E+01  2.3523E+00
  1.800  4.1527E+00  3.9293E-01 -1.0679E+01  0.1061E+01  1.2699E+01  2.5055E+00
  2.000  4.0421E+00  3.3528E-01 -1.0979E+01  0.1072E+01  1.2318E+01  2.6743E+00
  2.200  3.7890E+00  2.9674E-01 -1.1099E+01  0.1156E+01  9.1491E+00  2.9004E+00
  2.400  3.8095E+00  2.6066E-01 -1.1446E+01  0.1297E+01  6.4570E+00  3.0259E+00
  2.600  3.7980E+00  2.1442E-01 -1.1745E+01  0.1353E+01  5.6307E+00  3.1601E+00
  2.800  3.7600E+00  1.8526E-01 -1.1934E+01  0.1364E+01  5.3034E+00  3.3022E+00
  3.000  3.6914E+00  1.7031E-01 -1.1952E+01  0.1352E+01  5.1920E+00  3.4515E+00
  3.200  3.6197E+00  1.7612E-01 -1.1826E+01  0.1330E+01  5.1983E+00  3.6072E+00
  3.400  3.5233E+00  2.0080E-01 -1.1696E+01  0.1300E+01  5.2787E+00  3.7684E+00
  3.600  3.4243E+00  2.4212E-01 -1.1602E+01  0.1271E+01  5.4103E+00  3.9346E+00
  3.800  3.3111E+00  2.8610E-01 -1.1557E+01  0.1239E+01  5.5801E+00  4.1049E+00
  4.000  3.2047E+00  3.3053E-01 -1.1544E+01  0.1211E+01  5.7796E+00  4.2789E+00
  4.200  3.1014E+00  3.7000E-01 -1.1549E+01  0.1184E+01  6.0034E+00  4.4560E+00
  4.400  2.9970E+00  4.1019E-01 -1.1566E+01  0.1158E+01  6.2477E+00  4.6358E+00
  4.600  2.8973E+00  4.4919E-01 -1.1597E+01  0.1136E+01  6.5096E+00  4.8178E+00
  4.800  2.7904E+00  4.9264E-01 -1.1639E+01  0.1114E+01  6.7870E+00  5.0019E+00
  5.000  2.6912E+00  5.3313E-01 -1.1691E+01  0.1095E+01  7.0784E+00  5.1877E+00
  5.200  2.5944E+00  5.7651E-01 -1.1747E+01  0.1079E+01  7.3825E+00  5.3749E+00
  5.400  2.4927E+00  6.2352E-01 -1.1806E+01  0.1064E+01  7.6983E+00  5.5635E+00
  5.600  2.3960E+00  6.6347E-01 -1.1870E+01  0.1051E+01  8.0249E+00  5.7532E+00
  5.800  2.2955E+00  7.0090E-01 -1.1928E+01  0.1040E+01  8.3616E+00  5.9439E+00
  6.000  2.1975E+00  7.3038E-01 -1.1988E+01  0.1030E+01  8.7080E+00  6.1354E+00
  6.500  1.9479E+00  7.7433E-01 -1.2123E+01  0.1010E+01  9.6128E+00  6.6175E+00
  7.000  1.7018E+00  7.7381E-01 -1.2249E+01  0.9943E+00  1.0569E+01  7.1031E+00
  7.500  1.4658E+00  7.5993E-01 -1.2365E+01  0.9799E+00  1.1571E+01  7.5914E+00
  8.000  1.2470E+00  7.4257E-01 -1.2477E+01  0.9674E+00  1.2617E+01  8.0817E+00
  8.500  1.0453E+00  7.2078E-01 -1.2584E+01  0.9572E+00  1.3704E+01  8.5737E+00
  9.000  8.5560E-01  6.8540E-01 -1.2691E+01  0.9498E+00  1.4829E+01  9.0668E+00
  9.500  6.7350E-01  6.3747E-01 -1.2795E+01  0.9446E+00  1.5991E+01  9.5610E+00
 10.000  4.9364E-01  5.8807E-01 -1.2900E+01  0.9395E+00  1.7189E+01  1.0056E+01
 11.000  1.4694E-01  5.0735E-01 -1.3100E+01  0.9266E+00  1.9683E+01  1.1048E+01
 12.000 -1.6356E-01  4.2644E-01 -1.3312E+01  0.9159E+00  2.2304E+01  1.2042E+01
 13.000 -4.5612E-01  3.5541E-01 -1.3529E+01  0.9112E+00  2.5043E+01  1.3037E+01
 14.000 -7.3066E-01  3.0418E-01 -1.3726E+01  0.9085E+00  2.7893E+01  1.4033E+01
 15.000 -9.7628E-01  2.5470E-01 -1.3947E+01  0.9066E+00  3.0848E+01  1.5029E+01
 16.000 -1.2086E+00  2.1892E-01 -1.4142E+01  0.9071E+00  3.3904E+01  1.6027E+01
 17.000 -1.4280E+00  1.8891E-01 -1.4339E+01  0.9075E+00  3.7056E+01  1.7024E+01
 18.000 -1.6257E+00  1.6260E-01 -1.4553E+01  0.9079E+00  4.0299E+01  1.8022E+01
 19.000 -1.8153E+00  1.4067E-01 -1.4720E+01  0.9094E+00  4.3630E+01  1.9021E+01
 20.000 -1.9943E+00  1.1724E-01 -1.4929E+01  0.9103E+00  4.7045E+01  2.0019E+01
