 ZnSe (cubic zinc sulfide structure)                    Feff 6L.02  potph 4.12
 Abs   Z=30 Rmt= 1.206 Rnm= 1.542 K shell
 Pot 1 Z=30 Rmt= 1.202 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.252 Rnm= 1.608
 Pot 3 Z=36 Rmt= 1.231 Rnm= 1.554
 Gam_ch=1.936E+00 H-L exch
 Mu=-3.913E+00 kf=1.724E+00 Vint=-1.524E+01 Rs_int= 2.104
 Path    2      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9706   -3.91280 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  3  36 Kr    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1487E+00  0.0000E+00 -3.7925E+00  0.9566E+00  1.3580E+01  1.7256E+00
  0.200  4.1551E+00  1.4439E-01 -4.7289E+00  0.9582E+00  1.3665E+01  1.7367E+00
  0.400  4.1730E+00  2.7600E-01 -5.5750E+00  0.9627E+00  1.3893E+01  1.7696E+00
  0.600  4.1982E+00  3.8462E-01 -6.3321E+00  0.9701E+00  1.4184E+01  1.8233E+00
  0.800  4.2248E+00  4.6342E-01 -7.0010E+00  0.9802E+00  1.4419E+01  1.8962E+00
  1.000  4.2452E+00  5.0794E-01 -7.5820E+00  0.9929E+00  1.4481E+01  1.9868E+00
  1.200  4.2517E+00  5.1479E-01 -8.0750E+00  0.1008E+01  1.4293E+01  2.0939E+00
  1.400  4.2371E+00  4.8170E-01 -8.4807E+00  0.1025E+01  1.3864E+01  2.2166E+00
  1.600  4.1954E+00  4.1000E-01 -8.8042E+00  0.1043E+01  1.3288E+01  2.3544E+00
  1.800  4.1222E+00  3.0802E-01 -9.0608E+00  0.1059E+01  1.2720E+01  2.5074E+00
  2.000  4.0147E+00  1.9246E-01 -9.2968E+00  0.1071E+01  1.2333E+01  2.6760E+00
  2.200  3.7616E+00  1.1565E-01 -9.6309E+00  0.1152E+01  9.2442E+00  2.9028E+00
  2.400  3.7853E+00  3.5384E-02 -1.0773E+01  0.1294E+01  6.4835E+00  3.0282E+00
  2.600  3.7765E+00  1.0480E-01 -1.2359E+01  0.1350E+01  5.6430E+00  3.1622E+00
  2.800  3.7407E+00  1.8473E-01 -1.2602E+01  0.1361E+01  5.3100E+00  3.3042E+00
  3.000  3.6738E+00  2.3349E-01 -1.2631E+01  0.1349E+01  5.1954E+00  3.4534E+00
  3.200  3.6034E+00  2.4554E-01 -1.2590E+01  0.1328E+01  5.1997E+00  3.6089E+00
