 name:     ZnSe  (cubic zinc sulfide structure)         Feff 6L.02    potph 4.12
 formula:  ZnSe
 sites:    Zn1,Se1
 refer1:   wyckoff 1,III,110
 refer2:
 schoen:
 notes1:   cubic  zinc sulfide structure
 Abs   Z=30 Rmt= 1.198 Rnm= 1.545 K shell
 Pot 1 Z=30 Rmt= 1.203 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.251 Rnm= 1.605
 Pot 3 Z=37 Rmt= 1.270 Rnm= 1.656
 Gam_ch=1.936E+00 H-L exch
 Mu=-4.122E+00 kf=1.722E+00 Vint=-1.541E+01 Rs_int= 2.107
 Path    2      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9739   -4.12194 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  3  37 Rb    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.2703E+00  0.0000E+00 -3.0457E+00  0.9560E+00  1.3561E+01  1.7232E+00
  0.200  4.2767E+00  1.2250E-01 -3.9745E+00  0.9578E+00  1.3647E+01  1.7343E+00
  0.400  4.2945E+00  2.3445E-01 -4.7966E+00  0.9629E+00  1.3875E+01  1.7673E+00
  0.600  4.3191E+00  3.2644E-01 -5.5086E+00  0.9711E+00  1.4165E+01  1.8210E+00
  0.800  4.3439E+00  3.9027E-01 -6.1052E+00  0.9821E+00  1.4401E+01  1.8940E+00
  1.000  4.3610E+00  4.1848E-01 -6.5795E+00  0.9957E+00  1.4463E+01  1.9847E+00
  1.200  4.3625E+00  4.0615E-01 -6.9258E+00  0.1011E+01  1.4275E+01  2.0920E+00
  1.400  4.3415E+00  3.5618E-01 -7.1399E+00  0.1029E+01  1.3845E+01  2.2148E+00
  1.600  4.2923E+00  2.8298E-01 -7.2120E+00  0.1047E+01  1.3270E+01  2.3528E+00
  1.800  4.2111E+00  2.0783E-01 -7.1099E+00  0.1063E+01  1.2704E+01  2.5060E+00
  2.000  4.0954E+00  1.5193E-01 -6.7654E+00  0.1075E+01  1.2321E+01  2.6747E+00
  2.200  3.8373E+00  1.2089E-01 -6.1502E+00  0.1157E+01  9.1707E+00  2.9009E+00
  2.400  3.8519E+00  1.7383E-01 -5.8777E+00  0.1298E+01  6.4630E+00  3.0264E+00
  2.600  3.8355E+00  2.3964E-01 -5.7275E+00  0.1354E+01  5.6335E+00  3.1606E+00
  2.800  3.7934E+00  3.0766E-01 -5.5962E+00  0.1366E+01  5.3049E+00  3.3026E+00
  3.000  3.7220E+00  3.5648E-01 -5.5589E+00  0.1353E+01  5.1928E+00  3.4519E+00
  3.200  3.6477E+00  3.8255E-01 -5.5351E+00  0.1332E+01  5.1986E+00  3.6076E+00
  3.400  3.5486E+00  3.7682E-01 -5.5197E+00  0.1302E+01  5.2786E+00  3.7688E+00
  3.600  3.4487E+00  3.4179E-01 -5.4834E+00  0.1273E+01  5.4100E+00  3.9350E+00
  3.800  3.3416E+00  2.8607E-01 -5.4401E+00  0.1241E+01  5.5795E+00  4.1053E+00
  4.000  3.2264E+00  2.2320E-01 -5.3036E+00  0.1212E+01  5.7789E+00  4.2792E+00
  4.200  3.1231E+00  1.7450E-01 -5.0342E+00  0.1185E+01  6.0025E+00  4.4563E+00
  4.400  3.0179E+00  1.6672E-01 -4.6080E+00  0.1159E+01  6.2466E+00  4.6361E+00
  4.600  2.9189E+00  2.0204E-01 -4.2989E+00  0.1137E+01  6.5083E+00  4.8181E+00
  4.800  2.8121E+00  2.6231E-01 -4.1759E+00  0.1115E+01  6.7855E+00  5.0022E+00
  5.000  2.7130E+00  3.2716E-01 -4.1686E+00  0.1096E+01  7.0768E+00  5.1879E+00
  5.200  2.6167E+00  3.8959E-01 -4.2131E+00  0.1080E+01  7.3807E+00  5.3752E+00
  5.400  2.5151E+00  4.4953E-01 -4.2758E+00  0.1065E+01  7.6962E+00  5.5637E+00
  5.600  2.4186E+00  5.0405E-01 -4.3448E+00  0.1052E+01  8.0227E+00  5.7534E+00
  5.800  2.3179E+00  5.4821E-01 -4.4138E+00  0.1041E+01  8.3593E+00  5.9441E+00
  6.000  2.2194E+00  5.8556E-01 -4.4759E+00  0.1032E+01  8.7055E+00  6.1356E+00
  6.500  1.9684E+00  6.4358E-01 -4.6098E+00  0.1012E+01  9.6098E+00  6.6177E+00
  7.000  1.7200E+00  6.7329E-01 -4.7273E+00  0.9958E+00  1.0565E+01  7.1033E+00
  7.500  1.4821E+00  6.9523E-01 -4.8498E+00  0.9812E+00  1.1567E+01  7.5915E+00
  8.000  1.2623E+00  7.0768E-01 -4.9882E+00  0.9685E+00  1.2613E+01  8.0819E+00
  8.500  1.0605E+00  7.0493E-01 -5.1253E+00  0.9583E+00  1.3699E+01  8.5738E+00
  9.000  8.7094E-01  6.8325E-01 -5.2503E+00  0.9510E+00  1.4824E+01  9.0670E+00
  9.500  6.8860E-01  6.4904E-01 -5.3631E+00  0.9459E+00  1.5986E+01  9.5611E+00
 10.000  5.0786E-01  6.1608E-01 -5.4734E+00  0.9410E+00  1.7183E+01  1.0056E+01
