 name:     ZnSe  (cubic zinc sulfide structure)         Feff 6L.02  potph 4.12
 formula:  ZnSe
 sites:    Zn1,Se1
 refer1:   wyckoff 1,III,110
 refer2:
 schoen:
 notes1:   cubic  zinc sulfide structure
 Abs   Z=30 Rmt= 1.201 Rnm= 1.541 K shell
 Pot 1 Z=30 Rmt= 1.202 Rnm= 1.543
 Pot 2 Z=34 Rmt= 1.252 Rnm= 1.608
 Gam_ch=1.936E+00 H-L exch
 Mu=-3.951E+00 kf=1.723E+00 Vint=-1.526E+01 Rs_int= 2.105
 Path    1      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2   4.000   2.4541    2.9731   -3.95069 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
     1.4169   -1.4169   -1.4169  2  34 Se    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1626E+00  0.0000E+00 -4.4399E+00  0.9563E+00  1.3574E+01  1.7248E+00
  0.200  4.1690E+00  1.6357E-01 -5.3702E+00  0.9578E+00  1.3660E+01  1.7359E+00
  0.400  4.1870E+00  3.1102E-01 -6.1997E+00  0.9624E+00  1.3888E+01  1.7689E+00
  0.600  4.2123E+00  4.2926E-01 -6.9335E+00  0.9699E+00  1.4178E+01  1.8225E+00
  0.800  4.2389E+00  5.0969E-01 -7.5784E+00  0.9802E+00  1.4414E+01  1.8955E+00
  1.000  4.2592E+00  5.4796E-01 -8.1410E+00  0.9930E+00  1.4475E+01  1.9862E+00
  1.200  4.2653E+00  5.4307E-01 -8.6279E+00  0.1008E+01  1.4287E+01  2.0933E+00
  1.400  4.2501E+00  4.9732E-01 -9.0468E+00  0.1025E+01  1.3858E+01  2.2160E+00
  1.600  4.2076E+00  4.1784E-01 -9.4118E+00  0.1043E+01  1.3282E+01  2.3539E+00
  1.800  4.1336E+00  3.1890E-01 -9.7535E+00  0.1060E+01  1.2715E+01  2.5070E+00
  2.000  4.0250E+00  2.2393E-01 -1.0138E+01  0.1071E+01  1.2329E+01  2.6756E+00
  2.200  3.7718E+00  1.9104E-01 -1.0480E+01  0.1153E+01  9.2209E+00  2.9022E+00
  2.400  3.7943E+00  1.5220E-01 -1.1080E+01  0.1295E+01  6.4770E+00  3.0276E+00
  2.600  3.7845E+00  1.5131E-01 -1.1754E+01  0.1351E+01  5.6400E+00  3.1617E+00
  2.800  3.7479E+00  1.7876E-01 -1.2088E+01  0.1363E+01  5.3084E+00  3.3037E+00
  3.000  3.6805E+00  1.9838E-01 -1.2166E+01  0.1351E+01  5.1946E+00  3.4529E+00
