 name:     ZnSe  (cubic zinc sulfide structure)         Feff 6L.02  potph 4.12
 formula:  ZnSe
 sites:    Zn1,Se1
 refer1:   wyckoff 1,III,110
 refer2:
 schoen:
 notes1:   cubic  zinc sulfide structure
 Abs   Z=30 Rmt= 1.212 Rnm= 1.558 K shell
 Pot 1 Z=30 Rmt= 1.227 Rnm= 1.560
 Pot 2 Z=34 Rmt= 1.246 Rnm= 1.608
 Gam_ch=1.936E+00 H-L exch
 Mu=-4.321E+00 kf=1.700E+00 Vint=-1.534E+01 Rs_int= 2.133
 Path    1      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2   1.000   2.4541    2.9872   -4.32051 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  30 Zn       absorbing atom
    -1.4169   -1.4169    1.4169  1  30 Zn    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  4.1409E+00  0.0000E+00 -5.8770E+00  0.9537E+00  1.3395E+01  1.7021E+00
  0.200  4.1478E+00  7.5787E-02 -6.8159E+00  0.9553E+00  1.3482E+01  1.7133E+00
  0.400  4.1670E+00  1.4947E-01 -7.6695E+00  0.9600E+00  1.3713E+01  1.7467E+00
  0.600  4.1944E+00  2.1900E-01 -8.4389E+00  0.9676E+00  1.4006E+01  1.8011E+00
  0.800  4.2235E+00  2.8223E-01 -9.1261E+00  0.9782E+00  1.4242E+01  1.8749E+00
  1.000  4.2464E+00  3.3665E-01 -9.7343E+00  0.9915E+00  1.4302E+01  1.9666E+00
  1.200  4.2549E+00  3.7931E-01 -1.0267E+01  0.1007E+01  1.4111E+01  2.0750E+00
  1.400  4.2416E+00  4.0715E-01 -1.0726E+01  0.1025E+01  1.3681E+01  2.1990E+00
  1.600  4.2001E+00  4.1753E-01 -1.1113E+01  0.1043E+01  1.3113E+01  2.3385E+00
  1.800  4.1259E+00  4.0893E-01 -1.1425E+01  0.1060E+01  1.2566E+01  2.4933E+00
  2.000  4.0159E+00  3.8161E-01 -1.1655E+01  0.1071E+01  1.2220E+01  2.6639E+00
  2.200  3.7804E+00  3.3963E-01 -1.1726E+01  0.1176E+01  8.5893E+00  2.8847E+00
  2.400  3.8038E+00  3.2842E-01 -1.2070E+01  0.1308E+01  6.2930E+00  3.0111E+00
  2.600  3.7942E+00  3.0223E-01 -1.2362E+01  0.1358E+01  5.5536E+00  3.1460E+00
  2.800  3.7574E+00  2.6259E-01 -1.2529E+01  0.1366E+01  5.2621E+00  3.2890E+00
  3.000  3.6887E+00  2.1960E-01 -1.2560E+01  0.1351E+01  5.1704E+00  3.4390E+00
  3.200  3.6166E+00  1.9785E-01 -1.2461E+01  0.1328E+01  5.1898E+00  3.5955E+00
  3.400  3.5231E+00  2.0789E-01 -1.2260E+01  0.1298E+01  5.2800E+00  3.7575E+00
  3.600  3.4214E+00  2.4623E-01 -1.2134E+01  0.1268E+01  5.4196E+00  3.9243E+00
  3.800  3.3197E+00  3.0435E-01 -1.2078E+01  0.1236E+01  5.5962E+00  4.0953E+00
  4.000  3.2042E+00  3.6556E-01 -1.2085E+01  0.1207E+01  5.8020E+00  4.2698E+00
  4.200  3.0986E+00  4.2590E-01 -1.2117E+01  0.1180E+01  6.0315E+00  4.4474E+00
  4.400  2.9961E+00  4.7820E-01 -1.2164E+01  0.1154E+01  6.2812E+00  4.6277E+00
  4.600  2.8937E+00  5.2797E-01 -1.2213E+01  0.1132E+01  6.5483E+00  4.8102E+00
  4.800  2.7866E+00  5.6884E-01 -1.2271E+01  0.1110E+01  6.8308E+00  4.9947E+00
