 Structure from AMSCIFDB, AMS_ID: 11535         Feff8L (EXAFS)       0.1
 Mineral Name: Stilleite
 Journal: Crystal Structures 1, pp. 85-237 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Note: ZnS structure, sphalerite structure
 Formula:    ZnSe
 SpaceGroup: F-43m
 # sites:    2
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=30 Rmt= 1.384 Rnm= 1.531 K  shell
 Pot 1 Z=34 Rmt= 1.437 Rnm= 1.591
 Pot 2 Z=30 Rmt= 1.385 Rnm= 1.534
 Gam_ch=1.897E+00 H-L exch
 Mu=-1.408E+00 kf=1.778E+00 Vint=-1.345E+01 Rs_int= 2.040
 PATH  Rmax= 6.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   4.000   2.4541    2.9641   -1.40827 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  30 Zn       absorbing atom
     1.4169    1.4169    1.4169  1  34 Se
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  4.5810E+00  6.9458E-06 -3.8562E+00  9.864E-01  1.4292E+01  1.7793E+00
  0.100  4.5815E+00  5.8805E-02 -4.3355E+00  9.868E-01  1.4313E+01  1.7820E+00
  0.200  4.5828E+00  1.1583E-01 -4.7921E+00  9.880E-01  1.4376E+01  1.7901E+00
  0.300  4.5846E+00  1.6935E-01 -5.2262E+00  9.900E-01  1.4475E+01  1.8034E+00
  0.400  4.5866E+00  2.1789E-01 -5.6375E+00  9.926E-01  1.4603E+01  1.8220E+00
  0.500  4.5882E+00  2.6012E-01 -6.0265E+00  9.959E-01  1.4747E+01  1.8456E+00
  0.600  4.5887E+00  2.9499E-01 -6.3933E+00  9.998E-01  1.4894E+01  1.8741E+00
  0.700  4.5875E+00  3.2169E-01 -6.7384E+00  1.004E+00  1.5030E+01  1.9073E+00
  0.800  4.5839E+00  3.3967E-01 -7.0622E+00  1.009E+00  1.5137E+01  1.9451E+00
  0.900  4.5770E+00  3.4862E-01 -7.3652E+00  1.014E+00  1.5200E+01  1.9871E+00
  1.000  4.5664E+00  3.4853E-01 -7.6484E+00  1.020E+00  1.5207E+01  2.0333E+00
  1.100  4.5514E+00  3.3996E-01 -7.9133E+00  1.026E+00  1.5147E+01  2.0835E+00
  1.200  4.5314E+00  3.2293E-01 -8.1610E+00  1.032E+00  1.5018E+01  2.1376E+00
  1.300  4.5060E+00  2.9875E-01 -8.3944E+00  1.039E+00  1.4819E+01  2.1955E+00
  1.400  4.4748E+00  2.6879E-01 -8.6173E+00  1.046E+00  1.4558E+01  2.2572E+00
  1.500  4.4373E+00  2.3497E-01 -8.8355E+00  1.053E+00  1.4248E+01  2.3225E+00
