# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au foil.nor
#---------------------------------
#    energy         munorm
  11719.826000    0.006723
  11729.994000    0.005818
  11739.550000    0.005060
  11749.963000    0.004100
  11760.123000    0.003212
  11769.669000    0.002223
  11780.378000    0.001552
  11789.715000    0.000934
  11799.704000   -0.000050
  11810.043000   -0.000696
  11819.884000   -0.001294
  11829.772000   -0.001725
  11840.043000   -0.002275
  11849.965000   -0.002202
  11859.690000   -0.002194
  11869.983000   -0.000968
  11879.772000    0.001049
  11889.947000    0.005644
  11890.408000    0.006002
  11890.747000    0.006259
  11891.147000    0.006515
  11891.639000    0.006840
  11892.224000    0.007601
  11892.840000    0.007819
  11893.394000    0.008385
  11894.071000    0.008906
  11894.594000    0.009613
  11895.087000    0.010044
  11895.487000    0.010322
  11895.888000    0.010856
  11896.257000    0.011385
  11896.627000    0.011799
  11897.089000    0.012300
  11897.705000    0.013125
  11898.321000    0.014165
  11898.907000    0.014940
  11899.430000    0.015859
  11900.078000    0.016887
  11900.601000    0.017899
  11901.249000    0.018881
  11901.742000    0.019976
  11902.235000    0.020995
  11902.636000    0.021812
  11902.975000    0.022715
  11903.345000    0.023883
  11903.808000    0.025148
  11904.332000    0.026987
  11904.887000    0.028531
  11905.412000    0.030373
  11905.998000    0.032312
  11906.522000    0.034483
  11907.078000    0.036585
  11907.540000    0.039322
  11907.942000    0.041492
  11908.312000    0.043686
  11908.651000    0.045972
  11909.053000    0.048416
  11909.516000    0.051315
  11909.979000    0.054577
  11910.534000    0.058965
  11911.090000    0.064356
  11911.615000    0.070223
  11912.264000    0.078289
  11912.789000    0.085592
  11913.376000    0.094491
  11913.901000    0.103075
  11914.426000    0.113321
  11914.827000    0.122443
  11915.229000    0.134617
  11915.600000    0.148583
  11916.033000    0.167946
  11916.589000    0.195648
  11917.145000    0.227420
  11917.794000    0.272193
  11918.443000    0.325243
  11919.000000    0.379408
  11919.526000    0.438483
  11919.928000    0.491655
  11920.330000    0.541203
  11920.670000    0.581317
  11921.072000    0.621701
  11921.474000    0.655329
  11921.938000    0.686830
  11922.557000    0.718581
  11923.206000    0.742696
  11923.856000    0.757626
  11924.475000    0.764456
  11925.001000    0.766445
  11925.589000    0.766563
  11926.116000    0.766317
  11926.642000    0.766409
  11927.075000    0.767385
  11927.447000    0.769067
  11927.787000    0.771752
  11928.159000    0.775940
  11928.623000    0.782914
  11929.181000    0.792347
  11929.738000    0.802155
  11930.358000    0.813446
  11930.978000    0.825616
  11931.504000    0.835334
  11931.969000    0.843225
  11932.403000    0.850619
  11932.775000    0.856305
  11933.116000    0.859365
  11933.519000    0.864173
  11933.891000    0.867019
  11934.325000    0.869530
  11934.976000    0.872669
  11935.503000    0.874691
  11936.030000    0.876280
  11936.557000    0.878820
  11937.146000    0.881992
  11937.673000    0.885596
  11938.356000    0.890394
  11938.914000    0.894554
  11939.349000    0.897170
  11939.752000    0.900221
  11940.124000    0.902965
