# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au3 Cl aq.nor
#---------------------------------
#    energy         munorm
  11719.243000    0.007491
  11729.411000    0.005869
  11739.027000    0.005095
  11749.439000    0.004131
  11759.630000    0.003011
  11769.146000    0.002407
  11779.854000    0.002059
  11789.252000    0.001007
  11799.240000    0.000338
  11809.549000   -0.001261
  11819.451000   -0.001258
  11829.308000   -0.001795
  11839.549000   -0.002396
  11849.379000   -0.002916
  11859.074000   -0.003018
  11869.336000   -0.001776
  11879.124000    0.001225
  11889.268000    0.007384
  11889.760000    0.008069
  11890.098000    0.008226
  11890.529000    0.008586
  11890.991000    0.009102
  11891.637000    0.009751
  11892.160000    0.010422
  11892.807000    0.010786
  11893.422000    0.011483
  11893.977000    0.012038
  11894.469000    0.012959
  11894.931000    0.013258
  11895.331000    0.013443
  11895.609000    0.013783
  11896.009000    0.014984
  11896.440000    0.015981
  11897.087000    0.017453
  11897.672000    0.018287
  11898.258000    0.019415
  11898.782000    0.020701
  11899.429000    0.021774
  11899.891000    0.023029
  11900.538000    0.024429
  11901.001000    0.025843
  11901.556000    0.027260
  11901.987000    0.028644
  11902.357000    0.029950
  11902.758000    0.030808
  11903.159000    0.032067
  11903.652000    0.034050
  11904.208000    0.037423
  11904.732000    0.042464
  11905.380000    0.045651
  11905.873000    0.047379
  11906.459000    0.050230
  11906.953000    0.054013
  11907.354000    0.057537
  11907.694000    0.059236
  11908.064000    0.063407
  11908.373000    0.067138
  11908.836000    0.071614
  11909.299000    0.076459
  11909.947000    0.084010
  11910.441000    0.090666
  11911.028000    0.100366
  11911.676000    0.113599
  11912.201000    0.127676
  11912.757000    0.141477
  11913.282000    0.154511
  11913.777000    0.169882
  11914.209000    0.185638
  11914.673000    0.206847
  11915.012000    0.228842
  11915.383000    0.258084
  11916.032000    0.310774
  11916.496000    0.357779
  11917.145000    0.433504
  11917.856000    0.530982
  11918.351000    0.627603
  11918.907000    0.744206
  11919.309000    0.852857
  11919.773000    0.968319
  11920.051000    1.035511
  11920.453000    1.106096
  11920.886000    1.148643
  11921.350000    1.154987
  11921.969000    1.110388
  11922.619000    1.022297
  11923.207000    0.928189
  11923.856000    0.847136
  11924.321000    0.801710
  11924.971000    0.764535
  11925.435000    0.743904
  11926.054000    0.724139
  11926.426000    0.712684
  11926.797000    0.701729
  11927.231000    0.692268
  11927.602000    0.687238
  11928.036000    0.687685
  11928.593000    0.696421
  11929.120000    0.711575
  11929.739000    0.733669
  11930.266000    0.759188
  11930.885000    0.787096
  11931.288000    0.806767
  11931.815000    0.829370
  11932.125000    0.842279
  11932.497000    0.854967
  11932.869000    0.864931
  11933.241000    0.872493
  11933.706000    0.878380
  11934.295000    0.881369
  11934.884000    0.881117
  11935.411000    0.878323
  11935.969000    0.873714
  11936.496000    0.869254
  11937.054000    0.864658
  11937.644000    0.860905
  11938.202000    0.858152
  11938.729000    0.856627
  11939.102000    0.856548
  11939.505000    0.857092
  11939.908000    0.857708
  11940.405000    0.860206
  11940.933000    0.863304
  11941.615000    0.867745
  11942.112000    0.871441
  11942.733000    0.876680
  11943.292000    0.881233
  11943.882000    0.886800
  11944.254000    0.890488
  11944.658000    0.894434
  11945.000000    0.898082
  11945.341000    0.901836
  11945.776000    0.905652
  11946.335000    0.911393
  11946.957000    0.917785
  11947.671000    0.925405
  11948.199000    0.931614
  11948.790000    0.937826
  11949.349000    0.943889
  11950.686000    0.958168
  11951.992000    0.970419
  11953.485000    0.983238
  11955.320000    0.994443
  11956.876000    1.001743
  11958.183000    1.006554
  11960.051000    1.013739
  11961.982000    1.022150
  11963.851000    1.030420
  11965.689000    1.041149
  11967.903000    1.052977
  11969.618000    1.061671
  11971.333000    1.067508
  11973.767000    1.068942
  11975.921000    1.064033
  11977.670000    1.054708
  11980.012000    1.038788
  11981.981000    1.023190
  11983.794000    1.008760
  11986.201000    0.991415
  11988.704000    0.977163
  11990.832000    0.965970
  11993.305000    0.958325
  11995.341000    0.955709
  11998.098000    0.955815
  12000.762000    0.959170
  12002.832000    0.962250
  12005.687000    0.966959
  12007.758000    0.971031
  12010.333000    0.975584
  12013.128000    0.980409
  12015.611000    0.986181
  12018.660000    0.993623
  12020.893000    1.001171
  12024.229000    1.012622
  12026.842000    1.023092
  12029.740000    1.033760
  12032.324000    1.041867
  12035.288000    1.045912
  12038.347000    1.043212
  12041.188000    1.033966
  12044.408000    1.020896
  12047.347000    1.006506
  12050.729000    0.993697
  12053.575000    0.985392
