# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au hydroxide.nor
#---------------------------------
#    energy         munorm
  11719.841000    0.009911
  11729.980000    0.008524
  11739.626000    0.007059
  11749.890000    0.005464
  11760.111000    0.004381
  11769.718000    0.003220
  11780.276000    0.002320
  11789.644000    0.000952
  11799.693000   -0.000158
  11809.881000   -0.001067
  11819.783000   -0.001920
  11829.580000   -0.002590
  11839.790000   -0.002617
  11849.652000   -0.002984
  11859.285000   -0.002680
  11869.578000   -0.001371
  11879.366000    0.001079
  11889.449000    0.007816
  11899.517000    0.023103
  11900.103000    0.024359
  11900.719000    0.025877
  11901.243000    0.027289
  11901.736000    0.028788
  11902.137000    0.030165
  11902.507000    0.031620
  11902.877000    0.033200
  11903.309000    0.034626
  11903.833000    0.037121
  11904.358000    0.039688
  11904.913000    0.042686
  11905.468000    0.045705
  11906.023000    0.048775
  11906.548000    0.052269
  11907.041000    0.056361
  11907.443000    0.059821
  11907.844000    0.063088
  11908.152000    0.066527
  11908.523000    0.070524
  11908.955000    0.074746
  11909.449000    0.080356
  11910.004000    0.087424
  11910.591000    0.096934
  11911.085000    0.105929
  11911.703000    0.119006
  11912.259000    0.132096
  11912.845000    0.146830
  11913.340000    0.161723
  11913.896000    0.180038
  11914.328000    0.197427
  11914.699000    0.215982
  11915.070000    0.240741
  11915.533000    0.275672
  11916.059000    0.324145
  11916.615000    0.382618
  11917.264000    0.466023
  11917.944000    0.571490
  11918.501000    0.684469
  11919.026000    0.820771
  11919.428000    0.950542
  11919.830000    1.085828
  11920.170000    1.202500
  11920.572000    1.316616
  11920.944000    1.398929
  11921.408000    1.454006
  11922.026000    1.447591
  11922.707000    1.355479
  11923.326000    1.225780
  11923.914000    1.108691
  11924.471000    1.017288
  11925.028000    0.950312
  11925.554000    0.900604
  11926.080000    0.858812
  11926.514000    0.828339
  11926.916000    0.800376
  11927.257000    0.779548
  11927.659000    0.755837
  11928.093000    0.732710
  11928.650000    0.710912
  11929.177000    0.694176
  11929.765000    0.680856
  11930.416000    0.670099
  11930.942000    0.664780
  11931.407000    0.662814
  11931.872000    0.663260
  11932.244000    0.665045
  11932.585000    0.667959
  11932.957000    0.671841
  11933.298000    0.676182
  11933.763000    0.682838
  11934.383000    0.692762
  11934.910000    0.702524
  11935.468000    0.714637
  11935.995000    0.726756
  11936.522000    0.739479
  11937.080000    0.752263
  11937.701000    0.764737
  11938.290000    0.776120
  11938.755000    0.784531
  11939.159000    0.793249
  11939.562000    0.800995
  11939.996000    0.810229
  11940.462000    0.820274
  11941.020000    0.830942
  11941.610000    0.840910
  11942.169000    0.850716
  11942.790000    0.859475
  11943.318000    0.867040
  11943.814000    0.874031
  11944.280000    0.880226
  11944.653000    0.885435
  11944.994000    0.889727
  11945.336000    0.893342
  11945.771000    0.898063
  11946.330000    0.902585
  11947.045000    0.907782
  11947.666000    0.912480
  11948.163000    0.915493
  11948.785000    0.919320
  11949.344000    0.922888
  11950.712000    0.931317
  11952.049000    0.939892
  11953.510000    0.953115
  11955.283000    0.970941
  11956.870000    0.988757
  11958.115000    1.006842
  11959.983000    1.031290
  11961.914000    1.057150
  11963.783000    1.077915
  11965.621000    1.097385
  11967.834000    1.110041
  11969.549000    1.113636
  11971.140000    1.110519
  11973.636000    1.099123
  11975.790000    1.082436
  11977.538000    1.066002
  11979.850000    1.045573
  11981.912000    1.028201
  11983.600000    1.013098
  11986.039000    0.995321
  11988.510000    0.982554
  11990.606000    0.971462
  11993.142000    0.964043
  11995.178000    0.960712
  11997.935000    0.959410
  12000.630000    0.959848
  12002.731000    0.961466
  12005.586000    0.964278
  12007.657000    0.966970
  12010.231000    0.970431
  12013.058000    0.974291
  12015.509000    0.978762
  12018.590000    0.984363
  12020.792000    0.989162
  12024.127000    0.996712
  12026.803000    1.003762
  12029.638000    1.010987
  12032.285000    1.018289
  12035.185000    1.025290
  12038.213000    1.031628
  12041.085000    1.034936
  12044.306000    1.034827
  12047.212000    1.031946
  12050.562000    1.026060
  12053.440000    1.019612
  12056.762000    1.011936
  12059.548000    1.005583
  12063.032000    1.000206
  12066.233000    0.995631
  12069.689000    0.991951
  12073.052000    0.989650
  12076.481000    0.988123
  12079.752000    0.987120
  12082.930000    0.986646
  12086.651000    0.987428
  12089.960000    0.987492
  12093.907000    0.988408
  12097.093000    0.989411
  12101.141000    0.991514
  12104.617000    0.994024
  12108.128000    0.996584
  12111.928000    1.000149
  12115.635000    1.003031
  12119.759000    1.006875
  12123.407000    1.009364
  12127.312000    1.011770
  12131.445000    1.013677
  12134.683000    1.014388
  12139.045000    1.014930
  12143.347000    1.014938
  12146.912000    1.013541
  12151.669000    1.011991
  12155.658000    1.010901
  12159.392000    1.009078
  12163.966000    1.006792
  12168.220000    1.005064
  12172.156000    1.003181
  12176.965000    1.001622
  12181.197000    1.000275
  12185.108000    0.999135
  12189.896000    0.998516
  12194.558000    0.997103
  12198.705000    0.996863
  12203.438000    0.996932
  12208.273000    0.997020
  12212.364000    0.996745
  12217.108000    0.998031
  12222.149000    0.998872
  12227.097000    1.000058
  12231.657000    1.001031
  12236.090000    1.001782
  12241.212000    1.002666
  12246.208000    1.003382
  12250.848000    1.004167
  12255.656000    1.004483
  12260.925000    1.004518
  12265.872000    1.004440
  12271.019000    1.004504
  12275.711000    1.003992
  12280.998000    1.003920
  12286.356000    1.003320
  12291.356000    1.002013
  12296.756000    1.001636
  12301.567000    1.000814
  12307.041000    0.999841
  12312.653000    0.998871
  12318.039000    0.997852
  12323.660000    0.997773
  12328.857000    0.997173
  12334.124000    0.997449
  12339.662000    0.996952
  12345.470000    0.997161
  12351.350000    0.997165
  12357.036000    0.996992
  12362.694000    0.997529
  12367.790000    0.998288
  12373.558000    0.998671
  12379.432000    0.998996
  12385.746000    0.999588
  12391.765000    1.000003
  12397.790000    0.999843
  12404.090000    1.000850
  12409.993000    1.000358
  12416.204000    1.000809
  12421.917000    1.000421
  12427.938000    1.000500
  12434.268000    1.000077
