# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au thiocyanide.nor
#---------------------------------
#    energy         munorm
  11719.833000    0.009449
  11729.971000    0.007802
  11739.587000    0.006818
  11750.000000    0.005333
  11760.161000    0.003886
  11769.646000    0.002876
  11780.385000    0.001966
  11789.753000    0.000968
  11799.741000   -0.000536
  11810.050000   -0.001525
  11819.952000   -0.002130
  11829.810000   -0.001789
  11840.111000   -0.001711
  11849.973000   -0.001968
  11859.667000   -0.001865
  11869.930000   -0.001113
  11879.749000    0.001069
  11889.893000    0.005758
  11890.355000    0.006062
  11890.693000    0.006341
  11891.124000    0.006624
  11891.616000    0.007216
  11892.201000    0.007859
  11892.817000    0.008393
  11893.371000    0.009026
  11894.048000    0.009786
  11894.541000    0.010318
  11895.064000    0.010995
  11895.464000    0.011562
  11895.895000    0.012122
  11896.234000    0.012891
  11896.604000    0.013393
  11897.097000    0.014032
  11897.713000    0.014985
  11898.298000    0.016072
  11898.914000    0.017022
  11899.438000    0.018473
  11900.055000    0.019476
  11900.578000    0.020820
  11901.226000    0.022226
  11901.719000    0.023429
  11902.212000    0.024786
  11902.613000    0.025977
  11902.952000    0.027305
  11903.322000    0.028650
  11903.754000    0.030131
  11904.278000    0.032280
  11904.864000    0.034760
  11905.389000    0.036960
  11905.975000    0.039868
  11906.499000    0.042591
  11907.024000    0.045748
  11907.487000    0.048936
  11907.888000    0.051729
  11908.289000    0.054969
  11908.628000    0.057954
  11908.999000    0.061198
  11909.462000    0.065442
  11909.956000    0.070172
  11910.481000    0.076026
  11911.067000    0.083619
  11911.561000    0.091430
  11912.210000    0.103070
  11912.766000    0.113355
  11913.353000    0.125656
  11913.878000    0.138612
  11914.403000    0.153199
  11914.804000    0.167342
  11915.175000    0.183010
  11915.546000    0.202708
  11916.010000    0.233275
  11916.535000    0.271727
  11917.091000    0.318912
  11917.771000    0.387183
  11918.420000    0.467857
  11918.946000    0.547276
  11919.503000    0.637365
  11919.905000    0.714739
  11920.307000    0.784624
  11920.647000    0.833270
  11921.018000    0.869957
  11921.451000    0.893077
  11921.884000    0.898570
  11922.534000    0.885829
  11923.183000    0.863229
  11923.802000    0.844474
  11924.421000    0.836079
  11924.947000    0.834571
  11925.566000    0.836554
  11926.062000    0.839220
  11926.619000    0.841351
  11927.052000    0.842041
  11927.393000    0.841938
  11927.733000    0.841417
  11928.136000    0.840166
  11928.570000    0.839123
  11929.158000    0.839406
  11929.685000    0.841214
  11930.304000    0.844775
  11930.924000    0.849062
  11931.450000    0.853261
  11931.915000    0.856859
  11932.349000    0.859959
  11932.721000    0.862370
  11933.062000    0.864163
  11933.496000    0.865878
  11933.868000    0.866758
  11934.271000    0.867002
  11934.922000    0.866048
  11935.449000    0.864279
  11936.007000    0.861145
  11936.534000    0.858235
  11937.123000    0.854857
  11937.650000    0.852595
  11938.302000    0.851217
  11938.860000    0.850876
  11939.295000    0.850978
  11939.698000    0.851848
  11940.070000    0.853292
  11940.505000    0.855799
  11941.001000    0.859342
  11941.560000    0.863881
  11942.181000    0.869550
  11942.770000    0.874878
  11943.360000    0.880985
  11943.857000    0.886126
  11944.416000    0.892478
  11944.789000    0.897306
  11945.223000    0.903066
  11945.565000    0.907611
  11945.907000    0.911633
  11946.341000    0.917060
  11946.901000    0.923629
  11947.584000    0.931355
  11948.206000    0.937991
  11948.734000    0.943364
  11949.355000    0.949375
  11949.884000    0.953948
  11951.283000    0.964051
  11952.526000    0.972043
  11954.050000    0.981706
  11955.854000    0.991286
  11957.410000    0.999519
  11958.717000    1.006259
  11960.554000    1.015441
  11962.516000    1.025005
  11964.385000    1.033222
  11966.162000    1.041367
  11968.406000    1.045899
  11970.121000    1.046079
  11971.774000    1.042409
  11974.239000    1.032561
  11976.393000    1.022074
  11978.111000    1.011723
  11980.485000    0.998953
  11982.453000    0.988577
  11984.204000    0.979865
  11986.643000    0.970077
  11989.145000    0.964149
  11991.242000    0.960222
  11993.747000    0.958662
  11995.751000    0.959021
  11998.508000    0.960779
  12001.235000    0.963515
  12003.242000    0.965903
  12006.160000    0.970168
  12008.231000    0.973654
  12010.774000    0.979246
  12013.632000    0.986117
  12016.115000    0.993507
  12019.133000    1.003303
  12021.366000    1.011281
  12024.702000    1.021041
  12027.347000    1.026274
  12030.213000    1.027734
  12032.829000    1.023849
  12035.729000    1.016052
  12038.852000    1.005726
  12041.661000    0.994974
  12044.850000    0.985473
  12047.788000    0.978168
  12051.202000    0.973939
  12053.985000    0.971826
  12057.276000    0.971003
  12060.093000    0.971480
  12063.577000    0.972891
  12066.747000    0.975102
  12070.171000    0.977724
  12073.534000    0.980937
  12077.058000    0.984631
  12080.266000    0.989159
  12083.413000    0.993438
  12087.101000    0.999242
  12090.474000    1.004602
  12094.422000    1.009421
  12097.576000    1.012320
  12101.656000    1.014014
  12105.069000    1.014008
  12108.580000    1.011890
  12112.412000    1.009047
  12116.086000    1.006213
  12120.243000    1.001629
  12123.923000    0.998595
  12127.829000    0.996423
  12131.930000    0.994407
  12135.199000    0.993240
  12139.562000    0.992645
  12143.831000    0.992278
  12147.397000    0.992479
  12152.122000    0.992740
  12156.143000    0.993632
  12159.813000    0.994375
  12164.451000    0.996424
  12168.642000    0.998807
  12172.577000    1.001088
  12177.419000    1.004491
  12181.618000    1.006986
  12185.530000    1.006568
  12190.285000    1.009908
  12194.947000    1.009876
  12199.029000    1.009740
  12203.860000    1.009008
  12208.663000    1.007782
  12212.689000    1.006364
  12217.401000    1.004859
  12222.539000    1.003197
  12227.454000    1.001302
  12231.950000    1.000058
  12236.416000    0.998478
  12241.570000    0.996958
  12246.566000    0.996306
  12251.174000    0.995880
  12256.014000    0.995994
  12261.251000    0.996676
  12266.132000    0.998017
  12271.279000    0.999655
  12275.938000    1.001588
  12281.291000    1.003037
  12286.715000    1.003963
  12291.814000    1.005019
  12297.279000    1.005538
  12302.090000    1.005743
  12307.499000    1.005507
  12313.078000    1.005156
  12318.464000    1.004570
  12324.119000    1.003265
  12329.316000    1.002308
  12334.583000    1.000566
  12340.121000    0.999198
  12345.929000    0.998641
  12351.842000    0.997773
  12357.562000    0.997260
  12363.320000    0.997335
  12368.517000    0.997160
  12374.285000    0.997246
  12380.126000    0.997660
  12386.440000    0.998044
  12392.427000    0.999043
  12398.486000    0.999658
  12404.752000    0.999862
  12410.689000    0.999866
  12416.968000    1.000200
  12422.648000    1.000202
  12428.737000    1.000182
  12435.101000    1.000189
  12441.203000    0.999858
  12447.546000    0.999475
  12453.998000    0.999027
  12460.524000    0.998577
  12467.227000    0.997947
  12473.665000    0.997311
  12480.213000    0.997376
  12486.902000    0.996897
  12493.702000    0.996171
  12500.202000    0.996191
  12506.709000    0.996048
  12513.599000    0.996136
  12520.564000    0.996114
  12527.230000    0.996806
  12533.800000    0.997496
  12540.856000    0.998166
  12547.853000    0.998849
  12554.754000    0.999474
  12561.559000    0.999584
  12568.820000    1.000079
  12575.882000    0.999920
  12582.883000    0.999701
  12589.824000    0.999308
  12597.187000    0.999065
  12604.524000    0.999079
  12611.557000    0.999522
  12618.703000    0.998879
  12626.170000    0.998798
  12633.506000    0.999146
  12640.747000    0.998981
  12647.926000    0.999259
  12655.393000    0.999458
  12663.009000    1.000323
  12670.144000    1.000973
  12678.022000    1.001425
