# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au sulphide.nor
#---------------------------------
#    energy         munorm
  11719.433000    0.012368
  11729.631000    0.010765
  11739.217000    0.009222
  11749.630000    0.007097
  11759.821000    0.006007
  11769.366000    0.004126
  11780.045000    0.003688
  11789.413000    0.001458
  11799.401000    0.000170
  11809.710000   -0.001247
  11819.582000   -0.002163
  11829.470000   -0.003105
  11839.710000   -0.003654
  11849.602000   -0.004810
  11859.266000   -0.004194
  11869.559000   -0.004009
  11879.379000   -0.002645
  11889.553000    0.002370
  11889.953000    0.003164
  11890.353000    0.003116
  11890.784000    0.003728
  11891.276000    0.004007
  11891.861000    0.005128
  11892.477000    0.004862
  11893.031000    0.005185
  11893.739000    0.005603
  11894.201000    0.005139
  11894.724000    0.006366
  11895.094000    0.006721
  11895.494000    0.007921
  11895.863000    0.007550
  11896.233000    0.008739
  11896.695000    0.008857
  11897.373000    0.010216
  11897.958000    0.011134
  11898.544000    0.011944
  11899.067000    0.012695
  11899.653000    0.013936
  11900.208000    0.014931
  11900.824000    0.015988
  11901.348000    0.017225
  11901.811000    0.017783
  11902.242000    0.018480
  11902.581000    0.019258
  11902.951000    0.020717
  11903.383000    0.021814
  11903.907000    0.023029
  11904.493000    0.024757
  11905.018000    0.027277
  11905.604000    0.028017
  11906.128000    0.029295
  11906.622000    0.030828
  11907.147000    0.033960
  11907.548000    0.035932
  11907.918000    0.037930
  11908.227000    0.039476
  11908.659000    0.041945
  11909.091000    0.044735
  11909.585000    0.047875
  11910.141000    0.052319
  11910.696000    0.056638
  11911.221000    0.062269
  11911.870000    0.068914
  11912.395000    0.074947
  11912.982000    0.082395
  11913.507000    0.089124
  11914.032000    0.096770
  11914.434000    0.104860
  11914.804000    0.113209
  11915.206000    0.124013
  11915.670000    0.139855
  11916.226000    0.159420
  11916.782000    0.183410
  11917.462000    0.217371
  11918.080000    0.255326
  11918.637000    0.298360
  11919.132000    0.346313
  11919.565000    0.398467
  11919.967000    0.452748
  11920.307000    0.501706
  11920.678000    0.552996
  11921.142000    0.609450
  11921.606000    0.663879
  11922.225000    0.721874
  11922.874000    0.766994
  11923.493000    0.791804
  11924.081000    0.801647
  11924.638000    0.801137
  11925.226000    0.798443
  11925.722000    0.793878
  11926.279000    0.791008
  11926.712000    0.789481
  11927.084000    0.790387
  11927.424000    0.794682
  11927.796000    0.799350
  11928.260000    0.809604
  11928.818000    0.821285
  11929.375000    0.834642
  11929.964000    0.847640
  11930.584000    0.858901
  11931.141000    0.868021
  11931.575000    0.874033
  11932.009000    0.877305
  11932.381000    0.879511
  11932.753000    0.880386
  11933.125000    0.880390
  11933.497000    0.880464
  11933.962000    0.879019
  11934.582000    0.879021
  11935.109000    0.878428
  11935.667000    0.880973
  11936.163000    0.882579
  11936.783000    0.886575
  11937.310000    0.890020
  11937.931000    0.894888
  11938.520000    0.898982
  11938.955000    0.903255
  11939.358000    0.906570
  11939.699000    0.910054
  11940.165000    0.914530
  11940.661000    0.919403
  11941.251000    0.924510
  11941.872000    0.928379
  11942.461000    0.932233
  11943.020000    0.935523
  11943.517000    0.939199
  11944.076000    0.943127
  11944.480000    0.946671
  11944.883000    0.948502
  11945.225000    0.951494
  11945.567000    0.953579
  11946.033000    0.957478
  11946.623000    0.960286
  11947.306000    0.965176
  11947.897000    0.968625
  11948.425000    0.971622
  11949.015000    0.974498
  11949.606000    0.975948
  11950.943000    0.981693
  11952.217000    0.985078
  11953.741000    0.988872
  11955.514000    0.993301
  11957.070000    0.999682
  11958.409000    1.004770
  11960.245000    1.010824
  11962.207000    1.017956
  11964.045000    1.022805
  11965.915000    1.029313
  11968.128000    1.034410
  11969.812000    1.036585
  11971.590000    1.037612
  11973.993000    1.035551
  11976.116000    1.031378
  11977.833000    1.025928
  11980.207000    1.017380
  11982.176000    1.009925
  11983.958000    1.002356
  11986.334000    0.992887
  11988.868000    0.986441
  11990.965000    0.979871
  11993.469000    0.976324
  11995.536000    0.976054
  11998.231000    0.975626
  12000.958000    0.977189
  12002.996000    0.978606
  12005.851000    0.981782
  12007.954000    0.984103
  12010.528000    0.986645
  12013.355000    0.990196
  12015.838000    0.992313
  12018.888000    0.996909
  12021.152000    1.000546
  12024.456000    1.004622
  12027.101000    1.008247
  12029.999000    1.012040
  12032.552000    1.012747
  12035.515000    1.012137
  12038.607000    1.010986
  12041.479000    1.006326
  12044.636000    1.002302
  12047.669000    0.996367
  12051.020000    0.992573
  12053.866000    0.989190
  12057.157000    0.987727
  12060.038000    0.986047
  12063.491000    0.986196
  12066.660000    0.987004
  12069.990000    0.986159
  12073.480000    0.986760
  12076.941000    0.988357
  12080.181000    0.989455
  12083.295000    0.991227
  12087.048000    0.992657
  12090.421000    0.995217
  12094.337000    0.998853
  12097.650000    1.001140
  12101.603000    1.010443
  12105.016000    1.007853
  12108.463000    1.008787
  12112.359000    1.009475
  12116.130000    1.011600
  12120.191000    1.007562
  12123.903000    1.005698
  12127.777000    1.004046
  12131.910000    1.002103
  12135.244000    1.000281
  12139.543000    1.000800
  12143.813000    0.998785
  12147.443000    0.997551
  12152.136000    0.997860
  12156.189000    0.996745
  12159.827000    0.997475
  12164.466000    0.997630
  12168.689000    0.996703
  12172.689000    0.997009
  12177.434000    0.998582
  12181.699000    0.999546
  12185.675000    1.000940
  12190.334000    1.003182
  12195.028000    1.004577
  12199.240000    1.005417
  12203.942000    1.005332
  12208.745000    1.006165
  12212.869000    1.005127
  12217.679000    1.005807
  12222.622000    1.005120
  12227.505000    1.003504
  12232.131000    1.002588
  12236.500000    1.001693
  12241.655000    1.000242
  12246.683000    1.000043
  12251.422000    0.998067
  12256.197000    0.997936
  12261.304000    0.997679
  12266.316000    0.997659
  12271.497000    0.998194
  12276.189000    0.998551
  12281.378000    0.998619
  12286.703000    0.999713
  12291.869000    0.998509
  12297.335000    1.000546
  12302.212000    1.000188
  12307.489000    1.001267
  12313.035000    1.002262
  12318.488000    1.002982
  12324.110000    1.002119
  12329.340000    1.002525
  12334.641000    1.001989
  12340.079000    1.001993
  12345.888000    1.001614
  12351.735000    1.000498
  12357.588000    1.001531
  12363.446000    1.000271
  12368.610000    0.999942
  12374.512000    0.998169
  12380.187000    0.998895
  12386.401000    0.998810
  12392.388000    0.998807
  12398.548000    0.998574
  12404.680000    0.997961
  12410.684000    0.998071
  12417.031000    0.999606
  12422.677000    0.998854
  12428.868000    0.999829
  12435.166000    0.999831
  12441.200000    1.000596
  12447.443000    1.000628
  12453.827000    1.000727
  12460.354000    1.000085
