# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=Au thiosulphate aq.nor
#---------------------------------
#    energy         munorm
  11719.802000    0.005468
  11730.000000    0.005815
  11739.617000    0.004921
  11750.000000    0.004108
  11760.131000    0.003590
  11769.647000    0.003358
  11780.386000    0.003490
  11789.784000    0.002740
  11799.773000    0.000830
  11810.021000   -0.001111
  11819.954000   -0.003079
  11829.781000   -0.003333
  11840.083000   -0.004013
  11849.944000   -0.004654
  11859.639000   -0.003811
  11869.932000   -0.004577
  11879.752000   -0.002237
  11889.835000    0.002017
  11890.327000    0.003141
  11890.665000    0.003288
  11891.096000    0.003769
  11891.619000    0.004181
  11892.173000    0.004630
  11892.789000    0.005309
  11893.374000    0.006053
  11894.020000    0.006377
  11894.513000    0.006715
  11895.036000    0.006397
  11895.437000    0.006618
  11895.837000    0.008106
  11896.176000    0.009646
  11896.576000    0.010817
  11897.038000    0.011102
  11897.716000    0.011783
  11898.301000    0.012559
  11898.887000    0.013285
  11899.411000    0.014301
  11900.027000    0.015068
  11900.582000    0.016180
  11901.229000    0.017209
  11901.691000    0.018036
  11902.185000    0.019049
  11902.586000    0.019404
  11902.925000    0.019327
  11903.295000    0.020395
  11903.757000    0.021790
  11904.282000    0.026326
  11904.837000    0.029862
  11905.392000    0.030264
  11905.947000    0.030243
  11906.503000    0.032146
  11906.996000    0.033869
  11907.490000    0.036746
  11907.860000    0.037905
  11908.262000    0.039807
  11908.601000    0.041893
  11909.002000    0.043764
  11909.465000    0.046228
  11909.990000    0.048836
  11910.515000    0.051174
  11911.071000    0.055547
  11911.565000    0.061106
  11912.182000    0.070906
  11912.769000    0.077011
  11913.356000    0.081803
  11913.881000    0.087481
  11914.376000    0.094504
  11914.777000    0.102102
  11915.148000    0.110491
  11915.519000    0.120579
  11916.013000    0.135431
  11916.539000    0.151249
  11917.126000    0.172406
  11917.775000    0.199167
  11918.393000    0.232421
  11918.950000    0.270231
  11919.444000    0.316131
  11919.846000    0.359977
  11920.279000    0.414524
  11920.620000    0.460841
  11921.022000    0.515201
  11921.455000    0.572340
  11921.919000    0.629045
  11922.568000    0.696321
  11923.187000    0.739272
  11923.806000    0.760575
  11924.394000    0.769417
  11924.920000    0.769980
  11925.539000    0.785577
  11926.065000    0.797880
  11926.592000    0.812702
  11926.994000    0.826159
  11927.366000    0.839090
  11927.706000    0.851484
  11928.109000    0.862567
  11928.573000    0.870808
  11929.131000    0.877352
  11929.688000    0.882073
  11930.277000    0.885798
  11930.897000    0.889319
  11931.392000    0.891024
  11931.888000    0.893305
  11932.322000    0.893980
  11932.694000    0.895202
  11933.035000    0.895814
  11933.438000    0.896111
  11933.841000    0.896033
  11934.275000    0.896020
  11934.926000    0.895725
  11935.422000    0.895737
  11935.980000    0.895909
  11936.476000    0.896572
  11937.034000    0.897429
  11937.592000    0.898260
  11938.244000    0.900520
  11938.802000    0.902002
  11939.237000    0.903534
  11939.640000    0.905139
  11940.012000    0.906283
  11940.447000    0.907907
  11940.943000    0.909653
  11941.533000    0.912283
  11942.154000    0.915506
  11942.712000    0.918964
  11943.302000    0.923258
  11943.799000    0.927614
  11944.327000    0.932486
  11944.731000    0.936709
  11945.134000    0.940872
  11945.476000    0.944523
  11945.849000    0.948225
  11946.315000    0.952484
  11946.874000    0.957666
  11947.557000    0.963321
  11948.179000    0.968334
  11948.707000    0.972459
  11949.297000    0.975980
  11949.888000    0.978763
  11951.256000    0.985947
  11952.499000    0.990110
  11954.023000    0.992918
  11955.859000    0.995869
  11957.352000    0.998514
  11958.691000    1.002228
  11960.496000    1.006485
  11962.458000    1.013681
  11964.297000    1.018765
  11966.104000    1.024781
  11968.348000    1.030039
  11970.032000    1.033160
  11971.748000    1.034771
  11974.182000    1.034408
  11976.336000    1.031725
  11978.022000    1.027877
  11980.396000    1.019732
  11982.396000    1.011523
  11984.178000    1.003699
  11986.585000    0.993647
  11989.057000    0.986051
  11991.185000    0.979297
  11993.658000    0.975917
  11995.725000    0.974254
  11998.451000    0.973673
  12001.146000    0.974232
  12003.185000    0.975299
  12006.071000    0.977140
  12008.111000    0.978232
  12010.685000    0.980517
  12013.512000    0.987266
  12015.964000    0.984195
  12019.013000    0.988679
  12021.246000    0.993293
  12024.582000    0.999035
  12027.227000    1.005452
  12030.125000    1.011889
  12032.709000    1.015576
  12035.641000    1.017552
  12038.764000    1.017795
  12041.541000    1.014045
  12044.730000    1.007329
  12047.700000    1.002998
  12051.082000    0.995713
  12053.865000    0.991101
  12057.156000    0.986709
  12059.973000    0.985127
  12063.489000    0.983299
  12066.627000    0.983164
  12070.051000    0.984504
  12073.414000    0.984920
  12076.938000    0.986701
  12080.115000    0.987757
  12083.261000    0.989769
  12086.981000    0.991350
  12090.322000    0.994057
  12094.302000    0.996348
  12097.456000    0.997405
  12104.917000    1.004331
  12112.228000    1.007745
  12120.059000    1.009274
  12123.771000    1.007644
  12127.645000    1.006306
  12131.745000    1.005007
  12135.047000    1.001815
  12139.410000    1.000988
  12143.647000    0.999867
  12147.245000    0.998729
  12152.002000    0.997955
  12156.023000    0.996543
  12159.725000    0.996324
  12164.331000    0.995026
  12168.554000    0.995955
  12172.489000    0.996643
  12177.331000    0.997442
  12181.531000    0.998584
  12185.475000    1.000712
  12190.230000    1.002093
  12194.924000    1.004733
  12199.039000    1.006462
  12203.805000    1.007667
  12208.607000    1.008954
  12212.667000    1.008946
  12217.378000    1.009309
  12222.452000    1.008646
  12227.399000    1.007608
  12231.895000    1.007537
  12236.393000    1.006242
  12241.516000    1.004787
  12246.511000    1.003191
  12251.152000    1.002941
  12255.959000    1.001671
  12261.196000    1.000911
  12266.110000    0.999801
  12271.323000    1.000142
  12275.983000    0.999383
  12281.303000    0.996897
  12286.693000    0.999155
  12291.792000    0.999799
  12297.258000    1.001000
  12302.069000    1.001496
  12307.445000    1.002039
