# Output from Larch Wed Sep 19 20:57:10 2012
# data extracted from cyanobacteria.prj, file=au_cyano_data.nor
#---------------------------------
#    energy         munorm
  11719.742000    0.011441
  11729.820000    0.008250
  11739.467000    0.007023
  11749.760000    0.004659
  11759.981000    0.002180
  11769.467000    0.001771
  11780.145000    0.002364
  11789.483000    0.000373
  11799.562000   -0.000726
  11809.841000   -0.000154
  11819.682000   -0.000065
  11829.510000   -0.001988
  11839.811000   -0.001057
  11849.673000   -0.002566
  11859.398000   -0.002510
  11869.660000   -0.003864
  11879.480000    0.000085
  11889.593000    0.008340
  11890.055000    0.007418
  11890.393000    0.009598
  11890.824000    0.009321
  11891.316000    0.009463
  11891.901000    0.010152
  11892.517000    0.009167
  11893.071000    0.010010
  11893.717000    0.009703
  11894.241000    0.011160
  11894.764000    0.012405
  11895.134000    0.014299
  11895.565000    0.013313
  11895.903000    0.013056
  11896.304000    0.013917
  11896.797000    0.014502
  11897.413000    0.015284
  11898.029000    0.016228
  11898.614000    0.017065
  11899.138000    0.019348
  11899.724000    0.019644
  11900.278000    0.020694
  11900.895000    0.024388
  11901.388000    0.024007
  11901.881000    0.026936
  11902.282000    0.027192
  11902.621000    0.027633
  11903.022000    0.030234
  11903.423000    0.030873
  11904.009000    0.034129
  11904.533000    0.033427
  11905.058000    0.034871
  11905.644000    0.037110
  11906.168000    0.041265
  11906.693000    0.042770
  11907.187000    0.047151
  11907.588000    0.048276
  11907.989000    0.053416
  11908.328000    0.054945
  11908.699000    0.057255
  11909.162000    0.060820
  11909.656000    0.066143
  11910.211000    0.073172
  11910.767000    0.079095
  11911.261000    0.087101
  11911.879000    0.095583
  11912.435000    0.105932
  11913.053000    0.116662
  11913.578000    0.128851
  11914.072000    0.143686
  11914.474000    0.154387
  11914.844000    0.169526
  11915.246000    0.188434
  11915.710000    0.215797
  11916.266000    0.253252
  11916.822000    0.296447
  11917.502000    0.357200
  11918.120000    0.432014
  11918.646000    0.512830
  11919.203000    0.602713
  11919.605000    0.687969
  11920.007000    0.763342
  11920.347000    0.822991
  11920.718000    0.874244
  11921.151000    0.909485
  11921.615000    0.927196
  11922.296000    0.916022
  11922.914000    0.882650
  11923.502000    0.838215
  11924.121000    0.804900
  11924.616000    0.782549
  11925.235000    0.765627
  11925.762000    0.755192
  11926.288000    0.745902
  11926.721000    0.741258
  11927.093000    0.737130
  11927.464000    0.735400
  11927.836000    0.735388
  11928.300000    0.736043
  11928.858000    0.747326
  11929.415000    0.760902
  11930.004000    0.773947
  11930.624000    0.794535
  11931.150000    0.809307
  11931.615000    0.823201
  11932.049000    0.836299
  11932.421000    0.843974
  11932.762000    0.852502
  11933.165000    0.858006
  11933.568000    0.863414
  11934.002000    0.866296
  11934.653000    0.867429
  11935.149000    0.867866
  11935.676000    0.866790
  11936.203000    0.866190
  11936.761000    0.864388
  11937.288000    0.863759
  11937.909000    0.863808
  11938.467000    0.864976
  11938.932000    0.867084
  11939.336000    0.866888
  11939.739000    0.869885
  11940.143000    0.871802
  11940.639000    0.875473
  11941.198000    0.877748
  11941.819000    0.887342
  11942.377000    0.892741
  11942.998000    0.901112
  11943.495000    0.911353
  11944.023000    0.919040
  11944.426000    0.928546
  11944.830000    0.936260
  11945.172000    0.942257
  11945.545000    0.947760
  11945.979000    0.956108
  11946.539000    0.960506
  11947.253000    0.965197
  11947.874000    0.966222
  11948.403000    0.968919
  11949.024000    0.968796
  11949.553000    0.966815
  11950.951000    0.965904
  11952.226000    0.967170
  11953.719000    0.975880
  11955.492000    0.978697
  11957.048000    0.983547
  11958.355000    0.985011
  11960.161000    0.994246
  11962.123000    1.008302
  11963.961000    1.022226
  11965.799000    1.039723
  11968.013000    1.053609
  11969.728000    1.061483
  11971.381000    1.060569
  11973.846000    1.054722
  11975.937000    1.045332
  11977.686000    1.036513
  11980.028000    1.022600
  11982.060000    1.013015
  11983.747000    1.000567
  11986.186000    0.988119
  11988.689000    0.976879
  11990.817000    0.968914
  11993.290000    0.963766
  11995.326000    0.963961
  11998.051000    0.965111
  12000.778000    0.970710
  12002.817000    0.977787
  12005.671000    0.982931
  12007.743000    0.987256
  12010.286000    0.988572
  12013.112000    0.992747
  12015.595000    0.993360
  12018.707000    0.996141
  12020.909000    0.998092
  12024.276000    1.005337
  12026.889000    1.011114
  12029.756000    1.016120
  12032.340000    1.020947
  12035.303000    1.021118
  12038.363000    1.019297
  12041.235000    1.012934
  12044.487000    1.002655
  12047.393000    0.991252
  12050.775000    0.987080
  12053.653000    0.982383
  12056.976000    0.982659
  12059.761000    0.979753
  12063.246000    0.982097
  12066.415000    0.980980
  12069.840000    0.981058
  12073.266000    0.983054
  12076.726000    0.986261
  12079.903000    0.984220
  12083.081000    0.986622
  12086.801000    0.991154
  12090.174000    0.995911
  12094.122000    0.999295
  12097.340000    1.002646
  12101.324000    1.012997
  12104.769000    1.005782
  12108.280000    1.006501
  12112.112000    1.008256
  12115.850000    1.019076
  12119.975000    1.005024
  12123.687000    1.002653
  12127.529000    1.001286
  12131.662000    1.000459
  12134.867000    0.999086
  12139.262000    0.999519
  12143.564000    0.999892
  12147.129000    0.997648
  12151.854000    0.999709
  12155.875000    0.997160
  12159.577000    0.995634
  12164.216000    0.995459
  12168.406000    0.991426
  12172.374000    0.992057
  12177.183000    0.991782
  12181.415000    0.992961
  12185.392000    0.997846
  12190.082000    0.998977
  12194.777000    1.001743
  12198.989000    1.003239
  12203.690000    1.004325
  12208.525000    1.007258
  12212.616000    1.007817
  12217.394000    1.009251
  12222.370000    1.010450
  12227.285000    1.008199
  12231.845000    1.006595
  12236.279000    1.005221
  12241.434000    1.001219
  12246.429000    0.998124
  12251.070000    0.994845
  12255.910000    0.995894
  12261.082000    0.995792
  12266.061000    0.995234
  12271.242000    0.993520
  12276.000000    0.994024
  12281.221000    0.994891
  12286.612000    0.994477
  12291.711000    0.997852
  12297.210000    1.000845
  12302.054000    1.000389
  12307.397000    1.002051
  12312.877000    1.004361
  12318.296000    1.004179
  12323.951000    1.004778
