*Spectrum*
- Title: Ga K edge XAS fluorescence of gallium bromide solution (Ga3+ 0.17m, Br- 0.51m) at 300bar and 300K
- Version: #1 (2018-07-16 15:50:58 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: fluorescence emission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 10223.000231-11334.000256 eV (Resol. 0.53 eV)
- Observation geometry: 
- Spatial observation mode: single spot
- Data analysis: raw averaged spectra
- Quality flag: 5
- File name: XAS_Gafluo_GaBr3_0.17m_300b_300K.data.txt
- Comments: 

*Sample*
- Name: Gallium bromide solution in hydrothermal conditions: Ga3+ 0.17m, Br- 0.51m
- Origin(s): laboratory
- Type: fluid
- Temperature: 300.0 +/- 0.1 K
- Pressure: 300.0 +/- 0.5 bar

*Experiment*
- Title: Ga K edge XAS fluorescence of gallium bromide solution in hydrothermal conditions at 300bars and between 300 and 670K
- Version: #1 (2018-07-16 15:50:58 UTC)
- Experimentalist(s): Da Silva Cécile; Testemale Denis; Hazemann Jean-Louis; Proux Olivier
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20180710_002

*Data reference*
- Da Silva, Cécile; Testemale, Denis; Hazemann, Jean-Louis; Proux, Olivier (2006): Ga K edge XAS fluorescence of gallium bromide solution in hydrothermal conditions at 300bars and between 300 and 670K. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20180710_002




energy(ev)	fluorescence_emission(au)
10229.500231	0.01901
10234.800232	0.01852
10240.000232	0.01854
10245.000232	0.01833
10250.000232	0.01830
10255.000232	0.01801
10260.000232	0.01794
10265.000232	0.01792
10270.000232	0.01773
10274.900232	0.01780
10280.000233	0.01770
10285.000233	0.01771
10290.000233	0.01781
10295.000233	0.01776
10300.100233	0.01796
10305.000233	0.01815
10310.000233	0.01842
10315.000233	0.01869
10320.000233	0.01924
10325.100234	0.01976
10330.000234	0.02076
10335.000234	0.02191
10340.000234	0.02346
10345.000234	0.02539
10350.000234	0.02848
10355.100234	0.03335
10360.000234	0.04145
10360.400234	0.04266
10360.900234	0.04403
10361.400234	0.04535
10362.000234	0.04670
10362.500234	0.04851
10362.900234	0.04973
10363.400234	0.05168
10364.000234	0.05344
10364.400234	0.05534
10364.900234	0.05785
10365.400234	0.06038
10365.900234	0.06315
10366.500235	0.06712
10367.000235	0.07056
10367.500235	0.07390
10367.900235	0.07751
10368.400235	0.08272
10369.000235	0.08846
10369.500235	0.09434
10370.000235	0.10226
10370.400235	0.10891
10370.900235	0.11847
10371.500235	0.13184
10372.000235	0.14568
10372.500235	0.16317
10373.000235	0.18528
10373.500235	0.21358
10373.900235	0.24925
10374.500235	0.30843
10375.000235	0.36270
10375.400235	0.43498
10375.900235	0.53283
10376.500235	0.69247
10377.000235	0.92629
10377.400235	1.16350
10378.000235	1.55287
10378.500235	1.87924
10378.900235	2.11860
10379.400235	2.36764
10379.900235	2.47241
10380.400235	2.49271
10381.000235	2.43853
10381.400235	2.35202
10381.900235	2.25209
10382.500235	2.14416
10382.900235	2.05672
10383.500235	1.93925
10384.000235	1.83548
10384.400235	1.75174
10385.000235	1.63693
10385.500235	1.54607
10386.000235	1.45214
10386.500235	1.37341
10386.900235	1.29996
10387.400235	1.22737
10387.900235	1.16017
10388.400235	1.11287
10389.000235	1.07223
10389.500235	1.04742
10390.000235	1.03332
10390.400235	1.02643
10390.900235	1.02178
10391.400235	1.02121
10392.000235	1.02163
10392.400235	1.02472
10393.000235	1.02857
10393.400235	1.03201
10393.900235	1.03584
10394.400235	1.03949
10395.000235	1.04241
10395.400235	1.04399
10395.900235	1.04343
10396.400235	1.04136
10396.900235	1.03757
10397.500235	1.03266
10397.900235	1.02782
10398.400235	1.02033
10399.000235	1.01211
10399.400235	1.00554
10399.900235	0.99581
10400.500235	0.98578
10400.900235	0.97876
10401.500235	0.96908
10401.900235	0.95957
10402.500235	0.94914
10402.900235	0.94135
10403.400235	0.93177
10403.900235	0.92212
10404.400235	0.91255
10404.900235	0.90399
10405.400235	0.89428
10406.000235	0.88295
10406.400235	0.87589
10407.000235	0.86629
10407.400235	0.85929
10407.900235	0.85207
10408.400235	0.84534
10408.900235	0.83863
10409.400235	0.83244
10409.900235	0.82755
10410.400235	0.82360
10411.000236	0.82008
10411.400236	0.82041
10412.000236	0.82184
10412.500236	0.82480
10413.000236	0.83044
10413.400236	0.83762
10413.900236	0.84850
10414.400236	0.86058
10414.900236	0.87455
10415.400236	0.89015
10415.900236	0.90812
10416.500236	0.92958
10416.900236	0.94531
10417.400236	0.96612
10418.000236	0.98912
10418.500236	1.01229
10419.000236	1.03116
10420.400236	1.08974
10423.300236	1.17739
10424.700236	1.19845
10426.200236	1.20996
10427.700236	1.21597
10429.300236	1.21895
10430.800236	1.22100
10432.300236	1.22273
10434.000236	1.22423
10435.600236	1.22589
10437.100236	1.22649
10438.700236	1.22564
10440.500236	1.22286
10442.100236	1.21642
10443.800236	1.20843
10445.600236	1.19739
10447.300236	1.18500
10449.000236	1.17336
10450.800236	1.15776
10452.600236	1.14281
10454.400236	1.12795
10456.200237	1.11367
10458.100237	1.09903
10459.900237	1.08641
10461.800237	1.07390
10463.700237	1.06291
10465.600237	1.05464
10467.600237	1.04874
10469.500237	1.04513
10471.500237	1.04286
10473.500237	1.04479
10475.500237	1.04765
10477.500237	1.05245
10479.500237	1.05865
10481.600237	1.06508
10483.700237	1.07207
10485.900237	1.07942
10488.000237	1.08682
10490.000237	1.09327
10492.300237	1.10010
10494.500237	1.10632
10496.700237	1.11221
10498.900237	1.11741
10501.100238	1.12304
10503.400238	1.12852
10505.700238	1.13415
10508.000238	1.13998
10510.300238	1.14600
10512.600238	1.15037
10515.000238	1.15173
10517.300238	1.15128
10519.700238	1.14989
10522.100238	1.14799
10524.500238	1.14623
10527.000238	1.14430
10529.400238	1.14190
10532.000238	1.13946
10534.400238	1.13509
10537.000238	1.13184
10539.600238	1.12685
10542.100238	1.12375
10544.700239	1.11968
10547.300239	1.11656
10549.900239	1.11340
10552.500239	1.11068
10555.200239	1.10987
10557.800239	1.10827
10560.600239	1.10746
10563.200239	1.10579
10566.000239	1.10424
10568.700239	1.10396
10571.600239	1.10382
10574.300239	1.10397
10577.100239	1.10500
10580.000239	1.10545
10582.800239	1.10717
10585.600239	1.10876
10588.500240	1.11032
10591.400240	1.11196
10594.300240	1.11344
10597.300240	1.11549
10600.300240	1.11672
10603.200240	1.11915
10606.200240	1.12041
10609.200240	1.12184
10612.300240	1.12410
10615.300240	1.12475
10618.400240	1.12593
10621.500240	1.12681
10624.600240	1.12809
10627.700240	1.12818
10630.900240	1.12791
10634.000241	1.12765
10637.300241	1.12669
10640.400241	1.12574
10643.700241	1.12557
10646.900241	1.12382
10650.100241	1.12196
10653.400241	1.11977
10656.700241	1.11896
10660.100241	1.11655
10663.400241	1.11501
10666.700241	1.11373
10670.100241	1.11194
10673.500241	1.11042
10677.000242	1.11013
10680.300242	1.10892
10683.800242	1.10815
10687.200242	1.10685
10690.700242	1.10707
10694.200242	1.10707
10697.700242	1.10689
10701.300242	1.10748
10704.800242	1.10728
10708.400242	1.10757
10712.100242	1.10772
10715.700242	1.10822
10719.300242	1.10878
10723.000243	1.10927
10726.600243	1.10953
10730.300243	1.11001
10734.000243	1.10995
10737.700243	1.11075
10741.500243	1.11126
10745.300243	1.11137
10749.100243	1.11178
10752.900243	1.11175
10756.700243	1.11164
10760.600243	1.11202
10764.400244	1.11174
10768.200244	1.11173
10772.100244	1.11174
10776.100244	1.11074
10780.100244	1.10989
10784.000244	1.10987
10788.000244	1.10824
10791.900244	1.10775
10796.000244	1.10676
10800.000244	1.10544
10804.000244	1.10536
10808.100244	1.10505
10812.200245	1.10422
10816.300245	1.10339
10820.500245	1.10301
10824.600245	1.10208
10828.700245	1.10131
10833.000245	1.10132
10837.200245	1.10057
10841.400245	1.10034
10845.700245	1.10000
10849.900245	1.09982
10854.100246	1.09955
10858.500246	1.09914
10862.800246	1.09985
10867.100246	1.09954
10871.400246	1.09945
10875.800246	1.09948
10880.200246	1.09965
10884.600246	1.09968
10889.100246	1.09926
10893.500246	1.09953
10898.000247	1.10014
10902.500247	1.09919
10906.900247	1.09977
10911.500247	1.09983
10916.000247	1.09989
10920.600247	1.09982
10925.300247	1.09944
10929.700247	1.09839
10934.400247	1.09773
10939.000247	1.09781
10943.700248	1.09735
10948.400248	1.09683
10953.000248	1.09680
10957.800248	1.09562
10962.500248	1.09522
10967.300248	1.09455
10972.000248	1.09451
10976.700248	1.09446
10981.600248	1.09357
10986.400249	1.09334
10991.300249	1.09273
10996.100249	1.09235
11001.000249	1.09245
11006.000249	1.09185
11010.800249	1.09138
11015.700249	1.09106
11020.700249	1.09111
11025.700249	1.09093
11030.800250	1.09059
11035.600250	1.09116
11040.800250	1.09068
11045.800250	1.09071
11050.900250	1.09051
11055.900250	1.09057
11061.100250	1.09126
11066.200250	1.09022
11071.400250	1.09063
11076.500251	1.09092
11081.700251	1.09049
11086.900251	1.08977
11092.100251	1.09000
11097.400251	1.09018
11102.600251	1.08982
11107.900251	1.09073
11113.200251	1.09118
11118.500252	1.09068
11123.800252	1.09025
11129.100252	1.09021
11134.600252	1.08953
11139.900252	1.08912
11145.400252	1.08917
11150.800252	1.08879
11156.300252	1.08836
11161.700252	1.08797
11167.200253	1.08804
11172.700253	1.08740
11178.300253	1.08681
11183.800253	1.08686
11189.300253	1.08630
11194.900253	1.08587
11200.500253	1.08571
11206.100253	1.08600
11211.800254	1.08523
11217.500254	1.08488
11223.200254	1.08455
11228.800254	1.08469
11234.500254	1.08435
11240.200254	1.08426
11246.000254	1.08449
11251.800255	1.08445
11257.500255	1.08350
11263.400255	1.08397
11269.200255	1.08369
11275.000255	1.08329
11280.900255	1.08341
11286.800255	1.08307
11292.700255	1.08316
11298.500256	1.08291
11304.600256	1.08235
11310.400256	1.08213
11316.400256	1.08177
11322.500256	1.08216
11328.500256	1.08132
