MRCAT_XAFS V0.4 Datafile
"Mn_MnO2_5B_kapton.002" created at APS 10BM on Tue Jul  9 15:35:15 2019 CDT
Ring energy= 7.00 GeV
E0= 6540.00
NUM_REGIONS= 1
SRB= 6390
SRSS= 0.35
SPP= 0.1
Settling time= 0


Offsets= 11317.00 11302.00 26173.00 14775.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 8.00 10.00 9.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
MnO2 5B kapton tape
3000 x 806
4 layers
------------------------------------------------------------------------------------------------
   energy       Io       It     Iref       If 
 6389.9975  62850 54410 107400 10
 6389.9975  62770 54320 107520 -10
 6389.9975  62680 54270 107170 30
 6390.0129  62830 54400 107720 -20
 6390.1279  62610 54210 107200 -10
 6390.3611  62850 54430 107540 0
 6390.6424  62620 54250 107270 0
 6390.9358  62840 54430 107640 -10
 6391.2308  62600 54270 107360 -10
 6391.5242  62770 54450 107730 0
 6391.8142  62700 54390 107880 10
 6392.1043  62770 54470 107580 0
 6392.3943  62740 54490 108070 0
 6392.6878  62740 54460 108720 -10
 6392.9796  62820 54570 108710 0
 6393.2698  62680 54460 108340 0
 6393.5617  62830 54670 108670 0
 6393.8536  62690 54540 108800 20
 6394.1489  62850 54680 109030 -20
 6394.4426  62690 54560 108670 0
 6394.7346  62830 54710 108790 -10
 6395.0283  62830 54710 109230 0
 6395.3221  62810 54760 109230 0
 6395.6142  62900 54790 109640 -10
 6395.9046  62760 54730 109270 10
 6396.1933  62900 54860 109580 -10
 6396.4871  62770 54780 109390 0
 6396.7828  62900 54910 109730 0
 6397.0767  62830 54850 109450 0
 6397.3724  62950 54970 110120 0
 6397.6647  62810 54840 109850 -10
 6397.9587  62960 55000 109970 10
 6398.2527  62870 54950 110070 20
 6398.5434  62930 54990 110280 -20
 6398.8358  62920 55050 110280 -10
 6399.1299  62830 54990 110310 10
 6399.4223  63040 55180 110600 -10
 6399.7148  62830 54990 110340 0
 6400.0073  62980 55150 110570 -10
 6400.2998  62870 55050 110800 -20
 6400.5958  62910 55160 110790 10
 6400.8918  62880 55130 110940 0
 6401.1879  62890 55130 111160 10
 6401.4874  62930 55180 111220 -10
 6401.7818  62940 55230 111390 10
 6402.0694  62920 55230 111060 -10
 6402.3604  62960 55290 111590 -20
 6402.6514  62980 55320 111220 -10
 6402.9459  62930 55310 111610 20
 6403.2387  63010 55380 111730 0
 6403.5333  62960 55400 111840 0
 6403.833   62930 55380 111700 0
 6404.1276  62970 55450 112310 0
 6404.424   63000 55470 112400 0
 6404.7204  62980 55440 112140 -10
 6405.0117  63070 55530 112210 0
 6405.3029  63030 55530 112470 0
 6405.5977  63000 55500 112510 -10
 6405.889   63070 55570 112850 0
 6406.1804  63070 55600 112700 -10
 6406.4735  63110 55650 112910 0
 6406.7667  63080 55660 112720 -20
 6407.0599  63040 55610 112680 -10
 6407.3582  63130 55730 113070 0
 6407.6549  63100 55710 113090 10
 6407.9447  63090 55770 113560 0
 6408.2346  63190 55850 113560 -10
 6408.5279  63100 55820 113310 0
 6408.823   63220 55900 113980 10
 6409.1146  63120 55860 113700 0
 6409.4063  63200 55930 114120 0
 6409.7015  63150 55900 114290 0
 6409.9949  63120 55940 113880 -10
 6410.2884  63160 55950 113980 0
 6410.5836  63190 55970 114430 0
 6410.8772  63200 55990 114370 0
 6411.1725  63220 56040 114470 -10
 6411.4696  63220 56080 114480 -20
 6411.7649  63240 56110 115100 10
 6412.062   63190 56130 114970 0
 6412.3574  63190 56120 115070 0
 6412.6494  63320 56200 115280 10
 6412.9449  63250 56200 115120 -20
