#XDI/1.1    Epics StepScan File / 2.0
# Scan.start_time: 2019-07-09 11:02:47
# Legend.Start: Column.N: Name  units || EpicsPV
# Column.1: Energy eV  ||  13IDE:En:Energy.VAL
# Column.2: TSCALER counts  ||  13IDE:SIS1:mca1
# Column.3: I0 counts  ||  13IDE:SIS1:mca2
# Column.4: I1 counts  ||  13IDE:SIS1:mca3
# Column.5: I2 counts  ||  13IDE:SIS1:mca4
# Column.6: Mn_Ka_mca1 counts  ||  13QX4:MCA1ROI:11:TSTotal
# Column.7: Mn_Ka_mca2 counts  ||  13QX4:MCA2ROI:11:TSTotal
# Column.8: Mn_Ka_mca3 counts  ||  13QX4:MCA3ROI:11:TSTotal
# Column.9: Mn_Ka_mca4 counts  ||  13QX4:MCA4ROI:11:TSTotal
# Column.10: OutputCounts_mca1 counts  ||  13QX4:MCA1ROI:1:TSTotal
# Column.11: OutputCounts_mca2 counts  ||  13QX4:MCA2ROI:1:TSTotal
# Column.12: OutputCounts_mca3 counts  ||  13QX4:MCA3ROI:1:TSTotal
# Column.13: OutputCounts_mca4 counts  ||  13QX4:MCA4ROI:1:TSTotal
# Column.14: Clock_mca1 counts  ||  13QX4:C1SCA0:TSArrayValue
# Column.15: Clock_mca2 counts  ||  13QX4:C2SCA0:TSArrayValue
# Column.16: Clock_mca3 counts  ||  13QX4:C3SCA0:TSArrayValue
# Column.17: Clock_mca4 counts  ||  13QX4:C4SCA0:TSArrayValue
# Column.18: DTFactor_mca1 counts  ||  13QX4:C1SCA8:TSArrayValue
# Column.19: DTFactor_mca2 counts  ||  13QX4:C2SCA8:TSArrayValue
# Column.20: DTFactor_mca3 counts  ||  13QX4:C3SCA8:TSArrayValue
# Column.21: DTFactor_mca4 counts  ||  13QX4:C4SCA8:TSArrayValue
# Legend.End: here
# Scan.end_time: 2019-07-09 11:06:31
# ExtraPVs.Start: Family.Member: Value | PV
# Beamline.FOE_Slit_HPos: 0.0500  ||  13IDA:m5.VAL
# Beamline.FOE_Slit_HWid: 0.7500  ||  13IDA:m6.VAL
# Beamline.FOE_Slit_VPos: -0.2000  ||  13IDA:m7.VAL
# Beamline.FOE_Slit_VWid: 0.2500  ||  13IDA:m8.VAL
# Beamline.FluxEstimate:    4.156e+12  ||  13XRM:ION:FluxOut.VAL
# Beamline.I0_Sensitivity_Number: 100  ||  13IDE:A1sens_num.VAL
# Beamline.I0_Sensitivity_Unit: nA/V  ||  13IDE:A1sens_unit.VAL
# Beamline.I1_Sensitivity_Number: 1  ||  13IDE:A2sens_num.VAL
# Beamline.I1_Sensitivity_Unit: nA/V  ||  13IDE:A2sens_unit.VAL
# Beamline.I2_Sensitivity_Number: 20  ||  13IDE:A3sens_num.VAL
# Beamline.I2_Sensitivity_Unit: nA/V  ||  13IDE:A3sens_unit.VAL
# Beamline.SSA_Slit_HPos: 0  ||  13IDA:m69.VAL
# Beamline.SSA_Slit_HWid: 0.1500  ||  13IDA:m70.VAL
# Beamline.SSA_Slit_VPos: 0.4000  ||  13IDA:m71.VAL
# Beamline.SSA_Slit_VWid: 0.4000  ||  13IDA:m72.VAL
# DetectorStage.X: 4050.0  ||  13IDE:m34.VAL
# DetectorStage.Y: 281.380  ||  13IDE:m4.VAL
# DetectorStage.Z: 75.0000  ||  13IDE:m19.VAL
# Facility.Ring_Current: 95.4  ||  S:SRcurrentAI.VAL
# Facility.Ring_Lifetime: 48.5  ||  S:SRlifeTimeHrsCC.VAL
# Mono.dspacing: 3.13477  ||  13IDE:En:dspace.VAL
# Mono.height: 25.30000  ||  13IDE:En:height.VAL
# Mono.theta_offset: 17.54928  ||  13IDA:m65.OFF
# Mono.xtal2_pitch: -0.1200  ||  13IDA:m67.VAL
# Mono.xtal2_rol: 1.0400  ||  13IDA:m68.VAL
# Mono.xtal2_y: 13.2754  ||  13IDA:m66.VAL
# Mono.xtal2_y_off: 11.6000  ||  13IDA:m66.OFF
# SampleStage.CoarseX: 53.35700  ||  13XRM:m4.VAL
# SampleStage.CoarseY: 77.0799  ||  13XRM:m5.VAL
# SampleStage.CoarseZ: 266.5444  ||  13XRM:m6.VAL
# SampleStage.FineX: 0.00299  ||  13XRM:m1.VAL
# SampleStage.FineY: 0.00200  ||  13XRM:m2.VAL
# SampleStage.Theta: 0  ||  13XRM:m3.VAL
# Undulator.Energy: 6.603  ||  ID13us:Energy.VAL
# Mono.Energy: 6520.00000  ||  13IDE:En:Energy.VAL
# ExtraPVs.End: here
# ScanParameters.Start: Scan.Member: Value
# ScanParameters.ScanType: xafs
# ScanParameters.element: Mn
# ScanParameters.edge: K
# ScanParameters.E0: 6539.000
# ScanParameters.Legend:  Start, Stop, Step, K-space, Time
# ScanParameters.Region1:   -150.000,   -10.000,     1.000  False  1.00
# ScanParameters.Region2:    -10.000,     9.999,     0.100  False  1.00
# ScanParameters.Region3:      1.620,    13.000,     0.051  True  1.00
# ScanParameters.End: here
# ///  Users Comments  ///
# 
# ------------------------
# Energy	TSCALER	I0	I1	I2	Mn_Ka_mca1	Mn_Ka_mca2	Mn_Ka_mca3	Mn_Ka_mca4	OutputCounts_mca1	OutputCounts_mca2	OutputCounts_mca3	OutputCounts_mca4	Clock_mca1	Clock_mca2	Clock_mca3	Clock_mca4	DTFactor_mca1	DTFactor_mca2	DTFactor_mca3	DTFactor_mca4
    6389.001866  49998782.000000  16680249.000000  15916397.000000        0.000000     9498.000000     8846.000000     8686.000000     9920.000000   226645.000000   209769.000000   219683.000000   265617.000000  79994163.000000  79994163.000000  79994163.000000  79994163.000000        1.146737        1.020916        1.042517        1.118588
    6390.000114  49998782.000000  16716066.000000  15969398.000000        0.000000     9562.000000     8626.000000     8678.000000     9976.000000   228429.000000   209725.000000   219947.000000   266405.000000  79994164.000000  79994164.000000  79994164.000000  79994164.000000        1.141115        1.020677        1.050653        1.118425
    6391.002613  49998806.000000  16753540.000000  16007553.000000        0.000000     9618.000000     8689.000000     8760.000000    10076.000000   228642.000000   211550.000000   221370.000000   266554.000000  79994201.000000  79994201.000000  79994201.000000  79994201.000000        1.144376        1.021064        1.043363        1.121125
    6392.000213  49998824.000000  16740917.000000  16011017.000000        0.000000     9726.000000     8685.000000     8847.000000    10029.000000   229272.000000   210878.000000   220245.000000   267228.000000  79994230.000000  79994230.000000  79994230.000000  79994230.000000        1.142574        1.020454        1.051532        1.122012
    6392.996832  49998843.000000  16759853.000000  16052102.000000        0.000000     9920.000000     8605.000000     8772.000000    10217.000000   228640.000000   211137.000000   220999.000000   267400.000000  79994261.000000  79994261.000000  79994261.000000  79994261.000000        1.146297        1.020711        1.047500        1.121722
    6393.996396  49998770.000000  16786600.000000  16098928.000000        0.000000     9714.000000     8908.000000     9137.000000    10384.000000   228824.000000   212678.000000   223416.000000   267948.000000  79994144.000000  79994144.000000  79994144.000000  79994144.000000        1.149351        1.021179        1.037493        1.119212
    6394.996289  49998716.000000  16789835.000000  16121904.000000        0.000000     9783.000000     8985.000000     8943.000000    10262.000000   229656.000000   211376.000000   221802.000000   268248.000000  79994058.000000  79994058.000000  79994058.000000  79994058.000000        1.145297        1.020971        1.046863        1.120449
    6395.999130  49998980.000000  16784203.000000  16128598.000000        0.000000     9842.000000     9032.000000     8925.000000    10385.000000   229004.000000   212345.000000   223159.000000   267881.000000  79994480.000000  79994480.000000  79994480.000000  79994480.000000        1.149599        1.021084        1.041872        1.119739
    6397.000992  49998728.000000  16787388.000000  16155130.000000        0.000000     9823.000000     9128.000000     9040.000000    10371.000000   229334.000000   212360.000000   221466.000000   268093.000000  79994077.000000  79994077.000000  79994077.000000  79994077.000000        1.149300        1.020637        1.046175        1.120155
    6398.001875  49998693.000000  16754123.000000  16136299.000000        0.000000    10157.000000     9147.000000     9347.000000    10394.000000   230151.000000   212131.000000   222063.000000   266593.000000  79994021.000000  79994021.000000  79994021.000000  79994021.000000        1.145591        1.021168        1.045096        1.121864
    6399.001777  49998974.000000  16757202.000000  16163503.000000        0.000000     9942.000000     8834.000000     9254.000000    10628.000000   229271.000000   211642.000000   223873.000000   267392.000000  79994470.000000  79994470.000000  79994470.000000  79994470.000000        1.151322        1.020959        1.039536        1.121827
    6400.000696  49998716.000000  16706315.000000  16129447.000000        0.000000    10001.000000     9203.000000     9168.000000    10603.000000   229550.000000   211795.000000   222120.000000   268065.000000  79994057.000000  79994057.000000  79994057.000000  79994057.000000        1.148323        1.021172        1.041800        1.119202
    6400.998633  49998716.000000  16752826.000000  16194816.000000        0.000000    10263.000000     9327.000000     9363.000000    10651.000000   230522.000000   213149.000000   222047.000000   267411.000000  79994057.000000  79994057.000000  79994057.000000  79994057.000000        1.144121        1.020897        1.048077        1.122436
    6401.995585  49998938.000000  16695012.000000  16158315.000000        0.000000    10371.000000     9233.000000     9306.000000    10855.000000   229722.000000   211993.000000   220331.000000   268010.000000  79994413.000000  79994413.000000  79994413.000000  79994413.000000        1.143433        1.021221        1.047462        1.118839
    6402.996802  49998764.000000  16679705.000000  16162285.000000        0.000000    10249.000000     9280.000000     9458.000000    10610.000000   229842.000000   212569.000000   222348.000000   266011.000000  79994134.000000  79994134.000000  79994134.000000  79994134.000000        1.147489        1.020678        1.046537        1.123887
    6404.002286  49998764.000000  16694613.000000  16196810.000000        0.000000    10452.000000     9432.000000     9387.000000    10924.000000   230128.000000   212449.000000   221204.000000   267776.000000  79994135.000000  79994135.000000  79994135.000000  79994135.000000        1.148597        1.020447        1.048476        1.120348
    6405.005477  49998812.000000  16657290.000000  16183177.000000        0.000000    10313.000000     9473.000000     9696.000000    10770.000000   228581.000000   211844.000000   223146.000000   267906.000000  79994212.000000  79994212.000000  79994212.000000  79994212.000000        1.149788        1.021328        1.038950        1.118709
    6405.999803  49998818.000000  16648435.000000  16194266.000000        0.000000    10396.000000     9554.000000     9616.000000    10920.000000   229298.000000   212109.000000   222468.000000   266902.000000  79994221.000000  79994221.000000  79994221.000000  79994221.000000        1.151592        1.020740        1.040894        1.123850
    6406.994453  49998746.000000  16640613.000000  16201007.000000        0.000000    10356.000000     9672.000000     9633.000000    11089.000000   229261.000000   212079.000000   222372.000000   267335.000000  79994105.000000  79994105.000000  79994105.000000  79994105.000000        1.153638        1.020736        1.039901        1.120377
    6407.997316  49998908.000000  16602442.000000  16189112.000000        0.000000    10677.000000     9573.000000     9499.000000    11148.000000   229729.000000   211621.000000   221876.000000   266881.000000  79994364.000000  79994364.000000  79994364.000000  79994364.000000        1.146941        1.021094        1.042830        1.121198
    6408.999195  49998722.000000  16542658.000000  16146650.000000        0.000000    10618.000000     9587.000000     9629.000000    11152.000000   229515.000000   210947.000000   220381.000000   268492.000000  79994067.000000  79994067.000000  79994067.000000  79994067.000000        1.144123        1.020944        1.047196        1.118205
