#eBraggEnergy I0_EH1 I1_EH1 mu I1_EH2 IR_EH2 mu_ref
10906.925247165695 1522483 1461948 0.04057276171434559 1461948 788336 0.6176006770456691
10911.778167274371 1520704 1460736 0.04023296723967703 1460736 788659 0.6163616624960806
10916.656954096517 1522131 1462246 0.040137716867952804 1462246 790210 0.6154301558877892
10921.623553652587 1510214 1451181 0.03987365495952823 1451181 784839 0.6146543854561127
10926.63950264495 1522067 1462793 0.03972165755710253 1462793 791555 0.614103535700404
10931.6997723457 1519354 1460468 0.039528312219154156 1460468 790542 0.6137934251151511
10936.741131357285 1519499 1460906 0.039323884058082445 1460906 792105 0.6121181114027153
10941.756397934287 1523332 1464800 0.03918132658593379 1464800 794378 0.611914574869819
10946.712453038148 1523668 1465426 0.03897460058094696 1465426 795244 0.611252278360786
10951.695998360181 1522047 1464199 0.03874780411983888 1464199 795227 0.6104360057572176
10956.725928101812 1523938 1466362 0.03851327061712412 1466362 796462 0.6103603629008865
10961.780933120506 1523331 1466012 0.03835359553832552 1466012 797985 0.6082112676713148
10966.79800241302 1523003 1466039 0.03811983759556874 1466039 798906 0.6070761933076144
10971.854476335679 1523122 1466366 0.03797494451986344 1466366 799931 0.6060170362746885
10976.904202811285 1523027 1466671 0.03770459512677637 1466671 800525 0.6054827233492753
10981.911935708002 1522917 1466777 0.03756009802666313 1466777 801449 0.6044014163489031
10986.894518369483 1522932 1467152 0.03731431758793173 1467152 801874 0.6041268972988536
10991.917216565133 1521867 1466425 0.037110404649173964 1466425 801664 0.6038931774715599
10996.861748332887 1523557 1468304 0.03693973937147439 1468304 803596 0.6027666168765023
11001.843111645701 1523280 1468321 0.03674633354540114 1468321 803233 0.6032300163700806
11006.85288659667 1511340 1457206 0.03647577089412736 1457206 798326 0.6017591472805623
11011.87868482073 1523680 1469376 0.036290640590170245 1469376 805946 0.6005763571119817
11016.844375967466 1525689 1471602 0.03609450799317143 1471602 807726 0.5998839901948835
11021.76555340865 1524960 1471112 0.035949602805111204 1471112 807153 0.600260615006306
11026.778923489504 1524461 1470939 0.03573993259024689 1470939 807424 0.5998073183323399
11031.847869240579 1524013 1470847 0.035508562078960186 1470847 808090 0.5989202658582429
11036.84993812031 1524181 1471397 0.035244926977075736 1471397 808654 0.598596431552193
11041.79218650801 1524129 1471590 0.03507965045092593 1471590 808805 0.5985408781975395
11046.789352192394 1523535 1471361 0.03484546980049976 1471361 808345 0.5989541541888442
11051.773495373029 1523848 1471981 0.03462960214284273 1471981 807968 0.5998419378203802
11056.702883344338 1523622 1472025 0.03445139114537752 1472025 807114 0.6009293606065941
11061.6521970072 1523312 1472131 0.03417590085145338 1472131 806381 0.6019099543626666
11066.620823591456 1523884 1472874 0.03404674477506406 1472874 804399 0.6048754583539141
11071.529178464003 1508073 1458150 0.03366416794912429 1458150 793383 0.608617706855374
11072.034870014724 1506711 1456833 0.03366422795839382 1456833 792085 0.609351471257611
11072.498795738193 1508416 1458504 0.033648840746197985 1458504 792278 0.6102541915219222
11073.045073297297 1508938 1458979 0.03366921611225545 1458979 791866 0.6110999694183821
11073.491165156025 1501911 1452254 0.03362146502535767 1452254 787627 0.6118474836770771
11074.043522460748 1503250 1453530 0.033634350298864586 1453530 788316 0.611851334919625
11074.500323844435 1502264 1452596 0.033621003039688874 1452596 787614 0.6120994573576688
11075.024898249634 1508889 1458998 0.03362371969424059 1458998 790900 0.6123336401945555
11075.4837782933 1516849 1466736 0.03359563298309221 1466736 794831 0.6126652894082525
11075.998489387905 1518527 1468393 0.03357218051448984 1468393 795345 0.6131479017337892
11076.47605406853 1519190 1469129 0.03350758990620919 1469129 795476 0.6134843095402686
11077.005478192345 1519141 1469101 0.03349439444932887 1469101 795248 0.613751912371327
11077.479813633563 1519462 1469405 0.03349876788793728 1469405 795146 0.614087090337928
11077.994058122194 1519547 1469571 0.03344174266040324 1469571 794937 0.6144629342142216
11078.50436653534 1519851 1469809 0.03347984336153646 1469809 794492 0.6151848226579555
11078.972193282701 1519854 1469879 0.033434193135676554 1469879 794057 0.615780116376148
11079.495225609746 1519866 1469905 0.03342440022534806 1469905 793532 0.6164591850185204
11079.942536441833 1520031 1470064 0.03342479212917211 1470064 793030 0.6172001642993117
11080.48294991984 1519796 1469891 0.03338786694327152 1469891 792296 0.6180084679979488
11080.946965988596 1519790 1469930 0.03335738680956408 1469930 791548 0.6189795377628892
