#F /buffer/ld0132/Exafs/USERS/ELKE/GeO2.dat
#E 1371554237
#D Fri Jun 28 13:38:56 2013
#C experiment  User = opd01
#O0  samplez    omegax    omegay  solidstate     minix     miniy     miniz     sl03t
#O1    sl03b     sl03r     sl03l     dummy     sl01t     sl01b    dummy1   sl01gap
#O2  sl01off      mono      whip      tab1      tab2      tab3       xti       yti
#O3      hgt   pdslide     sl02l     sl02r   shutter     sl02b  beamstop     theta
#O4    omega      xeye     difz1     difz2   diftilt    difhgt   samplex   sampley
#O5 Mono  piz  POWDERmono    m_vert     sl01l     sl01r    sl01hg    sl01ho     piezo
#O6    mtest   spinner     blow1     blow2  
#C Fri Jun 28 13:41:45 2013.  do ToEXAFS.mac.
#C Fri Jun 28 13:42:05 2013.  Monochromator moved to E = 11.1025 KeV.

#S 1  zapline mono 10.3073 9.89985 7244 100 
#D Fri Jun 28 13:44:15 2013
#T 100  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 1.25e-06 -0.19 -0.17 16 0.8 -5e-07 -7.5e-06 25.400002
#P1 19.900005 23.85 17.3 -127.466 38.224063 39.2 24.684375 77.424
#P2 -0.488 9.8998208 40 -1.1365 -0.95029948 -1.0415781 2.6600012 -0.01023379
#P3 -1.0424889 0.5 17.687812 -88.637812 0.99938125 -4.80094 -5 30.00001
#P4 0 30 2.46 2.46 0 2.46 -7.5e-07 0
#P5 78.623942 4.6116 -0.72625 47 35 82 6 0
#P6 7.573685 369 30 25 
#UMI0     Current AutoM      Shutter    
#UMI1      183.36    ON     FE open     
#UMI2 Refill in 26146 sec, Fill Mode: 7/8 multibunch / Message: Jun 28 09:04 Delivery:Next Refill at 21:00; 
#N 18
#L Mon    Det1  Det2  Det3  Det4  Det5  Det6  Ion1  MonEx  Ion2  Htime  MusstEnc1  MusstEnc3  MusstEnc4  TwoTheta  ZapEnergy  ZCryo  xmap_roi00
 11131 0 0 0 0 0 0 43254 11132 5341 99329 546524 598263 16 10.307306 11.050021 0 0
 11212 0 0 0 0 0 0 43560 11212 5380 100000 546515 598263 16 10.307261 11.050069 0 0
 11207 0 0 0 0 0 0 43560 11206 5382 100001 546484 598263 16 10.307106 11.050234 0 0
 11214 0 0 0 0 0 0 43593 11215 5389 99998 546429.5 598263 16 10.306833 11.050523 0 0
 11223 0 0 0 0 0 0 43599 11222 5385 100001 546360 598263 16 10.306486 11.050891 0 0
 11220 0 0 0 0 0 0 43628 11221 5393 100002 546265.5 598263 16 10.306013 11.051393 0 0
 11228 0 0 0 0 0 0 43628 11228 5393 99999 546144 598263 16 10.305406 11.052036 0 0
 11229 0 0 0 0 0 0 43662 11229 5402 100002 545997 598263 16 10.304671 11.052816 0 0
 11229 0 0 0 0 0 0 43677 11230 5405 100004 545818 598263 16 10.303776 11.053766 0 0
 11224 0 0 0 0 0 0 43652 11223 5404 99996 545627 598263 16 10.302821 11.05478 0 0
 11228 0 0 0 0 0 0 43682 11228 5413 99999 545436 598263 16 10.301866 11.055794 0 0
 11221 0 0 0 0 0 0 43670 11221 5413 99999 545245.5 598263 16 10.300913 11.056805 0 0
 11224 0 0 0 0 0 0 43708 11224 5417 100002 545057 598263 16 10.299971 11.057805 0 0
 11210 0 0 0 0 0 0 43666 11210 5416 100001 544865.5 598263 16 10.299013 11.058823 0 0
 11214 0 0 0 0 0 0 43682 11214 5420 100000 544680.5 598263 16 10.298088 11.059805 0 0
 11210 0 0 0 0 0 0 43690 11210 5425 100002 544499.5 598263 16 10.297183 11.060766 0 0
 11218 0 0 0 0 0 0 43730 11218 5432 99999 544308.5 598263 16 10.296228 11.061782 0 0
 11219 0 0 0 0 0 0 43738 11219 5435 99996 544126 598263 16 10.295316 11.062752 0 0
 11219 0 0 0 0 0 0 43751 11219 5442 100005 543949 598263 16 10.294431 11.063692 0 0
 11219 0 0 0 0 0 0 43767 11219 5445 99999 543765.5 598263 16 10.293513 11.064668 0 0
