# FDMNES program, Revision 20th of January 2022     
#    Date = 21 01 2022                              
#    Time = 10 h 48 mn 13 s                         
 20000.000   42  1  1     0.00000   -19.30749    -5.01332  1  1    19831.401  0.011948392     0.00000 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_Fermi, ninitl, ninit1, Epsii, Atom_density, f0_forward
    Energy    <xanes>    
   -25.000  1.1943264E-04
   -24.800  1.1800454E-04
   -24.600  1.1667137E-04
   -24.400  1.1543547E-04
   -24.200  1.1429565E-04
   -24.000  1.1325618E-04
   -23.800  1.1231844E-04
   -23.600  1.1148691E-04
   -23.400  1.1076450E-04
   -23.200  1.1015876E-04
   -23.000  1.0967581E-04
   -22.800  1.0932413E-04
   -22.600  1.0911461E-04
   -22.400  1.0906128E-04
   -22.200  1.0917951E-04
   -22.000  1.0948877E-04
   -21.800  1.1001450E-04
   -21.600  1.1079139E-04
   -21.400  1.1186106E-04
   -21.200  1.1328461E-04
   -21.000  1.1513339E-04
   -20.800  1.1750484E-04
   -20.600  1.2053413E-04
   -20.400  1.2441504E-04
   -20.200  1.2946199E-04
   -20.000  1.3627890E-04
   -19.800  1.4672281E-04
   -19.600  2.0074134E-04
   -19.400  2.1464379E-04
   -19.200  5.8826498E-04
   -19.000  2.1013253E-04
   -18.800  8.6951053E-04
   -18.600  1.3449600E-03
   -18.400  2.7757174E-03
   -18.200  4.3705001E-03
   -18.000  1.0903477E-02
   -17.800  2.2620052E-02
   -17.600  6.2457715E-02
   -17.400  4.6305770E-02
   -17.200  1.2684077E-01
   -17.000  7.8398761E-02
   -16.800  1.2870613E-01
   -16.600  7.4933681E-03
   -16.400  1.8938081E-03
   -16.200  9.4496185E-04
   -16.000  6.2263808E-04
   -15.800  4.8264670E-04
   -15.600  4.1892534E-04
   -15.400  3.9663334E-04
   -15.200  4.0310080E-04
   -15.000  4.3502908E-04
   -14.800  4.9475937E-04
   -14.600  5.8979224E-04
   -14.400  7.3425737E-04
   -14.200  9.5259995E-04
   -14.000  1.2996659E-03
   -13.800  1.8462096E-03
   -13.600  2.7504661E-03
   -13.400  4.3467083E-03
   -13.200  7.4913006E-03
   -13.000  1.4998721E-02
   -12.800  3.3211006E-02
   -12.600  5.2679959E-02
   -12.400  6.5512639E-02
   -12.200  5.9022640E-02
   -12.000  5.3762979E-02
   -11.800  5.5101064E-02
   -11.600  6.4413062E-02
   -11.400  7.1457343E-02
   -11.200  6.8218299E-02
   -11.000  8.0128373E-02
   -10.800  9.9982043E-02
   -10.600  1.4497215E-01
   -10.400  1.9031849E-01
   -10.200  1.4373969E-01
   -10.000  1.3574864E-01
    -9.900  1.4917355E-01
    -9.800  1.3702810E-01
    -9.700  1.2428472E-01
    -9.600  1.2170086E-01
    -9.500  1.0413192E-01
    -9.400  8.3088017E-02
    -9.300  7.2652195E-02
    -9.200  6.7200886E-02
    -9.100  6.4529690E-02
    -9.000  6.4073629E-02
    -8.900  6.4745750E-02
    -8.800  6.5966992E-02
    -8.700  6.2134140E-02
    -8.600  5.7594597E-02
    -8.500  5.5683435E-02
    -8.400  5.3030796E-02
    -8.300  5.2279008E-02
    -8.200  5.1524954E-02
    -8.100  4.8058405E-02
    -8.000  4.3034328E-02
    -7.900  3.7866445E-02
    -7.800  3.3283363E-02
    -7.700  2.9474063E-02
    -7.600  2.6530740E-02
    -7.500  2.4392801E-02
    -7.400  2.2828241E-02
    -7.300  2.1576905E-02
    -7.200  2.0459051E-02
    -7.100  1.9411532E-02
    -7.000  1.8538423E-02
    -6.900  1.8046639E-02
    -6.800  1.8004118E-02
    -6.700  1.8246650E-02
    -6.600  1.8546054E-02
    -6.500  1.8781495E-02
    -6.400  1.8934372E-02
    -6.300  1.9029884E-02
    -6.200  1.9122013E-02
    -6.100  1.9240852E-02
    -6.000  1.9328831E-02
    -5.900  1.9300696E-02
    -5.800  1.9144411E-02
    -5.700  1.8935953E-02
    -5.600  1.8783630E-02
    -5.500  1.8754155E-02
    -5.400  1.8893077E-02
    -5.300  1.9135364E-02
    -5.200  1.9244281E-02
    -5.100  1.9061141E-02
    -5.000  1.8610952E-02
    -4.900  1.8050025E-02
    -4.800  1.7531878E-02
    -4.700  1.6973310E-02
    -4.600  1.6264226E-02
    -4.500  1.5566659E-02
    -4.400  1.5132486E-02
    -4.300  1.5109131E-02
    -4.200  1.5503250E-02
    -4.100  1.6301035E-02
    -4.000  1.7512569E-02
    -3.900  1.9008767E-02
    -3.800  2.0507766E-02
    -3.700  2.1667033E-02
    -3.600  2.2131345E-02
    -3.500  2.2253340E-02
    -3.400  2.2418510E-02
    -3.300  2.2804576E-02
    -3.200  2.3336964E-02
    -3.100  2.3984065E-02
    -3.000  2.4865506E-02
    -2.900  2.6107803E-02
    -2.800  2.7615600E-02
    -2.700  2.8893369E-02
    -2.600  2.9339859E-02
    -2.500  2.8840363E-02
    -2.400  2.7803605E-02
    -2.300  2.6684740E-02
    -2.200  2.5753597E-02
    -2.100  2.5113662E-02
    -2.000  2.4755110E-02
    -1.900  2.4617534E-02
    -1.800  2.4652382E-02
    -1.700  2.4855518E-02
    -1.600  2.5272758E-02
    -1.500  2.6002698E-02
    -1.400  2.7207624E-02
    -1.300  2.9123797E-02
    -1.200  3.2047789E-02
    -1.100  3.6242748E-02
    -1.000  4.1575143E-02
    -0.900  4.6511107E-02
    -0.800  4.7565627E-02
    -0.700  4.3594636E-02
