# FDMNES program, Revision 20th of January 2022     
#    Date = 21 01 2022                              
#    Time = 10 h 48 mn 59 s                         
#        20000.0          1.25          15.0           0.0 = E_edge, Gamma_hole, Gamma_max, E_cut                                                                                                                                                                        
#       0.69430           0.0 = Shift                                                                                                                                                                                            
    Energy    <xanes>    
   -40.000  1.7372707E-03
   -39.500  1.7532836E-03
   -39.000  1.7751748E-03
   -38.500  1.7999919E-03
   -38.000  1.8260484E-03
   -37.500  1.8528930E-03
   -37.000  1.8804839E-03
   -36.500  1.9088462E-03
   -36.000  1.9380125E-03
   -35.500  1.9680175E-03
   -35.000  1.9988981E-03
   -34.500  2.0306932E-03
   -34.000  2.0634441E-03
   -33.500  2.0971949E-03
   -33.000  2.1319921E-03
   -32.500  2.1678856E-03
   -32.000  2.2049281E-03
   -31.500  2.2431761E-03
   -31.000  2.2826898E-03
   -30.500  2.3235337E-03
   -30.000  2.3657765E-03
   -29.500  2.4094921E-03
   -29.000  2.4547595E-03
   -28.500  2.5016637E-03
   -28.000  2.5502962E-03
   -27.500  2.6007567E-03
   -27.000  2.6531588E-03
   -26.500  2.7076273E-03
   -26.000  2.7642316E-03
   -25.500  2.8230149E-03
   -25.000  2.8842724E-03
   -24.800  2.9095499E-03
   -24.600  2.9352774E-03
   -24.400  2.9614477E-03
   -24.200  2.9880570E-03
   -24.000  3.0151111E-03
   -23.800  3.0426252E-03
   -23.600  3.0706200E-03
   -23.400  3.0991162E-03
   -23.200  3.1281315E-03
   -23.000  3.1576816E-03
   -22.800  3.1877804E-03
   -22.600  3.2184420E-03
   -22.400  3.2496815E-03
   -22.200  3.2815149E-03
   -22.000  3.3139593E-03
   -21.800  3.3470326E-03
   -21.600  3.3807537E-03
   -21.400  3.4151422E-03
   -21.200  3.4502187E-03
   -21.000  3.4860043E-03
   -20.800  3.5225214E-03
   -20.600  3.5597932E-03
   -20.400  3.5978438E-03
   -20.200  3.6366987E-03
   -20.000  3.6763842E-03
   -19.800  3.7169280E-03
   -19.600  3.7583589E-03
   -19.400  3.8007071E-03
   -19.200  3.8440044E-03
   -19.000  3.8882838E-03
   -18.800  3.9335801E-03
   -18.600  3.9799298E-03
   -18.400  4.0273710E-03
   -18.200  4.0759441E-03
   -18.000  4.1256911E-03
   -17.800  4.1766564E-03
   -17.600  4.2288867E-03
   -17.400  4.2824312E-03
   -17.200  4.3373417E-03
   -17.000  4.3936727E-03
   -16.800  4.4514819E-03
   -16.600  4.5108301E-03
   -16.400  4.5717816E-03
