# XDI/1.0 BlueSky/1.5.0
# Beamline.name: BMM (06BM) -- Beamline for Materials Measurement
# Beamline.xray_source: NSLS-II three-pole wiggler
# Beamline.collimation: paraboloid mirror, 5 nm Rh on 30 nm Pt
# Beamline.focusing: not in use
# Beamline.harmonic_rejection: flat mirror, Si stripe, pitch = 2.00 mrad
# Detector.I0: 10 cm N2
# Detector.I1: 25 cm N2
# Detector.I2: 25 cm N2
# Detector.fluorescence: SII Vortex ME4 (4-element silicon drift)
# Detector.deadtime_correction: DOI: 10.1107/S0909049510009064
# Element.symbol: V
# Element.edge: K
# Facility.name: NSLS-II
# Facility.current: 0.0 mA
# Facility.energy: 3.0 GeV
# Facility.mode: top-off
# Facility.GUP: 303443
# Facility.SAF: 303928
# Mono.name: Si(111)
# Mono.d_spacing: 3.1356369 Å
# Mono.encoder_resolution: 0.0000050 deg/ct
# Mono.angle_offset: 16.0568400 deg
# Mono.scan_mode: pseudo channel cut
# Mono.scan_type: step
# Mono.direction: forward in energy
# Sample.x_position: -113.866 mm
# Sample.y_position: 95.228 mm
# Sample.name: Ca0.25V2O5
# Sample.prep: slurry dried on SS 200 mesh 1 M ZnSO4
# Scan.experimenters: Chris Patridge
# Scan.edge_energy: 5465.0
# Scan.start_time: 2019-03-21T08:45:01
# Scan.end_time: 2019-03-21T09:00:56
# Scan.transient_id: 6986
# Scan.uid: 48c3dcf1-020e-4671-8c71-cc0db04dff01
# Scan.plot_hint: (DTC1 + DTC2 + DTC3 + DTC4) / I0  --  ($8+$9+$10+$11) / $5
# Column.1: energy eV
# Column.2: requested_energy eV
# Column.3: measurement_time seconds
# Column.4: xmu 
# Column.5: I0 nA
# Column.6: It nA
# Column.7: Ir nA
# Column.8: DTC1 dead-time corrected count rate
# Column.9: DTC2 dead-time corrected count rate
# Column.10: DTC3 dead-time corrected count rate
# Column.11: DTC4 dead-time corrected count rate
# Column.12: ROI1 counts
# Column.13: ICR1 counts
# Column.14: OCR1 counts
# Column.15: ROI2 counts
# Column.16: ICR2 counts
# Column.17: OCR2 counts
# Column.18: ROI3 counts
# Column.19: ICR3 counts
# Column.20: OCR3 counts
# Column.21: ROI4 counts
# Column.22: ICR4 counts
# Column.23: OCR4 counts
# ///////////
# 48 hr rest
# -----------
# energy  requested_energy  measurement_time  xmu  I0  It  Ir  DTC1  DTC2  DTC3  DTC4  ROI1  ICR1  OCR1  ROI2  ICR2  OCR2  ROI3  ICR3  OCR3  ROI4  ICR4  OCR4
  5264.987  5265.000  0.500  53.156379  25.657711  0.000023  -0.006299  244.921820  255.059812  53.306052  810.583359  243.0  957.0  950.0  256.0  948.0  952.0  53.0  1929.0  1920.0  805.0  1884.0  1873.0
  5275.010  5275.000  0.500  50.848806  25.939593  0.000089  0.001226  261.814190  249.844180  40.284350  767.054603  260.0  1109.0  1102.0  251.0  967.0  972.0  40.0  2023.0  2011.0  761.0  1902.0  1889.0
  5285.012  5285.000  0.500  48.095009  26.204202  -0.000158  -0.003015  259.326850  183.511260  43.178518  774.274708  258.0  1112.0  1107.0  184.0  940.0  943.0  43.0  1982.0  1976.0  768.0  2003.0  1989.0
  5295.009  5295.000  0.500  43.797213  26.495465  0.000248  -0.002980  206.294460  202.158866  47.212551  704.761631  205.0  1055.0  1049.0  203.0  1052.0  1057.0  47.0  2104.0  2097.0  699.0  1979.0  1965.0
  5305.008  5305.000  0.500  42.465413  26.723506  0.000082  -0.004473  198.564368  196.940507  46.255389  693.064462  197.0  1101.0  1093.0  197.0  1093.0  1094.0  46.0  2058.0  2049.0  687.0  2112.0  2096.0
  5315.007  5315.000  0.500  40.614401  26.954129  -0.000002  -0.009311  190.974474  177.757599  47.100076  678.893641  190.0  1116.0  1111.0  178.0  1030.0  1032.0  47.0  2068.0  2066.0  674.0  2166.0  2153.0
  5325.006  5325.000  0.500  35.266875  27.259254  0.000132  -0.002693  167.974161  138.129499  31.258826  623.986222  167.0  1165.0  1159.0  139.0  1018.0  1025.0  31.0  2111.0  2096.0  618.0  2142.0  2124.0
  5335.004  5335.000  0.500  34.780692  27.524247  0.001116  -0.001570  158.199993  157.908744  31.181531  610.022117  157.0  1152.0  1144.0  159.0  1065.0  1073.0  31.0  2168.0  2158.0  604.0  2196.0  2177.0
  5345.564  5345.000  0.500  33.572765  27.738053  0.000340  -0.002298  158.047834  168.907245  34.240412  570.047666  157.0  1171.0  1164.0  170.0  1126.0  1134.0  34.0  2255.0  2242.0  565.0  2233.0  2216.0
  5354.997  5355.000  0.500  32.143887  28.174755  -0.000275  -0.005726  166.903557  156.838334  35.251504  546.652759  166.0  1276.0  1270.0  157.0  1181.0  1183.0  35.0  2200.0  2187.0  542.0  2362.0  2345.0
  5364.995  5365.000  0.500  27.398748  28.505533  0.000384  -0.004649  139.912684  145.721305  26.125316  469.256599  139.0  1195.0  1188.0  146.0  1168.0  1171.0  26.0  2265.0  2257.0  465.0  2312.0  2294.0
  5375.000  5375.000  0.500  23.934086  28.859915  0.000319  0.003102  114.440294  112.708840  33.253165  430.333387  114.0  1276.0  1272.0  113.0  1223.0  1227.0  33.0  2387.0  2372.0  427.0  2325.0  2310.0
  5384.997  5385.000  0.500  23.973194  29.275375  0.000222  0.001097  118.073945  118.784030  42.269079  422.697181  117.0  1315.0  1304.0  119.0  1203.0  1206.0  42.0  2382.0  2370.0  419.0  2435.0  2417.0
  5395.001  5395.000  0.500  22.462285  29.496978  -0.000063  -0.004569  130.784829  121.385680  30.163834  380.235160  130.0  1331.0  1324.0  122.0  1218.0  1225.0  30.0  2466.0  2456.0  376.0  2455.0  2431.0
  5404.999  5405.000  0.500  20.709109  29.888763  -0.000576  -0.002946  100.053142  113.708456  40.455530  364.752523  99.0  1328.0  1315.0  114.0  1229.0  1233.0  40.0  2420.0  2396.0  361.0  2467.0  2445.0
  5415.000  5415.000  0.500  17.612100  30.317514  0.001065  0.005278  88.729159  109.899411  25.184767  310.141744  88.0  1338.0  1328.0  110.0  1241.0  1243.0  25.0  2531.0  2516.0  307.0  2520.0  2498.0
  5424.999  5425.000  0.500  18.240913  30.614215  0.000572  -0.003058  107.066475  103.667419  37.241537  310.455794  106.0  1417.0  1404.0  104.0  1274.0  1279.0  37.0  2574.0  2561.0  307.0  2577.0  2552.0
  5434.999  5435.000  0.500  16.739359  30.918186  -0.000099  -0.009314  99.890112  106.586482  42.429230  268.644801  99.0  1484.0  1472.0  107.0  1301.0  1307.0  42.0  2663.0  2640.0  266.0  2623.0  2601.0
  5437.007  5437.000  0.500  17.083115  30.975760  -0.000234  -0.001726  94.891204  108.675651  35.216037  290.379570  94.0  1521.0  1508.0  109.0  1338.0  1343.0  35.0  2545.0  2533.0  288.0  2687.0  2669.0
  5439.007  5439.000  0.500  16.380235  31.034144  0.000611  0.000159  113.238496  107.760362  45.272513  242.075192  112.0  1483.0  1468.0  108.0  1343.0  1347.0  45.0  2639.0  2627.0  240.0  2684.0  2665.0
