XDAC V1.4 Datafile V1
"Fe_trilayer.002" created on 6/27/11 at 2:22:40 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 7112.00
NUM_REGIONS= 4
SRB= -200 -20 30 60 13k
SRSS= 10 0.25 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 103.00 58.00 0.00 0.00 0.00 0.00 24.00 17.00 50.00 3391.00 10.00 10.00 8.00 19.00 89.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 9.00 1.00
Fe edge of Daniel's KCo hexacyanoferrate/KNi hexacyanochromate/KCo trilayer
N2 in I0, Vortex

--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    6912.00190     4484.0000     3516.0000      845.0000      509.0000      708.0000      362.0000     9743.0000    10108.0000    10436.0000     9483.0000     9799.0000    10137.0000    10462.0000     9837.0000    15912.0000        1.0000
    6921.99833     4462.0000     3513.0000      756.0000      441.0000      696.0000      348.0000     9825.0000    10330.0000    10320.0000     8082.0000     9867.0000    10369.0000    10364.0000     9908.0000    15948.0000        1.0000
    6931.99928     4443.0000     3510.0000      693.0000      407.0000      565.0000      315.0000     9559.0000    10298.0000    10283.0000     7458.0000     9623.0000    10333.0000    10337.0000     9613.0000    15981.0000        1.0000
    6942.00010     4435.0000     3516.0000      657.0000      441.0000      543.0000      283.0000     9792.0000    10122.0000    10252.0000     7746.0000     9844.0000    10145.0000    10316.0000     9757.0000    16064.0000        1.0000
    6952.00065     4422.0000     3520.0000      632.0000      413.0000      512.0000      290.0000     9762.0000    10233.0000    10446.0000     7848.0000     9795.0000    10257.0000    10504.0000     9917.0000    16131.0000        1.0000
    6962.00080     4436.0000     3543.0000      587.0000      378.0000      461.0000      273.0000     9748.0000    10228.0000    10483.0000     9115.0000     9801.0000    10268.0000    10516.0000     9825.0000    16295.0000        1.0000
    6972.00042     4418.0000     3545.0000      586.0000      334.0000      457.0000      228.0000     9911.0000    10062.0000    10375.0000     8272.0000     9945.0000    10084.0000    10435.0000     9933.0000    16351.0000        1.0000
    6981.99938     4447.0000     3581.0000      528.0000      338.0000      379.0000      238.0000     9844.0000    10177.0000    10347.0000    11334.0000     9885.0000    10198.0000    10345.0000     9915.0000    16582.0000        1.0000
    6992.00211     4467.0000     3610.0000      527.0000      307.0000      384.0000      207.0000    10030.0000    10338.0000    10571.0000     9650.0000    10074.0000    10354.0000    10607.0000    10035.0000    16776.0000        1.0000
    7001.99934     4284.0000     3476.0000      440.0000      269.0000      318.0000      208.0000     9582.0000     9865.0000    10187.0000     7632.0000     9643.0000     9885.0000    10262.0000     9651.0000    16208.0000        1.0000
