  9809     KEK-PF   BL9A
 Fe010           22.05.11 17:26 - 22.05.11 18:33 Serial#KEKPF-BL9A_030107
 F2T0
 Ring :   2.5 GeV   425.1 mA -  449.9 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
 BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
 Param file : Std-EXAFS       energy axis(2)     Block =    6

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        6606.20   7061.20         6.50       1.00        70
     2        7061.20   7076.20         1.00       1.00        15
     3        7076.20   7181.20         0.10       2.00      1050
     4        7181.20   7211.20         1.00       2.00        30
     5        7211.20   7611.20         2.50       3.00       160
     6        7611.20   8211.20         6.00       3.00       101
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         3
    Offset         0         0  7753.700  7157.100
  17.41446  17.41440      1.00   1792467     14016
  17.39679  17.39700      1.00   1781004     13757
  17.37916  17.37910      1.00   1777083     13451
  17.36157  17.36180      1.00   1769157     13267
  17.34402  17.34390      1.00   1759846     12957
  17.32650  17.32690      1.00   1762663     12583
  17.30902  17.30880      1.00   1768729     12371
  17.29157  17.29170      1.00   1777051     12318
  17.27416  17.27410      1.00   1777163     12127
  17.25678  17.25700      1.00   1769811     11804
  17.23944  17.23930      1.00   1776825     11456
  17.22213  17.22230      1.00   1774830     11268
  17.20486  17.20480      1.00   1775986     11188
  17.18763  17.18770      1.00   1773964     10849
  17.17043  17.17040      1.00   1766610     10846
  17.15326  17.15310      1.00   1757253     10461
  17.13613  17.13640      1.00   1755397     10297
  17.11904  17.11880      1.00   1759973     10128
  17.10198  17.10200      1.00   1753365     10047
  17.08495  17.08490      1.00   1744496      9922
  17.06796  17.06790      1.00   1745356      9781
  17.05100  17.05100      1.00   1743362      9687
  17.03408  17.03400      1.00   1743018      9566
  17.01719  17.01740      1.00   1734652      9454
  17.00034  17.00020      1.00   1737351      9547
  16.98351  16.98350      1.00   1732015      9465
  16.96673  16.96690      1.00   1722587      9322
  16.94997  16.94980      1.00   1708255      9236
  16.93325  16.93330      1.00   1693598      9201
  16.91657  16.91670      1.00   1595914      8679
  16.89991  16.89980      1.00   1686202      9135
  16.88329  16.88330      1.00   1682423      9112
  16.86670  16.86680      1.00   1674595      9142
  16.85015  16.85010      1.00   1657355      8936
  16.83363  16.83350      1.00   1652704      8943
  16.81714  16.81720      1.00   1653274      8939
  16.80069  16.80080      1.00   1558559      8397
  16.78426  16.78420      1.00   1653053      8962
  16.76787  16.76790      1.00   1665972      9040
  16.75152  16.75150      1.00   1668518      8959
  16.73519  16.73530      1.00   1678361      8992
  16.71890  16.71870      1.00   1679441      9116
  16.70264  16.70270      1.00   1667736      9083
  16.68641  16.68660      1.00   1666771      9112
  16.67021  16.67000      1.00   1678644      9135
  16.65405  16.65410      1.00   1682770      9188
  16.63791  16.63790      1.00   1676451      9242
  16.62181  16.62190      1.00   1685832      9267
  16.60574  16.60580      1.00   1691282      9297
  16.58970  16.58950      1.00   1685071      9245
  16.57370  16.57380      1.00   1669115      9260
