  9809     KEK-PF   BL12C
 G:hgcys-11.001  07.05.12 23:28 - 07.05.12 23:55
 Hg:H2Cys 1:2 pH = 12.86, 100 mM, prep. at PF, 5 mm Teflon, stirred 4 hrs        
 Ring :   2.5 GeV   348.8 mA -  342.8 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle=  9.25969 deg
 BL12C     Transmission( 2)   Repetition=  6     Points=  818
 Param file : A:hgk16         energy axis(2)     Block =    6

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1       12049.00  12150.00         6.00       1.00        17
     2       12150.00  12320.00          .35       1.00       486
     3       12320.00  12400.00         1.00       2.00        80
     4       12400.00  12600.00         2.50       3.00        80
     5       12600.00  13040.00         4.00       3.00       110
     6       13040.00  13260.00         5.00       4.00        45
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   826.150   652.975
   9.44433   9.44420      1.00    252916    592687
   9.43958   9.43960      1.00    256349    604260
   9.43483   9.43480      1.00    256429    607846
   9.43011   9.43020      1.00    255098    608018
   9.42539   9.42540      1.00    255384    612187
   9.42067   9.42070      1.00    254415    613281
   9.41594   9.41590      1.00    252342    611668
   9.41122   9.41130      1.00    253270    617345
   9.40650   9.40650      1.00    253860    622224
   9.40181   9.40180      1.00    253018    623594
   9.39711   9.39730      1.00    250266    620185
   9.39242   9.39260      1.00    248551    619295
   9.38772   9.38790      1.00    249056    623982
   9.38303   9.38320      1.00    249652    628995
   9.37836   9.37850      1.00    251977    638346
   9.37367   9.37380      1.00    258081    657629
   9.36900   9.36910      1.00    258340    661859
   9.36511   9.36520      1.00    251443    646938
   9.36483   9.36500      1.00    254593    655320
   9.36456   9.36470      1.00    254944    656436
   9.36431   9.36450      1.00    254286    654886
   9.36403   9.36430      1.00    253988    654345
   9.36375   9.36400      1.00    253940    654408
   9.36347   9.36370      1.00    253849    654363
   9.36319   9.36340      1.00    253424    653402
   9.36294   9.36320      1.00    253307    653329
   9.36267   9.36290      1.00    253168    653152
   9.36239   9.36270      1.00    252525    651656
   9.36211   9.36240      1.00    252081    650694
   9.36183   9.36220      1.00    251765    650127
   9.36158   9.36190      1.00    251716    650141
