#    Energy_c1    MgKa_sum_cps_c2    AlKa_sum_cps_c3    I0_KEITHLEY1_c4    KEITHLEY1_GAIN_c5    I1_KEITHLEY2_c6    KEITHLEY2_GAIN_c7    KEITHLEY3_c8    KEITHLEY3_GAIN_c9    KEITHLEY4_TEY_c10    KEITHLEY4_GAIN_c11    D1_MgKa_corr_c12    D1_AlKa_corr_c13    D2_MgKa_corr_c14    D2_AlKa_corr_c15    D3_MgKa_corr_c16    D3_AlKa_corr_c17    D4_MgKa_corr_c18    D4_AlKa_corr_c19    D1_MgKa_c20    D1_MgKa_dxp_c21    D1_AlKa_c22    D1_AlKa_dxp_c23    D1_ICR_c24    D1_OCR_c25    D1_TrueICR_c26    D2_MgKa_c27    D2_MgKa_dxp_c28    D2_AlKa_c29    D2_AlKa_dxp_c30    D2_ICR_c31    D2_OCR_c32    D2_TrueICR_c33    D3_MgKa_c34    D3_MgKa_dxp_c35    D3_AlKa_c36    D3_AlKa_dxp_c37    D3_ICR_c38    D3_OCR_c39    D3_TrueICR_c40    D4_MgKa_c41    D4_MgKa_dxp_c42    D4_AlKa_c43    D4_AlKa_dxp_c44    D4_ICR_c45    D4_OCR_c46    D4_TrueICR_c47    DD1_ERTM_c48    DD2_ERTM_c49    DD3_ERTM_c50    DD4_ERTM_c51    DD1_ELTM_c52    DD2_ELTM_c53    DD3_ELTM_c54    DD4_ELTM_c55
    1.479998754E+03    9.875131049E+03    1.000618945E+04    1.429252308E-01    7.000000000E+00   -8.992248417E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    2.576875558E+03    2.600237063E+03    2.592514338E+03    2.614618601E+03    2.181915667E+03    2.229778386E+03    2.523825485E+03    2.561555402E+03    2.537000000E+03    2.000000000E+00    2.560000000E+03    0.000000000E+00    2.824782734E+03    2.782089917E+03    2.825726371E+03    2.463000000E+03    1.000000000E+00    2.484000000E+03    0.000000000E+00    2.762130709E+03    2.625076442E+03    2.763032942E+03    2.097000000E+03    0.000000000E+00    2.143000000E+03    0.000000000E+00    2.395578793E+03    2.303068539E+03    2.396257407E+03    2.475000000E+03    1.000000000E+00    2.512000000E+03    0.000000000E+00    2.744215782E+03    2.692076670E+03    2.745106346E+03    9.999676800E-01    9.999708800E-01    9.999702400E-01    9.999715200E-01    9.848272000E-01    9.503376000E-01    9.613356800E-01    9.809657600E-01
    1.485001180E+03    1.011990204E+04    1.031999011E+04    1.459770352E-01    7.000000000E+00   -8.516166934E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    2.654721875E+03    2.720457845E+03    2.704528834E+03    2.722481583E+03    2.166234684E+03    2.211905180E+03    2.594416643E+03    2.665145504E+03    2.625000000E+03    0.000000000E+00    2.690000000E+03    0.000000000E+00    2.895436536E+03    2.864048574E+03    2.896427981E+03    2.561000000E+03    2.000000000E+00    2.578000000E+03    0.000000000E+00    2.851413484E+03    2.701045810E+03    2.852375002E+03    2.087000000E+03    2.000000000E+00    2.131000000E+03    0.000000000E+00    2.386647843E+03    2.300039009E+03    2.387321405E+03    2.531000000E+03    1.000000000E+00    2.600000000E+03    0.000000000E+00    2.879426748E+03    2.810047658E+03    2.880407257E+03    9.999830400E-01    9.999830400E-01    9.999830400E-01    9.999830400E-01    9.891200000E-01    9.472288000E-01    9.636816000E-01    9.758880000E-01
    1.490003256E+03    1.072963544E+04    1.094509828E+04    1.498833448E-01    7.000000000E+00   -8.357473106E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    2.765457853E+03    2.857538594E+03    2.855608734E+03    2.885365728E+03    2.371510489E+03    2.396375605E+03    2.737058360E+03    2.805818356E+03    2.733000000E+03    2.000000000E+00    2.824000000E+03    0.000000000E+00    3.052740462E+03    3.018089818E+03    3.053842591E+03    2.687000000E+03    2.000000000E+00    2.715000000E+03    0.000000000E+00    3.025628818E+03    2.848088405E+03    3.026711453E+03    2.289000000E+03    0.000000000E+00    2.313000000E+03    0.000000000E+00    2.578969322E+03    2.490075698E+03    2.579755840E+03    2.667000000E+03    2.000000000E+00    2.734000000E+03    0.000000000E+00    2.994617498E+03    2.919090609E+03    2.995678047E+03    9.999702400E-01    9.999689600E-01    9.999696000E-01    9.999689600E-01    9.885942400E-01    9.412828800E-01    9.655008000E-01    9.747424000E-01
    1.495000667E+03    1.091031686E+04    1.117387269E+04    1.535455100E-01    7.000000000E+00   -8.351369497E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    2.845309285E+03    2.929352229E+03    2.943204399E+03    2.980843958E+03    2.427907922E+03    2.485789082E+03    2.693895253E+03    2.777887425E+03    2.810000000E+03    0.000000000E+00    2.893000000E+03    0.000000000E+00    3.150942459E+03    3.113088661E+03    3.152116657E+03    2.815000000E+03    1.000000000E+00    2.851000000E+03    0.000000000E+00    3.119795668E+03    2.985085015E+03    3.120946760E+03    2.349000000E+03    0.000000000E+00    2.405000000E+03    0.000000000E+00    2.674090821E+03    2.588072052E+03    2.674936442E+03    2.630000000E+03    1.000000000E+00    2.712000000E+03    0.000000000E+00    2.975553525E+03    2.906095785E+03    2.976600611E+03    9.999715200E-01    9.999715200E-01    9.999721600E-01    9.999670400E-01    9.879283200E-01    9.567811200E-01    9.677824000E-01    9.766153600E-01
    1.500000720E+03    1.135736882E+04    1.153577221E+04    1.570245670E-01    7.000000000E+00   -8.387991150E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    2.889548143E+03    2.921867451E+03    3.028445943E+03    3.078266370E+03    2.528173289E+03    2.571076892E+03    2.911201444E+03    2.964561499E+03    2.861000000E+03    0.000000000E+00    2.893000000E+03    0.000000000E+00    3.146931398E+03    3.117072815E+03    3.148102608E+03    2.857000000E+03    3.000000000E+00    2.904000000E+03    0.000000000E+00    3.236029245E+03    3.054061570E+03    3.237267732E+03    2.416000000E+03    1.000000000E+00    2.457000000E+03    0.000000000E+00    2.778403433E+03    2.656057796E+03    2.779316331E+03    2.837000000E+03    1.000000000E+00    2.889000000E+03    0.000000000E+00    3.183985841E+03    3.104065558E+03    3.185184802E+03    9.999766400E-01    9.999798400E-01    9.999782400E-01    9.999788800E-01    9.904601600E-01    9.437392000E-01    9.559196800E-01    9.748521600E-01
    1.505003903E+03    1.155274935E+04    1.174174920E+04    1.606256962E-01    7.000000000E+00   -8.497856107E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    3.055151455E+03    3.113083469E+03    3.086101977E+03    3.137182285E+03    2.592798675E+03    2.623924709E+03    2.818697241E+03    2.867558732E+03    3.006000000E+03    1.000000000E+00    3.063000000E+03    0.000000000E+00    3.352629311E+03    3.300054913E+03    3.353958683E+03    2.900000000E+03    1.000000000E+00    2.948000000E+03    0.000000000E+00    3.288080376E+03    3.091051435E+03    3.289359038E+03    2.499000000E+03    0.000000000E+00    2.529000000E+03    0.000000000E+00    2.825299950E+03    2.724045328E+03    2.826243933E+03    2.769000000E+03    2.000000000E+00    2.817000000E+03    0.000000000E+00    3.114790576E+03    3.061050936E+03    3.115937976E+03    9.999833600E-01    9.999833600E-01    9.999833600E-01    9.999833600E-01    9.842956800E-01    9.400550400E-01    9.641433600E-01    9.827196800E-01
    1.510001055E+03    1.195345243E+04    1.216336941E+04    1.636775006E-01    7.000000000E+00   -8.650446326E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    3.041120576E+03    3.096283664E+03    3.206008509E+03    3.244391052E+03    2.720963857E+03    2.773707740E+03    2.985359488E+03    3.048986950E+03    2.977000000E+03    2.000000000E+00    3.031000000E+03    0.000000000E+00    3.344216388E+03    3.275055545E+03    3.345539096E+03    3.007000000E+03    2.000000000E+00    3.043000000E+03    0.000000000E+00    3.408275341E+03    3.198054239E+03    3.409649222E+03    2.631000000E+03    0.000000000E+00    2.682000000E+03    0.000000000E+00    2.981563565E+03    2.884048913E+03    2.982614886E+03    2.909000000E+03    0.000000000E+00    2.971000000E+03    0.000000000E+00    3.255036245E+03    3.173053815E+03    3.256289328E+03    9.999830400E-01    9.999830400E-01    9.999830400E-01    9.999830400E-01    9.792934400E-01    9.382745600E-01    9.672566400E-01    9.747721600E-01
    1.511999778E+03    1.217294259E+04    1.243875891E+04    1.657222095E-01    7.000000000E+00   -8.626031891E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    3.189572702E+03    3.273415222E+03    3.247432454E+03    3.314135336E+03    2.722428788E+03    2.767534731E+03    3.013508649E+03    3.083673619E+03    6.277000000E+03    3.000000000E+00    6.442000000E+03    0.000000000E+00    3.527536129E+03    3.472561117E+03    3.529007873E+03    6.183000000E+03    0.000000000E+00    6.310000000E+03    0.000000000E+00    3.466078551E+03    3.301059155E+03    3.467499444E+03    5.251000000E+03    2.000000000E+00    5.338000000E+03    0.000000000E+00    2.979053415E+03    2.874050583E+03    2.980102966E+03    5.884000000E+03    2.000000000E+00    6.021000000E+03    0.000000000E+00    3.305679966E+03    3.228556306E+03    3.306972357E+03    1.999964800E+00    1.999964160E+00    1.999964800E+00    1.999965120E+00    1.968778240E+00    1.904706880E+00    1.929458240E+00    1.953276480E+00
    1.514002101E+03    1.213208490E+04    1.242215123E+04    1.669734493E-01    7.000000000E+00   -8.610772869E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    3.170597521E+03    3.264909234E+03    3.323121072E+03    3.384217622E+03    2.675315214E+03    2.742573187E+03    2.963051094E+03    3.030451187E+03    6.253000000E+03    0.000000000E+00    6.439000000E+03    0.000000000E+00    3.479481572E+03    3.432599957E+03    3.480913479E+03    6.255000000E+03    3.000000000E+00    6.370000000E+03    0.000000000E+00    3.542646819E+03    3.335599801E+03    3.544131202E+03    5.171000000E+03    2.000000000E+00    5.301000000E+03    0.000000000E+00    2.949526690E+03    2.851581669E+03    2.950555534E+03    5.803000000E+03    3.000000000E+00    5.935000000E+03    0.000000000E+00    3.264580464E+03    3.198095175E+03    3.265840909E+03    1.999941760E+00    1.999940160E+00    1.999942720E+00    1.999940480E+00    1.972980160E+00    1.883024640E+00    1.933476160E+00    1.959156800E+00
    1.516000523E+03    1.253154272E+04    1.272430400E+04    1.682552071E-01    7.000000000E+00   -8.653498131E-02    7.000000000E+00   -8.224612802E-02    3.000000000E+00   -7.766842145E-02    7.000000000E+00    3.285235344E+03    3.326865586E+03    3.373068104E+03    3.412920043E+03    2.748364444E+03    2.797238121E+03    3.124874828E+03    3.187280251E+03    6.471000000E+03    1.000000000E+00    6.553000000E+03    0.000000000E+00    3.577671580E+03    3.525058657E+03    3.579185469E+03    6.348000000E+03    1.000000000E+00    6.423000000E+03    0.000000000E+00    3.587808809E+03    3.377556203E+03    3.589331292E+03    5.286000000E+03    3.000000000E+00    5.380000000E+03    0.000000000E+00    3.004143906E+03    2.890048090E+03    3.005211216E+03    6.109000000E+03    2.000000000E+00    6.231000000E+03    0.000000000E+00    3.407906287E+03    3.332555454E+03    3.409279871E+03    1.999966720E+00    1.999966720E+00    1.999966720E+00    1.999966720E+00    1.970506880E+00    1.882707840E+00    1.923993920E+00    1.955720000E+00
