# data  : cu 10k, e0=8980, with standard                                  
# chi: skey ASCII of cu_010k.dat  using skey ASCII of chi.dat
# e0 =  8982.61; pre-edge range =[   -50.0  -200.0]; edge step = 2.257 
# k range=[   .05 24.95]; k weight=  1.00; sills: dk1, dk2=[   .00   .00]     
# bkg r =[   .00   .98]; 1st shell r =[   .98  3.93];  15 knots in spline     
# Cu foil, 10K, foil rolled and annealled by matt                             
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F          
# E0= 8980.0 NREG= 3 NPTS= 611 NSCLRS= 3 EF=     .0                          
# SRB=   -193.7    -43.5     30.0   2381.3                                    
# DEL=           10.020     .483     .050K                                    
# SEC=             1.000    1.000    1.000                                     
# DETECTORSI0      I       If                                                  
# GAINS           8       7      10                                            
# OFFSETS     51284   50016   48319                                            
#---------------------------------------------------------------------
#     k              chi(k)   
   .5000000E-01   -.1383775E+00
   .1000000E+00   -.1397935E+00
   .1500000E+00   -.1412636E+00
   .2000000E+00   -.1427878E+00
   .2500000E+00   -.1443661E+00
   .3000000E+00   -.1457561E+00
   .3500000E+00   -.1469721E+00
   .4000000E+00   -.1487659E+00
   .4500000E+00   -.1511373E+00
   .5000000E+00   -.1540712E+00
   .5500000E+00   -.1576023E+00
   .6000000E+00   -.1621443E+00
   .6500000E+00   -.1669036E+00
   .7000000E+00   -.1723104E+00
   .7500000E+00   -.1756163E+00
   .8000000E+00   -.1719365E+00
   .8500000E+00   -.1712734E+00
   .9000000E+00   -.1738329E+00
   .9500000E+00   -.1679564E+00
   .1000000E+01   -.1598812E+00
   .1050000E+01   -.1456769E+00
   .1100000E+01   -.1196842E+00
   .1150000E+01   -.1022159E+00
   .1200000E+01   -.7008255E-01
   .1250000E+01   -.3362218E-01
   .1300000E+01   -.6600451E-02
   .1350000E+01    .1926758E-01
   .1400000E+01    .5699854E-01
   .1450000E+01    .9637135E-01
   .1500000E+01    .1159362E+00
   .1550000E+01    .1290990E+00
   .1600000E+01    .1215430E+00
   .1650000E+01    .1056554E+00
   .1700000E+01    .7974499E-01
   .1750000E+01    .5288013E-01
   .1800000E+01    .2516026E-01
   .1850000E+01    .3285889E-02
   .1900000E+01   -.8817454E-02
   .1950000E+01   -.1296393E-01
   .2000000E+01   -.3470576E-02
   .2050000E+01    .2730633E-01
   .2100000E+01    .5706001E-01
   .2150000E+01    .9151719E-01
   .2200000E+01    .1174979E+00
   .2250000E+01    .1158764E+00
   .2300000E+01    .8783582E-01
   .2350000E+01    .5923801E-01
   .2400000E+01    .2562321E-01
   .2450000E+01   -.1052973E-02
   .2500000E+01   -.2527875E-01
   .2550000E+01   -.4727164E-01
   .2600000E+01   -.6757082E-01
   .2650000E+01   -.8069972E-01
   .2700000E+01   -.8191480E-01
   .2750000E+01   -.7843926E-01
   .2800000E+01   -.7160391E-01
   .2850000E+01   -.6250659E-01
   .2900000E+01   -.4805966E-01
   .2950000E+01   -.2685392E-01
   .3000000E+01   -.7752429E-02
   .3050000E+01    .9680118E-02
   .3100000E+01    .3345646E-01
   .3150000E+01    .5682700E-01
   .3200000E+01    .7538930E-01
   .3250000E+01    .8970851E-01
   .3300000E+01    .9150992E-01
   .3350000E+01    .7859694E-01
   .3400000E+01    .5326243E-01
   .3450000E+01    .2725139E-01
   .3500000E+01   -.3477860E-02
   .3550000E+01   -.2765691E-01
   .3600000E+01   -.4432994E-01
   .3650000E+01   -.5623438E-01
   .3700000E+01   -.6056888E-01
   .3750000E+01   -.5814307E-01
   .3800000E+01   -.4907626E-01
   .3850000E+01   -.3856254E-01
   .3900000E+01   -.3328344E-01
   .3950000E+01   -.3554817E-01
   .4000000E+01   -.4071434E-01
   .4050000E+01   -.4080682E-01
   .4100000E+01   -.3181461E-01
   .4150000E+01   -.1856331E-01
   .4200000E+01   -.1130703E-01
   .4250000E+01   -.1176931E-01
   .4300000E+01   -.1274962E-01
   .4350000E+01   -.7110970E-02
   .4400000E+01    .5224810E-02
   .4450000E+01    .1905018E-01
   .4500000E+01    .2932245E-01
   .4550000E+01    .3724153E-01
   .4600000E+01    .4588462E-01
   .4650000E+01    .5829988E-01
   .4700000E+01    .7400507E-01
   .4750000E+01    .8933779E-01
   .4800000E+01    .9806488E-01
   .4850000E+01    .9565875E-01
   .4900000E+01    .8144622E-01
   .4950000E+01    .5581723E-01
   .5000000E+01    .2703659E-01
   .5050000E+01    .4069182E-02
   .5100000E+01   -.1497740E-01
   .5150000E+01   -.2991942E-01
   .5200000E+01   -.3594276E-01
   .5250000E+01   -.3805383E-01
   .5300000E+01   -.5048186E-01
   .5350000E+01   -.7333476E-01
   .5400000E+01   -.9380445E-01
   .5450000E+01   -.1068175E+00
   .5500000E+01   -.1074960E+00
   .5550000E+01   -.9653199E-01
   .5600000E+01   -.7903270E-01
   .5650000E+01   -.5710168E-01
   .5700000E+01   -.3287863E-01
   .5750000E+01   -.1030234E-01
   .5800000E+01    .4130356E-02
   .5850000E+01    .7389313E-02
   .5900000E+01    .1116835E-02
   .5950000E+01   -.6675890E-02
   .6000000E+01   -.7719924E-02
   .6050000E+01    .1125391E-01
   .6100000E+01    .5561288E-01
   .6150000E+01    .1117689E+00
   .6200000E+01    .1407647E+00
   .6250000E+01    .1433899E+00
   .6300000E+01    .1318386E+00
   .6350000E+01    .1202316E+00
   .6400000E+01    .1071632E+00
   .6450000E+01    .8204786E-01
   .6500000E+01    .4754184E-01
   .6550000E+01    .4471960E-02
   .6600000E+01   -.4133052E-01
   .6650000E+01   -.8782563E-01
   .6700000E+01   -.1279483E+00
   .6750000E+01   -.1537933E+00
   .6800000E+01   -.1581026E+00
   .6850000E+01   -.1380537E+00
   .6900000E+01   -.1002375E+00
   .6950000E+01   -.5495242E-01
   .7000000E+01   -.9061703E-02
   .7050000E+01    .2285072E-01
   .7100000E+01    .4218880E-01
   .7150000E+01    .4334857E-01
   .7200000E+01    .2883500E-01
   .7250000E+01    .1382003E-01
   .7300000E+01    .6197813E-02
   .7350000E+01    .4641260E-02
   .7400000E+01   -.4739281E-02
   .7450000E+01   -.2161755E-01
   .7500000E+01   -.2770921E-01
   .7550000E+01   -.1063968E-01
   .7600000E+01    .3066137E-01
   .7650000E+01    .7753827E-01
   .7700000E+01    .9885249E-01
   .7750000E+01    .1045755E+00
   .7800000E+01    .1015250E+00
   .7850000E+01    .8789700E-01
   .7900000E+01    .5899274E-01
   .7950000E+01    .2001424E-01
   .8000000E+01   -.1829298E-01
   .8050000E+01   -.4883868E-01
   .8100000E+01   -.6769711E-01
   .8150001E+01   -.7697316E-01
   .8200000E+01   -.7581326E-01
   .8250000E+01   -.6187385E-01
   .8300000E+01   -.4823180E-01
   .8350000E+01   -.4510459E-01
   .8400001E+01   -.4178999E-01
   .8450000E+01   -.3653512E-01
   .8500000E+01   -.3349934E-01
   .8550000E+01   -.2691919E-01
   .8600000E+01   -.1230509E-01
   .8650001E+01    .3199878E-02
   .8700000E+01    .1517456E-01
   .8750000E+01    .2281413E-01
   .8800000E+01    .2616361E-01
   .8850000E+01    .2694207E-01
   .8900001E+01    .3159564E-01
   .8950000E+01    .3926054E-01
   .9000000E+01    .4945212E-01
   .9050000E+01    .6096633E-01
   .9100000E+01    .5895486E-01
   .9150001E+01    .4265191E-01
   .9200000E+01    .2448285E-01
   .9250000E+01    .5272062E-02
   .9300000E+01   -.1412144E-01
   .9350000E+01   -.2536685E-01
   .9400001E+01   -.2461558E-01
   .9450000E+01   -.1545309E-01
   .9500000E+01   -.4596920E-02
   .9550000E+01   -.3555518E-02
   .9600000E+01   -.1529525E-01
   .9650001E+01   -.3605214E-01
   .9700000E+01   -.5071926E-01
   .9750000E+01   -.4447481E-01
   .9800000E+01   -.3020107E-01
   .9850000E+01   -.2510318E-01
   .9900001E+01   -.1995962E-01
   .9950000E+01   -.1080466E-01
   .1000000E+02   -.4239851E-02
   .1005000E+02    .1141393E-02
   .1010000E+02    .6939800E-02
   .1015000E+02    .1258833E-01
   .1020000E+02    .1799675E-01
   .1025000E+02    .2272578E-01
   .1030000E+02    .2622529E-01
   .1035000E+02    .2911744E-01
   .1040000E+02    .3186119E-01
   .1045000E+02    .3335929E-01
   .1050000E+02    .3088639E-01
   .1055000E+02    .2137249E-01
   .1060000E+02    .5780198E-02
   .1065000E+02   -.9871298E-02
   .1070000E+02   -.1759854E-01
   .1075000E+02   -.1791152E-01
   .1080000E+02   -.1334602E-01
   .1085000E+02   -.5141375E-02
   .1090000E+02    .2438772E-02
   .1095000E+02    .5405624E-02
   .1100000E+02    .3623366E-02
   .1105000E+02   -.4781050E-02
   .1110000E+02   -.1684579E-01
   .1115000E+02   -.2189944E-01
   .1120000E+02   -.1739508E-01
   .1125000E+02   -.1392352E-01
   .1130000E+02   -.1640823E-01
   .1135000E+02   -.1879141E-01
   .1140000E+02   -.1845424E-01
   .1145000E+02   -.1464169E-01
   .1150000E+02   -.7167181E-02
   .1155000E+02    .8374886E-03
   .1160000E+02    .9092168E-02
   .1165000E+02    .1916609E-01
   .1170000E+02    .2955117E-01
   .1175000E+02    .3668137E-01
   .1180000E+02    .3855209E-01
   .1185000E+02    .3383944E-01
   .1190000E+02    .1998389E-01
   .1195000E+02    .1079370E-02
   .1200000E+02   -.1089990E-01
   .1205000E+02   -.1398441E-01
   .1210000E+02   -.1322524E-01
   .1215000E+02   -.1214751E-01
   .1220000E+02   -.1040349E-01
   .1225000E+02   -.6922965E-02
   .1230000E+02   -.3404568E-02
   .1235000E+02   -.2934128E-02
   .1240000E+02   -.3640831E-02
   .1245000E+02   -.3145441E-02
   .1250000E+02   -.3206647E-02
   .1255000E+02   -.7447613E-02
   .1260000E+02   -.1134231E-01
   .1265000E+02   -.1107642E-01
   .1270000E+02   -.9803710E-02
   .1275000E+02   -.6961429E-02
   .1280000E+02   -.2713460E-02
   .1285000E+02   -.6387520E-04
   .1290000E+02    .1325977E-02
   .1295000E+02    .4236208E-02
   .1300000E+02    .9579600E-02
   .1305000E+02    .1310609E-01
   .1310000E+02    .1277692E-01
   .1315000E+02    .1074851E-01
   .1320000E+02    .8388806E-02
   .1325000E+02    .7112519E-02
   .1330000E+02    .6116085E-02
   .1335000E+02    .2754508E-02
   .1340000E+02   -.1088225E-02
   .1345000E+02   -.2912092E-02
   .1350000E+02   -.3267730E-02
   .1355000E+02   -.1799537E-02
   .1360000E+02   -.6646911E-03
   .1365000E+02   -.3064115E-02
   .1370000E+02   -.4964115E-02
   .1375000E+02   -.3907573E-02
   .1380000E+02   -.2793531E-02
   .1385000E+02   -.3795170E-02
   .1390000E+02   -.5376802E-02
   .1395000E+02   -.5748203E-02
   .1400000E+02   -.6996689E-02
   .1405000E+02   -.7438836E-02
   .1410000E+02   -.5411535E-02
   .1415000E+02   -.2814638E-02
   .1420000E+02    .1289910E-02
   .1425000E+02    .4994885E-02
   .1430000E+02    .6502362E-02
   .1435000E+02    .7493513E-02
   .1440000E+02    .7172414E-02
   .1445000E+02    .4167058E-02
   .1450000E+02    .6161030E-03
   .1455000E+02   -.1465617E-03
   .1460000E+02    .1671161E-02
   .1465000E+02    .3740163E-02
   .1470000E+02    .5443047E-02
   .1475000E+02    .6112755E-02
   .1480000E+02    .4231495E-02
   .1485000E+02    .1132610E-02
   .1490000E+02   -.1562585E-02
   .1495000E+02   -.3495782E-02
   .1500000E+02   -.3894387E-02
   .1505000E+02   -.3478475E-02
   .1510000E+02   -.3802038E-02
   .1515000E+02   -.4182963E-02
   .1520000E+02   -.4264023E-02
   .1525000E+02   -.4420609E-02
   .1530000E+02   -.3709512E-02
   .1535000E+02   -.2892099E-02
   .1540000E+02   -.2607779E-02
   .1545000E+02   -.1226694E-02
   .1550000E+02    .1187210E-02
   .1555000E+02    .2964404E-02
   .1560000E+02    .3718787E-02
   .1565000E+02    .3957632E-02
   .1570000E+02    .3572906E-02
   .1575000E+02    .3006680E-02
   .1580000E+02    .2898344E-02
   .1585000E+02    .2632919E-02
   .1590000E+02    .1338363E-02
   .1595000E+02   -.8838865E-05
   .1600000E+02   -.7048441E-03
   .1605000E+02   -.5950550E-03
   .1610000E+02    .2952091E-03
   .1615000E+02    .1447100E-02
   .1620000E+02    .1331617E-02
   .1625000E+02    .5594995E-04
   .1630000E+02    .1539965E-03
   .1635000E+02    .5237503E-03
   .1640000E+02   -.2922913E-03
   .1645000E+02   -.1432297E-02
   .1650000E+02   -.2207463E-02
   .1655000E+02   -.2338608E-02
   .1660000E+02   -.2344238E-02
   .1665000E+02   -.2868204E-02
   .1670000E+02   -.3199073E-02
   .1675000E+02   -.2926630E-02
   .1680000E+02   -.1694982E-02
   .1685000E+02    .6925621E-03
   .1690000E+02    .2278120E-02
   .1695000E+02    .2472361E-02
   .1700000E+02    .2082027E-02
   .1705000E+02    .1767340E-02
   .1710000E+02    .1883873E-02
   .1715000E+02    .1758252E-02
   .1720000E+02    .1152225E-02
   .1725000E+02    .5461649E-03
   .1730000E+02   -.1253548E-04
   .1735000E+02   -.3998847E-03
   .1740000E+02   -.2686325E-03
   .1745000E+02   -.3431145E-03
   .1750000E+02   -.5712318E-03
   .1755000E+02   -.1188866E-04
   .1760000E+02    .6673606E-03
   .1765000E+02    .3473506E-03
   .1770000E+02   -.3636831E-03
   .1775000E+02   -.1136277E-02
   .1780000E+02   -.1667605E-02
   .1785000E+02   -.1889189E-02
   .1790000E+02   -.2026411E-02
   .1795000E+02   -.1935960E-02
   .1800000E+02   -.1459351E-02
   .1805000E+02   -.6098950E-03
   .1810000E+02    .2914357E-03
   .1815000E+02    .8377644E-03
   .1820000E+02    .7482349E-03
   .1825000E+02    .2076312E-03
   .1830000E+02    .2432496E-03
   .1835000E+02    .6083235E-03
   .1840000E+02    .6195470E-03
   .1845000E+02    .8594782E-03
   .1850000E+02    .1071561E-02
   .1855000E+02    .8907567E-03
   .1860000E+02    .9448596E-03
   .1865000E+02    .1145191E-02
   .1870000E+02    .1010684E-02
   .1875000E+02    .6404615E-03
   .1880000E+02    .9728261E-04
   .1885000E+02   -.3771309E-03
   .1890000E+02   -.6432247E-03
   .1895000E+02   -.6517807E-03
   .1900000E+02   -.3716348E-03
   .1905000E+02   -.1238457E-03
