# data from ifeffit
#------------------------
#   energy    mu
  6911.7671       0.20105273
  6916.8730       0.20093423
  6921.7030       0.20068566
  6926.8344       0.20066180
  6931.7399       0.20110031
  6936.9887       0.20005519
  6941.7869       0.20021886
  6946.8779       0.20002198
  6951.9154       0.20003297
  6956.9401       0.19987870
  6961.9621       0.19996484
  6966.8684       0.19971409
  6971.9156       0.19973320
  6976.8572       0.19956038
  6981.9918       0.19967279
  6986.8759       0.19963277
  6991.9328       0.19965471
  6996.9144       0.19962171
  7001.8515       0.19952688
  7006.9934       0.19949055
  7011.8412       0.19957125
  7016.9463       0.19948974
  7021.8712       0.19952391
  7026.8765       0.19968316
  7031.9730       0.19969888
  7036.8361       0.19975268
  7041.8952       0.19996125
  7046.8567       0.19998727
  7051.8254       0.20015215
  7056.8965       0.20024024
  7061.8378       0.20060012
  7066.7546       0.20088041
  7071.8057       0.20123156
  7076.7476       0.20170352
  7081.6860       0.20228257
  7086.7913       0.20325754
  7091.5312       0.20430505
  7096.5552       0.20623731
  7101.5653       0.20730713
  7101.9395       0.20587220
  7102.2817       0.20581528
  7102.6987       0.20727328
  7103.1906       0.20969106
  7103.6399       0.21078675
  7104.0036       0.21130477
  7104.2818       0.21169618
  7104.6241       0.21212579
  7105.0950       0.21302574
  7105.5231       0.21345358
  7105.8763       0.21407545
  7106.2402       0.21484232
  7106.5721       0.21527328
  7107.0646       0.21640399
  7107.5251       0.21743081
  7107.9427       0.21843324
  7108.3176       0.21951840
  7108.5961       0.22056844
  7108.9711       0.22243205
  7109.5068       0.22539130
  7109.9354       0.22945766
  7110.2784       0.23461983
  7110.6214       0.24138255
  7111.0073       0.25055610
  7111.4683       0.25989598
  7111.9186       0.26605009
  7112.3583       0.27119086
  7112.6693       0.27547045
  7112.9374       0.28006959
  7113.3772       0.28510387
  7113.8278       0.28848818
  7114.2462       0.29337646
  7114.5789       0.30061532
  7114.9008       0.30887672
  7115.3194       0.32299499
  7115.8132       0.34398820
  7116.2426       0.36528700
  7116.6721       0.39056890
  7116.9728       0.41528308
  7117.2627       0.44887060
  7117.7783       0.50197771
  7118.2402       0.55256848
  7118.6270       0.60329999
  7118.9708       0.64750745
  7119.2931       0.68604307
  7119.7660       0.74134656
  7120.2067       0.78655914
  7120.6367       0.82740247
  7121.0344       0.86482729
  7121.3247       0.89836328
  7121.6473       0.94742180
  7122.0990        1.0112751
  7122.5507        1.0770100
  7122.9272        1.1426746
  7123.2500        1.1972920
  7123.5943        1.2540561
  7124.0785        1.3142007
  7124.5412        1.3568536
  7124.9718        1.3878372
  7125.3377        1.4122698
  7125.6392        1.4356229
  7125.9945        1.4701031
  7126.5329        1.5157838
  7126.9744        1.5587656
  7127.3191        1.5954124
  7127.6315        1.6221833
  7127.9977        1.6434711
  7128.5149        1.6467948
  7128.9244        1.6297138
  7129.3555        1.5986081
  7129.7111        1.5635844
  7129.9806        1.5260130
  7130.3903        1.4663904
  7130.8539        1.4155933
  7131.2852        1.3710910
  7131.6087        1.3352483
  7131.9323        1.3070806
  7132.3314        1.2781630
  7132.8384        1.2506002
  7133.2484        1.2326226
  7133.6585        1.2188593
  7134.0146        1.2076233
  7134.3060        1.1971208
  7134.7701        1.1816901
  7135.2559        1.1688954
  7135.6770        1.1578881
  7135.9902        1.1490133
  7136.3141        1.1416674
  7136.7570        1.1338182
  7137.2322        1.1280136
  7137.6428        1.1253402
  7138.0533        1.1246907
  7138.3667        1.1254527
  7138.6801        1.1284914
  7139.1016        1.1354333
  7139.5880        1.1445169
  7139.9664        1.1537740
  7140.3015        1.1636148
  7140.6043        1.1734358
  7141.1017        1.1870325
  7141.5451        1.1964569
  7141.9670        1.2031268
  7142.3456        1.2063108
  7142.6810        1.2073192
  7143.0165        1.2060268
  7143.5034        1.2002983
  7143.9688        1.1928477
  7144.3693        1.1841708
  7144.6616        1.1764553
  7145.0081        1.1667976
  7145.5061        1.1540508
  7145.9285        1.1428534
  7146.1342        1.1379105
  7147.1308        1.1151560
  7148.3769        1.0921819
  7149.4825        1.0774997
  7150.7729        1.0667879
  7151.9661        1.0599160
  7153.2031        1.0550948
  7154.5382        1.0531031
  7155.7110        1.0545876
  7157.0580        1.0605290
  7158.3621        1.0696586
  7159.6775        1.0791477
  7161.1349        1.0905144
  7162.3752        1.1011269
  7163.8554        1.1182542
  7165.2383        1.1456042
  7166.5673        1.1774189
  7168.1256        1.2102026
  7169.6520        1.2374149
  7171.0481        1.2566245
  7172.5757        1.2685158
  7174.1587        1.2737914
  7175.6768        1.2719633
  7177.2065        1.2622370
  7178.9337        1.2438014
  7180.5524        1.2241285
  7182.1171        1.2063190
  7183.6825        1.1905812
  7185.4567        1.1770523
  7187.2319        1.1635071
  7188.9312        1.1509206
  7190.5875        1.1400504
  7192.3105        1.1306420
  7194.1551        1.1249592
  7196.0336        1.1244503
  7197.8472        1.1286704
  7199.5848        1.1351793
  7201.3452        1.1420283
  7203.3158        1.1475376
  7205.3535        1.1491045
  7207.2492        1.1481845
  7209.1459        1.1473960
  7211.1209        1.1484130
  7213.0750        1.1516237
  7215.0412        1.1574227
  7217.0748        1.1649695
  7219.0322        1.1723090
  7221.2010        1.1767912
  7223.3269        1.1754998
  7225.4540        1.1693109
  7227.5271        1.1601553
  7229.6901        1.1489063
  7231.9100        1.1369214
  7234.0757        1.1261887
  7236.2428        1.1194347
  7238.4892        1.1187461
  7240.7815        1.1270186
  7243.0196        1.1358109
  7245.2257        1.1476859
  7247.5225        1.1566971
  7249.8877        1.1614837
  7252.2322        1.1617825
  7254.4441        1.1602245
  7256.8923        1.1584726
  7259.2080        1.1584522
  7261.6595        1.1602915
  7263.9447        1.1630095
  7266.3884        1.1653814
  7268.9011        1.1670243
  7271.3707        1.1672612
  7273.9207        1.1652312
  7276.5063        1.1611032
  7279.0825        1.1549889
  7281.4918        1.1474068
  7284.1280        1.1382481
  7286.6761        1.1287284
  7289.1808        1.1199998
  7291.9020        1.1119748
  7294.6478        1.1076227
  7297.3619        1.1064365
  7299.8969        1.1076803
  7302.5698        1.1117922
  7305.3240        1.1169948
  7308.1031        1.1223424
  7310.9298        1.1275966
  7313.6451        1.1313828
  7316.3398        1.1338510
  7319.1731        1.1351967
  7322.1113        1.1357282
  7325.0177        1.1354802
  7327.7096        1.1345633
  7330.5978        1.1329577
  7333.6712        1.1306739
  7336.4156        1.1280926
  7339.2995        1.1251378
  7342.4034        1.1216310
  7345.3151        1.1184589
  7348.2866        1.1157014
  7351.3295        1.1135516
  7354.3750        1.1122799
  7357.4117        1.1112789
  7360.4970        1.1099549
  7363.5965        1.1082848
  7366.7103        1.1065905
  7369.8730        1.1050542
  7372.9923        1.1038941
  7376.1260        1.1037266
  7379.4708        1.1034998
  7382.5638        1.1038086
  7385.6710        1.1041777
  7389.1177        1.1054427
  7392.2540        1.1060478
  7395.5907        1.1063290
  7398.9190        1.1061506
  7402.0639        1.1052753
  7405.5498        1.1034708
  7408.7473        1.1013500
  7412.2865        1.0984498
  7415.6187        1.0956240
  7419.0125        1.0924804
  7422.4095        1.0901845
  7425.9271        1.0885622
  7429.3308        1.0873201
  7432.8317        1.0869089
  7436.3831        1.0892698
  7439.7731        1.0858872
  7443.4493        1.0851757
  7446.9286        1.0850773
  7450.5530        1.0850080
  7454.1930        1.0852291
  7457.6709        1.0854738
  7461.4010        1.0858105
  7464.9808        1.0859710
  7468.7422        1.0857288
  7472.3293        1.0852515
  7476.0152        1.0843477
  7479.6095        1.0833926
  7483.6128        1.0819211
  7487.2267        1.0798279
  7491.0472        1.0777493
  7494.8121        1.0756146
  7498.5090        1.0738319
  7502.5692        1.0724523
  7506.2501        1.0713690
  7510.1629        1.0707486
  7514.0679        1.0701698
  7517.8207        1.0695045
  7521.9388        1.0688928
  7525.8082        1.0681551
  7529.6456        1.0674052
  7533.6442        1.0667360
  7537.6835        1.0660256
  7541.5698        1.0655814
  7545.7513        1.0649455
  7549.7434        1.0632811
  7553.5818        1.0643603
  7557.8501        1.0638850
  7561.9286        1.0634816
  7565.8652        1.0632514
  7570.2090        1.0625290
  7574.3257        1.0616331
  7578.4593        1.0606486
  7582.4629        1.0596683
  7586.9000        1.0586138
  7591.0724        1.0575782
  7595.2004        1.0567395
  7599.5177        1.0560112
  7603.8154        1.0550150
  7608.1551        1.0541376
  7612.2900        1.0534310
  7616.5903        1.0525950
  7621.0319        1.0519337
  7625.4540        1.0513372
  7629.7573        1.0506867
  7634.1030        1.0500643
  7638.5657        1.0497161
  7643.1085        1.0487566
  7647.6819        1.0487129
  7652.1861        1.0482050
  7656.7082        1.0476939
  7661.1733        1.0473153
  7665.9195        1.0466969
  7670.5338        1.0458721
  7675.2543        1.0452331
  7679.8676        1.0445714
  7684.6000        1.0439397
  7689.2502        1.0432146
  7693.9694        1.0425052
  7698.8083        1.0419298
  7703.6156        1.0412728
  7708.4798        1.0405267
  7713.2742        1.0399148
  7718.1637        1.0394132
  7722.9579        1.0388920
  7727.8347        1.0382813
  7732.5775        1.0377291
  7737.5818        1.0372365
  7742.5161        1.0367813
  7747.5722        1.0364608
  7752.5197        1.0361761
  7757.5764        1.0356573
  7762.5372        1.0351502
  7767.6332        1.0346103
  7772.6331        1.0340843
  7777.7041        1.0334931
  7782.7174        1.0330128
  7787.8021        1.0324806
  7792.8288        1.0319734
  7797.9272        1.0315046
  7803.0195        1.0310900
  7808.1707        1.0305836
  7813.3029        1.0301276
  7818.4682        1.0294901
  7823.6536        1.0291154
  7828.8461        1.0287597
  7834.0982        1.0282901
  7839.3445        1.0278761
  7844.6637        1.0275924
  7849.9510        1.0270989
  7855.2851        1.0267126
  7860.6927        1.0263791
  7866.0156        1.0260742
  7871.4385        1.0258436
  7876.7896        1.0254286
  7882.2412        1.0249311
  7887.5942        1.0247254
  7893.1012        1.0244261
  7898.4962        1.0240414
  7904.0189        1.0236275
  7909.3892        1.0234447
  7914.9679        1.0231505
  7920.3670        1.0229730
  7925.9482        1.0226787
  7931.3762        1.0222736
  7936.9870        1.0221638
  7942.4576        1.0219140
  7948.1656        1.0217406
  7953.7469        1.0220008
  7959.5394        1.0212788
  7965.1778        1.0211173
  7970.9875        1.0209283
  7976.6155        1.0205115
  7982.4016        1.0206188
  7988.0872        1.0203596
  7993.8222        1.0202185
  7999.4836        1.0200591
  8005.2492        1.0198505
  8011.1743        1.0197001
  8017.0398        1.0196269
  8023.0106        1.0193813
  8028.7975        1.0191069
  8034.6758        1.0189234
  8040.4110        1.0188253
  8046.4039        1.0187249
  8052.3644        1.0185582
  8058.3757        1.0184258
  8064.2849        1.0182959
  8070.2031        1.0183006
  8076.0885        1.0180880
  8082.0665        1.0180761
  8084.0938        1.0181604
