#  tricabonyl cyclopentadienyl manganese
#  COMPOUND ON TAPE, IN TRANSMISSION, STP
#  BNL NSLS X19A EX
#  SCAN FILE : MN03       SCAN PARAMETERS FOR MN08   .002
#  CRYSTAL SET 311 EDGE IS   6.540 KeV
#  REPEAT 10 TIMES THE 4 REGION SCAN WITH REST TIME:   0.500
#  SCAN START FROM   6.340 KeV, STOP AT(KeV OR -1/A): 6.520  6.570  6.900  7.200
#  STEP SIZE FOR EACH REGION(eV OR 1/A):  10.00   0.70   1.50   3.00
#  COLLECTING TIME FOR EACH REGION(SEC):   2.0    2.0    2.0    2.0
#  SCAN STARTED: 05:04:43  5-NOV-95 SCAN FINISHED: 05:27:40
#  # OF DATA POINTS COLLECTED : 409
#--------------
#  E        xmu(trans)
 6339.98   -0.952437
 6349.97   -0.972245
 6359.99   -0.993455
 6369.99   -1.014460
 6379.98   -1.035348
 6389.96   -1.056139
 6399.96   -1.076272
 6409.99   -1.096296
 6419.96   -1.116590
 6429.96   -1.136826
 6439.98   -1.157405
 6449.99   -1.177970
 6459.98   -1.198560
 6470.00   -1.218786
 6480.00   -1.238326
 6489.98   -1.258028
 6499.98   -1.277600
 6509.97   -1.296806
 6519.98   -1.315043
 6520.68   -1.316345
 6521.38   -1.317376
 6522.08   -1.318576
 6522.78   -1.319522
 6523.48   -1.320481
 6524.18   -1.321563
 6524.88   -1.322413
 6525.57   -1.323126
 6526.27   -1.323119
 6526.97   -1.322061
 6527.67   -1.318155
 6528.37   -1.301967
 6529.07   -1.281465
 6529.77   -1.298474
 6530.47   -1.298681
 6531.17   -1.295586
 6531.87   -1.298848
 6532.57   -1.299658
 6533.27   -1.293033
 6533.97   -1.283641
 6534.67   -1.277550
 6535.38   -1.274994
 6536.08   -1.270194
 6536.78   -1.263797
 6537.48   -1.253582
 6538.18   -1.240367
 6538.88   -1.219697
 6539.58   -1.190176
 6540.28   -1.157176
 6540.99   -1.124593
 6541.69   -1.089531
 6542.39   -1.051265
 6543.09   -1.018296
 6543.79   -0.996857
 6544.50   -0.989168
 6545.20   -0.994169
 6545.86   -1.006115
 6546.56   -1.024475
 6547.27   -1.048554
 6547.97   -1.070311
 6548.67   -1.091341
 6549.37   -1.107751
 6550.08   -1.118538
 6550.78   -1.125535
 6551.48   -1.128667
 6552.19   -1.129387
 6552.89   -1.127637
 6553.60   -1.124132
 6554.30   -1.119375
 6554.96   -1.114364
 6555.67   -1.108586
 6556.37   -1.102561
 6557.08   -1.097557
 6557.78   -1.092891
 6558.48   -1.089578
 6559.19   -1.087475
 6559.89   -1.086777
 6560.60   -1.086461
 6561.26   -1.087382
 6561.97   -1.088547
 6562.67   -1.089810
 6563.38   -1.091618
 6564.08   -1.092974
 6564.79   -1.094483
 6565.49   -1.095731
 6566.16   -1.096958
 6566.86   -1.098106
 6567.57   -1.099356
 6568.28   -1.100724
 6568.98   -1.101769
 6569.69   -1.102562
 6571.48   -1.106658
 6572.97   -1.110343
 6574.47   -1.114785
 6575.97   -1.120174
 6577.47   -1.126328
 6578.97   -1.133983
 6580.47   -1.142095
 6581.96   -1.151545
 6583.47   -1.160653
 6584.97   -1.167839
 6586.47   -1.173626
 6587.97   -1.177693
 6589.47   -1.180558
 6590.97   -1.182461
 6592.48   -1.184314
 6593.98   -1.185938
 6595.49   -1.187158
 6596.99   -1.187766
 6598.50   -1.188531
 6599.96   -1.189183
 6601.47   -1.189747
 6602.98   -1.190276
 6604.48   -1.190746
 6605.99   -1.191786
 6607.50   -1.193160
 6608.97   -1.194774
 6610.48   -1.196868
 6611.99   -1.199207
 6613.50   -1.202097
 6614.96   -1.205024
 6616.48   -1.208417
 6617.99   -1.211894
 6619.46   -1.215827
 6620.97   -1.219419
 6622.48   -1.223743
 6624.00   -1.228008
 6625.47   -1.232335
 6626.99   -1.236842
 6628.46   -1.241000
 6629.98   -1.245566
 6631.49   -1.249899
 6632.97   -1.254020
 6634.48   -1.258243
 6635.96   -1.261545
 6637.48   -1.265117
 6639.00   -1.268082
 6640.47   -1.270930
 6641.99   -1.273662
 6643.47   -1.275958
 6644.99   -1.278130
 6646.47   -1.279587
 6648.00   -1.281947
 6649.48   -1.283401
 6651.00   -1.284905
 6652.48   -1.286368
 6653.96   -1.287779
 6655.48   -1.289109
 6656.97   -1.290756
 6658.49   -1.292401
 6659.98   -1.293670
 6661.46   -1.295505
 6662.99   -1.297694
 6664.47   -1.299569
 6666.00   -1.302133
 6667.49   -1.304711
 6668.97   -1.307528
 6670.46   -1.310602
 6671.99   -1.314194
 6673.48   -1.317958
 6674.96   -1.321528
 6676.50   -1.325463
 6677.99   -1.329516
 6679.47   -1.333612
 6680.96   -1.337801
 6682.50   -1.341890
 6683.99   -1.346351
 6685.48   -1.350289
 6686.97   -1.354497
 6688.47   -1.358478
 6689.96   -1.362068
 6691.49   -1.366140
 6692.99   -1.370084
 6694.48   -1.373576
 6695.98   -1.376769
 6697.47   -1.380342
 6698.97   -1.383643
 6700.47   -1.386922
 6701.96   -1.390172
 6703.46   -1.393112
 6705.00   -1.396200
 6706.50   -1.398996
 6708.00   -1.401904
 6709.50   -1.404584
 6711.00   -1.407269
 6712.50   -1.409608
 6714.00   -1.412265
 6715.50   -1.414703
 6717.00   -1.417118
 6718.46   -1.419355
 6719.96   -1.421762
 6721.46   -1.424193
 6722.97   -1.426406
 6724.47   -1.428726
 6725.97   -1.430789
 6727.48   -1.433163
 6728.98   -1.435601
 6730.49   -1.438023
 6732.00   -1.440316
 6733.46   -1.442694
 6734.97   -1.445357
 6736.47   -1.447954
 6737.98   -1.450525
 6739.49   -1.453379
 6741.00   -1.456125
 6742.47   -1.458889
 6743.98   -1.461749
 6745.49   -1.464693
 6747.00   -1.467514
 6748.46   -1.470452
 6749.98   -1.473385
 6751.49   -1.476408
 6752.96   -1.479303
 6754.47   -1.482225
 6755.98   -1.485274
 6757.50   -1.488476
 6758.97   -1.491444
 6760.49   -1.494310
 6761.96   -1.497295
 6763.47   -1.500334
 6764.99   -1.503221
 6766.46   -1.506448
 6767.98   -1.509164
 6769.50   -1.512404
 6770.97   -1.515195
 6772.49   -1.517949
 6773.97   -1.520982
 6775.49   -1.523589
 6776.96   -1.526536
 6778.48   -1.529283
 6779.96   -1.532250
 6781.48   -1.535049
 6782.96   -1.537812
 6784.48   -1.540696
 6785.96   -1.543236
 6787.49   -1.546057
 6788.97   -1.548809
 6790.49   -1.551633
 6791.97   -1.554381
 6793.50   -1.557163
 6794.98   -1.559868
 6796.46   -1.562721
 6797.99   -1.565425
 6799.47   -1.568213
 6801.00   -1.571170
 6802.48   -1.573987
 6803.97   -1.576879
