#---------------------------------
# energy    mu
3.868797199999999975e+03 3.921913842121395148e-03
3.873801899999999932e+03 3.697693799999999999e-03
3.878793599999999969e+03 3.481867090957820737e-03
3.883794499999999971e+03 3.410593266666666571e-03
3.888793400000000020e+03 3.519048599999999652e-03
3.893795999999999822e+03 3.777227133333333712e-03
3.898790599999999813e+03 3.874742848960889899e-03
3.903800099999999929e+03 4.180863653118917396e-03
3.908795700000000124e+03 4.416454066666668059e-03
3.913794699999999921e+03 5.052532799999999609e-03
3.918797000000000025e+03 5.867370266666667271e-03
3.919118800000000192e+03 5.867088381853700040e-03
3.919400000000000091e+03 6.012376237502919073e-03
3.919704400000000078e+03 6.151926432592249618e-03
3.920003000000000156e+03 6.163044742744021136e-03
3.920301699999999983e+03 6.338469066666665465e-03
3.920606400000000122e+03 6.322266400000001001e-03
3.920899300000000039e+03 6.478329566666666400e-03
3.921209899999999834e+03 6.598558392202260280e-03
3.921497199999999793e+03 6.632601327454311184e-03
3.921807899999999790e+03 6.824480938873059115e-03
3.922101099999999860e+03 6.932938066666667447e-03
3.922406100000000151e+03 7.024618100000000302e-03
3.922699300000000221e+03 7.184470833333333854e-03
3.923004399999999805e+03 7.316932488653206390e-03
3.923303600000000188e+03 7.586714733333333772e-03
3.923608799999999974e+03 7.719843462427594151e-03
3.923908199999999852e+03 7.920220806662140248e-03
3.924207699999999932e+03 7.998922400000002195e-03
3.924507000000000062e+03 8.404009369465849019e-03
3.924806599999999889e+03 8.482384133333333021e-03
3.925106099999999969e+03 8.690499733333334129e-03
3.925405799999999999e+03 9.277184464197471211e-03
3.925699599999999919e+03 9.602637015614865976e-03
3.925999299999999948e+03 9.853077492481864333e-03
3.926304999999999836e+03 1.027759172632388383e-02
3.926604899999999816e+03 1.082786766666666949e-02
3.926904700000000048e+03 1.146663234975661867e-02
3.927204600000000028e+03 1.220368264405462949e-02
3.927504699999999957e+03 1.314342466666666709e-02
3.927804799999999886e+03 1.417044252832525865e-02
3.928104800000000068e+03 1.552413366666666704e-02
3.928405099999999948e+03 1.712858319794905923e-02
3.928705199999999877e+03 1.930012633333333394e-02
3.929005500000000211e+03 2.210143923896422044e-02
3.929305800000000090e+03 2.566726333333333929e-02
3.929606200000000172e+03 3.002419066666666206e-02
3.929906700000000001e+03 3.431177099999999786e-02
3.930201300000000174e+03 3.865980571204560845e-02
3.930507700000000114e+03 4.223506866666665999e-02
3.930808399999999892e+03 4.423342299999999394e-02
3.931108999999999924e+03 4.534945366666667116e-02
3.931403699999999844e+03 4.561265933333332606e-02
3.931704499999999825e+03 4.489132766666666802e-02
3.932005400000000009e+03 4.368696369017936038e-02
3.932306199999999990e+03 4.218802299999999811e-02
3.932607100000000173e+03 4.071803033920103065e-02
3.932908100000000104e+03 3.974694666666665765e-02
3.933197299999999814e+03 3.842857815079032263e-02
3.933504300000000057e+03 3.800365766666666256e-02
3.933805499999999938e+03 3.725598922340658120e-02
3.934106499999999869e+03 3.741389482587045151e-02
3.934407799999999952e+03 3.702546280578120769e-02
3.934703199999999924e+03 3.707547089818991753e-02
3.935004600000000210e+03 3.714487496435866370e-02
3.935306000000000040e+03 3.738552933333333383e-02
3.935601500000000215e+03 3.792672080396685547e-02
3.935909000000000106e+03 3.911342300000000133e-02
3.936204699999999775e+03 3.993162766666666363e-02
3.936506199999999808e+03 4.180803324831552231e-02
3.936807899999999790e+03 4.419838433333333344e-02
3.937103799999999865e+03 4.658957833333333270e-02
3.937399600000000191e+03 4.967014699999999783e-02
3.937707399999999780e+03 5.324372666666666448e-02
3.938003299999999854e+03 5.726369958952306355e-02
3.938305299999999988e+03 6.385966833333332759e-02
3.938607199999999921e+03 6.896378704658245873e-02
3.938903299999999945e+03 7.578315233333332568e-02
3.939205500000000029e+03 8.400740866666667195e-02
3.939507599999999911e+03 9.191749933333333289e-02
3.939803800000000138e+03 1.000804843333333305e-01
3.940106200000000172e+03 1.070155549130944878e-01
3.940408399999999801e+03 1.125032366666666589e-01
3.940698899999999867e+03 1.136176408495969820e-01
3.941001299999999901e+03 1.134438035093412456e-01
3.941303800000000138e+03 1.110419628218069915e-01
3.941600500000000011e+03 1.077745552588209449e-01
3.941909000000000106e+03 1.039015091083118625e-01
3.942205699999999979e+03 1.013333066666666643e-01
3.942508299999999963e+03 9.879909115497115257e-02
3.942805199999999786e+03 9.688823466666666995e-02
3.943101999999999862e+03 9.572717341898967502e-02
3.943404899999999998e+03 9.461588507932167103e-02
3.943707699999999932e+03 9.388124800000001435e-02
3.944004800000000159e+03 9.415507833333332244e-02
3.944307800000000043e+03 9.384331099999999870e-02
3.944605000000000018e+03 9.463508233333335629e-02
3.944908100000000104e+03 9.513670365704039733e-02
3.945205399999999827e+03 9.657239075066571810e-02
3.945508600000000115e+03 9.798781933333333694e-02
3.945805800000000090e+03 9.929249499999999451e-02
3.946103300000000218e+03 1.010285333333333230e-01
3.946406700000000001e+03 1.020450533333333576e-01
3.946698100000000068e+03 1.039465452502850162e-01
3.947007599999999911e+03 1.054246466666666632e-01
3.947305299999999988e+03 1.071280870120159268e-01
3.947608799999999974e+03 1.086999066666666652e-01
3.947906599999999798e+03 1.116612966666666734e-01
3.948198400000000220e+03 1.138932162427218620e-01
3.948507999999999811e+03 1.164447595615053649e-01
3.948805899999999838e+03 1.194121920166162781e-01
3.949097900000000209e+03 1.224792100000000050e-01
3.949407799999999952e+03 1.248818700000000198e-01
3.949705800000000181e+03 1.274227897359751782e-01
3.950003900000000158e+03 1.293412345355378079e-01
3.950302000000000135e+03 1.309709866666666778e-01
3.950606099999999969e+03 1.325585166666666814e-01
3.950904399999999896e+03 1.342942299999999867e-01
3.951208599999999933e+03 1.350272166666666440e-01
3.951506899999999860e+03 1.355029133333333358e-01
3.951805400000000191e+03 1.363267300000000348e-01
3.952103900000000067e+03 1.367365933333333228e-01
3.952408399999999801e+03 1.379980899999999899e-01
3.952706900000000132e+03 1.386427466666666775e-01
3.953005500000000211e+03 1.397587700000000044e-01
3.953298200000000179e+03 1.401417250172407314e-01
3.953602899999999863e+03 1.418118364588205338e-01
3.953907600000000002e+03 1.430896499999999849e-01
3.954206299999999828e+03 1.444486395283595681e-01
3.954505299999999806e+03 1.455456566666666340e-01
3.954804200000000037e+03 1.461931697738052816e-01
3.955103099999999813e+03 1.472451750630048295e-01
3.955408100000000104e+03 1.479822880666648022e-01
3.955707300000000032e+03 1.478783266666666707e-01
3.956000399999999900e+03 1.483785837077606917e-01
3.956305499999999938e+03 1.484284633333333436e-01
3.956604899999999816e+03 1.489920999999999884e-01
3.956904100000000199e+03 1.486779929088554997e-01
3.957203500000000076e+03 1.484144399999999531e-01
3.957502800000000207e+03 1.487756466666666777e-01
3.957808300000000145e+03 1.493032199999999865e-01
3.958107800000000225e+03 1.496484457568935389e-01
3.958407299999999850e+03 1.497858799999999546e-01
3.958706999999999880e+03 1.509094533333333876e-01
3.959006699999999910e+03 1.524682408735832384e-01
3.959306300000000192e+03 1.531875200000000214e-01
3.959606099999999969e+03 1.546075699999999997e-01
3.959905999999999949e+03 1.560172717782924157e-01
3.960205800000000181e+03 1.565857300000000063e-01
3.960499800000000050e+03 1.576329934735857252e-01
3.960805699999999888e+03 1.583151245223754777e-01
3.961099799999999959e+03 1.578984100000000168e-01
3.961405799999999999e+03 1.577130800000000332e-01
3.961706000000000131e+03 1.567133466666666697e-01
3.962006199999999808e+03 1.550369801734537145e-01
3.962306399999999940e+03 1.536876100000000023e-01
3.962606600000000071e+03 1.521196199999999832e-01
3.963087300000000141e+03 1.494586699999999879e-01
3.965408100000000104e+03 1.394710733333333619e-01
3.967804299999999785e+03 1.352169933333333407e-01
3.970282299999999850e+03 1.329492033333333212e-01
3.972836400000000140e+03 1.264524500000000218e-01
3.975460999999999785e+03 1.223094961584344498e-01
3.978168400000000020e+03 1.242701900000000026e-01
3.980952900000000227e+03 1.223860633333333364e-01
3.983809000000000196e+03 1.217188699999999929e-01
3.986742799999999988e+03 1.240743697191763473e-01
3.989748799999999846e+03 1.270452966666666683e-01
3.992833500000000186e+03 1.291804369742176883e-01
3.995991100000000188e+03 1.321705433333333346e-01
3.999234199999999873e+03 1.347432496176130812e-01
4.002545000000000073e+03 1.374650304050845651e-01
4.005936099999999897e+03 1.410725945785575308e-01
4.009407999999999902e+03 1.420951645949435072e-01
4.012954699999999775e+03 1.430791105197009028e-01
4.016570900000000165e+03 1.441810866666666524e-01
4.020287800000000061e+03 1.457963639809499723e-01
4.024037499999999909e+03 1.464246933333333278e-01
4.027888899999999921e+03 1.458936199999999739e-01
4.031811400000000049e+03 1.466064666666666849e-01
4.035811900000000151e+03 1.454854266666666951e-01
4.039884300000000167e+03 1.414074199999999781e-01
4.044035300000000007e+03 1.375822679740602295e-01
4.048265899999999874e+03 1.376353833333333609e-01
4.052576100000000224e+03 1.393828915304524962e-01
4.056954200000000128e+03 1.416935900000000081e-01
4.061413100000000213e+03 1.427938681193478276e-01
4.065947200000000066e+03 1.458850466666666568e-01
