#XDI/1.1    Epics StepScan File / 2.0
# Scan.start_time: 2014-10-06 15:03:40
# Legend.Start: Column.N: Name  units || EpicsPV
# Column.1: Energy eV  ||  13IDE:En:Energy.VAL
# Column.2: Energy_readback eV  ||  13IDE:En:E_RBV.VAL
# Column.3: TSCALER counts  ||  13IDE:SIS1:mca1.VAL
# Column.4: I0 counts  ||  13IDE:SIS1:mca2.VAL
# Column.5: I1 counts  ||  13IDE:SIS1:mca3.VAL
# Column.6: I2 counts  ||  13IDE:SIS1:mca4.VAL
# Column.7: Ca_Ka_mca1 counts  ||  13QX4:C1_ROI1:ArrayData_RBV
# Column.8: Ca_Ka_mca2 counts  ||  13QX4:C2_ROI1:ArrayData_RBV
# Column.9: Ca_Ka_mca3 counts  ||  13QX4:C3_ROI1:ArrayData_RBV
# Column.10: Ca_Ka_mca4 counts  ||  13QX4:C4_ROI1:ArrayData_RBV
# Column.11: V_Ka_mca1 counts  ||  13QX4:C1_ROI2:ArrayData_RBV
# Column.12: V_Ka_mca2 counts  ||  13QX4:C2_ROI2:ArrayData_RBV
# Column.13: V_Ka_mca3 counts  ||  13QX4:C3_ROI2:ArrayData_RBV
# Column.14: V_Ka_mca4 counts  ||  13QX4:C4_ROI2:ArrayData_RBV
# Column.15: OCR_mca1 counts  ||  13QX4:C1_ROI3:ArrayData_RBV
# Column.16: OCR_mca2 counts  ||  13QX4:C2_ROI3:ArrayData_RBV
# Column.17: OCR_mca3 counts  ||  13QX4:C3_ROI3:ArrayData_RBV
# Column.18: OCR_mca4 counts  ||  13QX4:C4_ROI3:ArrayData_RBV
# Column.19: Clock_mca1 counts  ||  13QX4:C1_SCA0:ArrayData_RBV
# Column.20: Clock_mca2 counts  ||  13QX4:C2_SCA0:ArrayData_RBV
# Column.21: Clock_mca3 counts  ||  13QX4:C3_SCA0:ArrayData_RBV
# Column.22: Clock_mca4 counts  ||  13QX4:C4_SCA0:ArrayData_RBV
# Legend.End: here
# Scan.end_time: 2014-10-06 15:14:01
# ExtraPVs.Start: Family.Member: Value | PV
# Facility.Ring_Current: 101.8  ||  S:SRcurrentAI.VAL
# Facility.Ring_Lifetime: 8.5  ||  S:SRlifeTimeHrsCC.VAL
# Mono.dspacing: 3.13477  ||  13IDE:En:dspace.VAL
# Mono.height: 26.00000  ||  13IDE:En:height.VAL
# Beamline.I0_Sensitivity_Number: 5  ||  13IDE:A1sens_num.VAL
# Beamline.I0_Sensitivity_Units: nA/V  ||  13IDE:A1sens_unit.VAL
# ExtraPVs.End: here
# ------------------------
# Energy	Energy_readback	TSCALER	I0	I1	I2	Ca_Ka_mca1	Ca_Ka_mca2	Ca_Ka_mca3	Ca_Ka_mca4	V_Ka_mca1	V_Ka_mca2	V_Ka_mca3	V_Ka_mca4	OCR_mca1	OCR_mca2	OCR_mca3	OCR_mca4	Clock_mca1	Clock_mca2	Clock_mca3	Clock_mca4
    5415.000000     5415.000729  45000000.000000   181980.000000    64315.000000     7975.000000    40391.638422    42053.606671    41534.482096    47058.033327      154.960081      257.421354      313.137533      249.490562    58273.720020    61881.419303    61581.203534    64934.407259  71911478.000000  71911478.000000  71911478.000000  71911478.000000
    5420.000000     5419.996261  45000000.000000   185981.000000    65956.000000     8193.000000    41227.862688    42437.683949    42126.056913    47902.302869      139.792787      283.829622      338.532929      274.927193    59149.796462    62775.167307    62565.194724    66284.873549  71911484.000000  71911484.000000  71911484.000000  71911484.000000
    5425.000000     5425.001727  45000000.000000   183921.000000    65433.000000     8172.000000    40717.909518    42547.200570    41696.469796    47350.448956      177.250891      258.486242      297.941060      262.701171    58520.959475    62675.361626    61667.595354    65366.388793  71911492.000000  71911492.000000  71911492.000000  71911492.000000
    5430.000000     5430.002371  45000000.000000   183194.000000    65445.000000     8215.000000    40389.544548    41979.450733    41389.714292    46935.417325      163.069091      256.399228      322.259047      270.794410    58504.414477    61647.191725    61700.460461    65059.659741  71911487.000000  71911487.000000  71911487.000000  71911487.000000
    5435.000000     5435.001836  45000000.000000   182437.000000    65387.000000     8239.000000    40255.764862    42032.718245    41581.814710    47283.925213      170.137604      273.643305      333.431430      285.010306    57787.620959    61933.780227    61886.233967    65233.383227  71911480.000000  71911480.000000  71911480.000000  71911480.000000
    5440.000000     5440.000086  45000000.000000   181642.000000    65342.000000     8282.000000    40387.299058    41786.547734    41527.229204    47129.829416      194.446231      325.317979      403.327623      268.763081    57998.956012    61604.070253    61557.614584    65014.553790  71911477.000000  71911477.000000  71911477.000000  71911477.000000
    5445.000000     5445.002661  45000000.000000   180356.000000    65120.000000     8308.000000    40209.416627    41429.605363    41260.928684    46723.657041      194.446592      317.171310      393.144997      316.424662    58058.184139    61000.406845    61019.581493    64958.083964  71911482.000000  71911482.000000  71911482.000000  71911482.000000
    5450.000000     5450.002104  45000000.000000   179137.000000    64914.000000     8333.000000    39666.085476    41476.963256    41026.495848    46687.823084      250.115758      339.480945      398.195173      361.036490    57400.950396    61215.765821    60754.514408    64753.042276  71911479.000000  71911479.000000  71911479.000000  71911479.000000
    5455.000000     5455.002100  45000000.000000   179007.000000    65087.000000     8398.000000    39337.706671    41292.165800    40929.389108    46545.747479      261.238655      374.920035      453.929346      391.452895    57120.224936    61052.621879    60883.920502    64627.810427  71911478.000000  71911478.000000  71911478.000000  71911478.000000
    5460.000000     5460.000752  45000000.000000   179122.000000    65365.000000     8474.000000    39732.889492    40833.479761    41093.124639    46706.214464      363.549415      491.423965      541.079669      538.556899    57632.700990    60745.622247    60954.780938    65060.721105  71911485.000000  71911485.000000  71911485.000000  71911485.000000
    5460.100000     5460.099890  45000000.000000   178691.000000    65205.000000     8460.000000    40064.872691    40906.377708    40798.523302    46860.977225      391.917837      497.512783      533.982392      530.435375    57939.713297    60841.288748    60841.134821    64910.657839  71911487.000000  71911487.000000  71911487.000000  71911487.000000
